Episode: 85, Event: hole, Total Score: -27, Epsilon: 0.6531
Episode: 86, Event: hole, Total Score: -29, Epsilon: 0.6498
Episode: 87, Event: hole, Total Score: -35, Epsilon: 0.6466
Episode: 88, Event: hole, Total Score: -29, Epsilon: 0.6433
Episode: 89, Event: hole, Total Score: -32, Epsilon: 0.6401
Episode: 90, Event: hole, Total Score: -33, Epsilon: 0.6369
Episode: 91, Event: hole, Total Score: -38, Epsilon: 0.6337
Episode: 92, Event: hole, Total Score: -41, Epsilon: 0.6306
Episode: 93, Event: hole, Total Score: -87, Epsilon: 0.6274
Episode: 94, Event: hole, Total Score: -39, Epsilon: 0.6243
Episode: 95, Event: hole, Total Score: -35, Epsilon: 0.6211
Episode: 96, Event: hole, Total Score: -33, Epsilon: 0.6180
Episode: 97, Event: hole, Total Score: -32, Epsilon: 0.6149
Episode: 98, Event: hole, Total Score: -34, Epsilon: 0.6119
Episode: 99, Event: hole, Total Score: -37, Epsilon: 0.6088
Episode: 100, Event: hole, Total Score: -27, Epsilon: 0.6058
Episode: 101, Event: hole, Total Score: -36, Epsilon: 0.6027
Episode: 102, Event: hole, Total Score: -29, Epsilon: 0.5997
Episode: 103, Event: hole, Total Score: -33, Epsilon: 0.5967
Episode: 104, Event: hole, Total Score: -27, Epsilon: 0.5937
Episode: 105, Event: hole, Total Score: -29, Epsilon: 0.5908
Episode: 106, Event: hole, Total Score: -27, Epsilon: 0.5878
Episode: 107, Event: hole, Total Score: -32, Epsilon: 0.5849
Episode: 108, Event: hole, Total Score: -27, Epsilon: 0.5820
Episode: 109, Event: hole, Total Score: -39, Epsilon: 0.5790
Episode: 110, Event: hole, Total Score: -49, Epsilon: 0.5762
Episode: 111, Event: hole, Total Score: -41, Epsilon: 0.5733
Episode: 112, Event: hole, Total Score: -32, Epsilon: 0.5704
Episode: 113, Event: hole, Total Score: -36, Epsilon: 0.5676
Episode: 114, Event: hole, Total Score: -29, Epsilon: 0.5647
Episode: 115, Event: hole, Total Score: -36, Epsilon: 0.5619
Episode: 116, Event: hole, Total Score: -33, Epsilon: 0.5591
Episode: 117, Event: hole, Total Score: -41, Epsilon: 0.5563
Episode: 118, Event: hole, Total Score: -27, Epsilon: 0.5535
Episode: 119, Event: hole, Total Score: -51, Epsilon: 0.5507
Episode: 120, Event: hole, Total Score: -43, Epsilon: 0.5480
Episode: 121, Event: hole, Total Score: -39, Epsilon: 0.5452
Episode: 122, Event: hole, Total Score: -37, Epsilon: 0.5425
Episode: 123, Event: hole, Total Score: -31, Epsilon: 0.5398
Episode: 124, Event: hole, Total Score: -27, Epsilon: 0.5371
Episode: 125, Event: hole, Total Score: -30, Epsilon: 0.5344
Episode: 126, Event: hole, Total Score: -35, Epsilon: 0.5318
Episode: 127, Event: hole, Total Score: -63, Epsilon: 0.5291
Episode: 128, Event: hole, Total Score: -34, Epsilon: 0.5264
Episode: 129, Event: hole, Total Score: -27, Epsilon: 0.5238
Episode: 130, Event: hole, Total Score: -37, Epsilon: 0.5212
Episode: 131, Event: hole, Total Score: -27, Epsilon: 0.5186
Episode: 132, Event: hole, Total Score: -46, Epsilon: 0.5160
Episode: 133, Event: hole, Total Score: -35, Epsilon: 0.5134
Episode: 134, Event: hole, Total Score: -27, Epsilon: 0.5108
Episode: 135, Event: hole, Total Score: -37, Epsilon: 0.5083
Episode: 136, Event: hole, Total Score: -54, Epsilon: 0.5058
Episode: 137, Event: hole, Total Score: -29, Epsilon: 0.5032
Episode: 138, Event: hole, Total Score: -29, Epsilon: 0.5007
Episode: 139, Event: hole, Total Score: -59, Epsilon: 0.4982
Episode: 140, Event: hole, Total Score: -43, Epsilon: 0.4957
Episode: 141, Event: hole, Total Score: -34, Epsilon: 0.4932
Episode: 142, Event: hole, Total Score: -37, Epsilon: 0.4908
Episode: 143, Event: hole, Total Score: -39, Epsilon: 0.4883
Episode: 144, Event: hole, Total Score: -66, Epsilon: 0.4859
Episode: 145, Event: hole, Total Score: -29, Epsilon: 0.4834
Episode: 146, Event: hole, Total Score: -35, Epsilon: 0.4810
Episode: 147, Event: hole, Total Score: -47, Epsilon: 0.4786
Episode: 148, Event: hole, Total Score: -31, Epsilon: 0.4762
Episode: 149, Event: hole, Total Score: -45, Epsilon: 0.4738
Episode: 150, Event: hole, Total Score: -27, Epsilon: 0.4715
Episode: 151, Event: hole, Total Score: -86, Epsilon: 0.4691
Episode: 152, Event: hole, Total Score: -36, Epsilon: 0.4668
Episode: 153, Event: hole, Total Score: -36, Epsilon: 0.4644
Episode: 154, Event: hole, Total Score: -43, Epsilon: 0.4621
Episode: 155, Event: hole, Total Score: -29, Epsilon: 0.4598
Episode: 156, Event: hole, Total Score: -33, Epsilon: 0.4575
Episode: 157, Event: hole, Total Score: -39, Epsilon: 0.4552
Episode: 158, Event: hole, Total Score: -29, Epsilon: 0.4529
Episode: 159, Event: hole, Total Score: -68, Epsilon: 0.4507
Episode: 160, Event: hole, Total Score: -27, Epsilon: 0.4484
Episode: 161, Event: hole, Total Score: -48, Epsilon: 0.4462
Episode: 162, Event: hole, Total Score: -27, Epsilon: 0.4440
Episode: 163, Event: hole, Total Score: -38, Epsilon: 0.4417
Episode: 164, Event: hole, Total Score: -73, Epsilon: 0.4395
Episode: 165, Event: hole, Total Score: -35, Epsilon: 0.4373
Episode: 166, Event: hole, Total Score: -27, Epsilon: 0.4351
Episode: 167, Event: hole, Total Score: -29, Epsilon: 0.4330
Episode: 168, Event: hole, Total Score: -27, Epsilon: 0.4308
Episode: 169, Event: hole, Total Score: -27, Epsilon: 0.4286
Episode: 170, Event: hole, Total Score: -45, Epsilon: 0.4265
Episode: 171, Event: hole, Total Score: -41, Epsilon: 0.4244
Episode: 172, Event: hole, Total Score: -29, Epsilon: 0.4223
Episode: 173, Event: hole, Total Score: -59, Epsilon: 0.4201
Episode: 174, Event: hole, Total Score: -34, Epsilon: 0.4180
Episode: 175, Event: hole, Total Score: -39, Epsilon: 0.4159
Episode: 176, Event: hole, Total Score: -64, Epsilon: 0.4139
Episode: 177, Event: hole, Total Score: -51, Epsilon: 0.4118
Episode: 178, Event: hole, Total Score: -40, Epsilon: 0.4097
Episode: 179, Event: hole, Total Score: -36, Epsilon: 0.4077
Episode: 180, Event: hole, Total Score: -27, Epsilon: 0.4057
Episode: 181, Event: hole, Total Score: -47, Epsilon: 0.4036
Episode: 182, Event: hole, Total Score: -33, Epsilon: 0.4016
Episode: 183, Event: hole, Total Score: -27, Epsilon: 0.3996
Episode: 184, Event: hole, Total Score: -27, Epsilon: 0.3976
Episode: 185, Event: hole, Total Score: -29, Epsilon: 0.3956
Episode: 186, Event: hole, Total Score: -85, Epsilon: 0.3936
Episode: 187, Event: hole, Total Score: -35, Epsilon: 0.3917
Episode: 188, Event: hole, Total Score: -27, Epsilon: 0.3897
Episode: 189, Event: hole, Total Score: -62, Epsilon: 0.3878
Episode: 190, Event: hole, Total Score: -27, Epsilon: 0.3858
Episode: 191, Event: hole, Total Score: -40, Epsilon: 0.3839
Episode: 192, Event: hole, Total Score: -42, Epsilon: 0.3820
Episode: 193, Event: hole, Total Score: -43, Epsilon: 0.3801
Episode: 194, Event: hole, Total Score: -56, Epsilon: 0.3782
Episode: 195, Event: hole, Total Score: -33, Epsilon: 0.3763
Episode: 196, Event: hole, Total Score: -45, Epsilon: 0.3744
Episode: 197, Event: hole, Total Score: -27, Epsilon: 0.3725
Episode: 198, Event: hole, Total Score: -30, Epsilon: 0.3707
Episode: 199, Event: hole, Total Score: -29, Epsilon: 0.3688
Episode: 200, Event: hole, Total Score: -46, Epsilon: 0.3670
Episode: 201, Event: hole, Total Score: -27, Epsilon: 0.3651
Episode: 202, Event: hole, Total Score: -37, Epsilon: 0.3633
Episode: 203, Event: hole, Total Score: -38, Epsilon: 0.3615
Episode: 204, Event: hole, Total Score: -41, Epsilon: 0.3597
Episode: 205, Event: hole, Total Score: -39, Epsilon: 0.3579
Episode: 206, Event: hole, Total Score: -60, Epsilon: 0.3561
Episode: 207, Event: hole, Total Score: -39, Epsilon: 0.3543
Episode: 208, Event: hole, Total Score: -59, Epsilon: 0.3525
Episode: 209, Event: hole, Total Score: -30, Epsilon: 0.3508
Episode: 210, Event: hole, Total Score: -41, Epsilon: 0.3490
Episode: 211, Event: hole, Total Score: -91, Epsilon: 0.3473
Episode: 212, Event: hole, Total Score: -37, Epsilon: 0.3455
Episode: 213, Event: hole, Total Score: -49, Epsilon: 0.3438
Episode: 214, Event: hole, Total Score: -39, Epsilon: 0.3421
Episode: 215, Event: hole, Total Score: -66, Epsilon: 0.3404
Episode: 216, Event: hole, Total Score: -58, Epsilon: 0.3387
Episode: 217, Event: hole, Total Score: -65, Epsilon: 0.3370
Episode: 218, Event: hole, Total Score: -27, Epsilon: 0.3353
Episode: 219, Event: hole, Total Score: -29, Epsilon: 0.3336
Episode: 220, Event: hole, Total Score: -35, Epsilon: 0.3320
Episode: 221, Event: hole, Total Score: -31, Epsilon: 0.3303
Episode: 222, Event: hole, Total Score: -36, Epsilon: 0.3286
Episode: 223, Event: hole, Total Score: -59, Epsilon: 0.3270
Episode: 224, Event: hole, Total Score: -39, Epsilon: 0.3254
Episode: 225, Event: hole, Total Score: -37, Epsilon: 0.3237
Episode: 226, Event: hole, Total Score: -27, Epsilon: 0.3221
Episode: 227, Event: hole, Total Score: -71, Epsilon: 0.3205
Episode: 228, Event: hole, Total Score: -57, Epsilon: 0.3189
Episode: 229, Event: hole, Total Score: -35, Epsilon: 0.3173
Episode: 230, Event: hole, Total Score: -56, Epsilon: 0.3157
Episode: 231, Event: hole, Total Score: -33, Epsilon: 0.3141
Episode: 232, Event: hole, Total Score: -51, Epsilon: 0.3126
Episode: 233, Event: hole, Total Score: -57, Epsilon: 0.3110
Episode: 234, Event: hole, Total Score: -42, Epsilon: 0.3095
Episode: 235, Event: hole, Total Score: -31, Epsilon: 0.3079
Episode: 236, Event: hole, Total Score: -41, Epsilon: 0.3064
Episode: 237, Event: hole, Total Score: -35, Epsilon: 0.3048
Episode: 238, Event: hole, Total Score: -31, Epsilon: 0.3033
Episode: 239, Event: hole, Total Score: -118, Epsilon: 0.3018
Episode: 240, Event: hole, Total Score: -43, Epsilon: 0.3003
Episode: 241, Event: hole, Total Score: -29, Epsilon: 0.2988
Episode: 242, Event: hole, Total Score: -29, Epsilon: 0.2973
Episode: 243, Event: hole, Total Score: -60, Epsilon: 0.2958
Episode: 244, Event: hole, Total Score: -33, Epsilon: 0.2943
Episode: 245, Event: hole, Total Score: -27, Epsilon: 0.2929
Episode: 246, Event: hole, Total Score: -31, Epsilon: 0.2914
Episode: 247, Event: hole, Total Score: -33, Epsilon: 0.2899
Episode: 248, Event: hole, Total Score: -42, Epsilon: 0.2885
Episode: 249, Event: hole, Total Score: -101, Epsilon: 0.2870
Episode: 250, Event: hole, Total Score: -73, Epsilon: 0.2856
Episode: 251, Event: hole, Total Score: -34, Epsilon: 0.2842
Episode: 252, Event: hole, Total Score: -29, Epsilon: 0.2828
Episode: 253, Event: hole, Total Score: -29, Epsilon: 0.2813
Episode: 254, Event: hole, Total Score: -51, Epsilon: 0.2799
Episode: 255, Event: hole, Total Score: -38, Epsilon: 0.2785
Episode: 256, Event: hole, Total Score: -89, Epsilon: 0.2771
Episode: 257, Event: hole, Total Score: -61, Epsilon: 0.2758
Episode: 258, Event: hole, Total Score: -64, Epsilon: 0.2744
Episode: 259, Event: hole, Total Score: -39, Epsilon: 0.2730
Episode: 260, Event: hole, Total Score: -151, Epsilon: 0.2716
Episode: 261, Event: hole, Total Score: -64, Epsilon: 0.2703
Episode: 262, Event: hole, Total Score: -31, Epsilon: 0.2689
Episode: 263, Event: hole, Total Score: -92, Epsilon: 0.2676
Episode: 264, Event: hole, Total Score: -68, Epsilon: 0.2663
Episode: 265, Event: hole, Total Score: -73, Epsilon: 0.2649
Episode: 266, Event: hole, Total Score: -29, Epsilon: 0.2636
Episode: 267, Event: goal, Total Score: 6, Epsilon: 0.2623
Episode: 268, Event: hole, Total Score: -39, Epsilon: 0.2610
Episode: 269, Event: hole, Total Score: -73, Epsilon: 0.2597
Episode: 270, Event: hole, Total Score: -35, Epsilon: 0.2584
Episode: 271, Event: hole, Total Score: -73, Epsilon: 0.2571
Episode: 272, Event: hole, Total Score: -30, Epsilon: 0.2558
Episode: 273, Event: hole, Total Score: -47, Epsilon: 0.2545
Episode: 274, Event: hole, Total Score: -43, Epsilon: 0.2532
Episode: 275, Event: hole, Total Score: -139, Epsilon: 0.2520
Episode: 276, Event: hole, Total Score: -161, Epsilon: 0.2507
Episode: 277, Event: hole, Total Score: -115, Epsilon: 0.2495
Episode: 278, Event: hole, Total Score: -27, Epsilon: 0.2482
Episode: 279, Event: hole, Total Score: -86, Epsilon: 0.2470
Episode: 280, Event: hole, Total Score: -157, Epsilon: 0.2457
Episode: 281, Event: hole, Total Score: -41, Epsilon: 0.2445
Episode: 282, Event: hole, Total Score: -117, Epsilon: 0.2433
Episode: 283, Event: hole, Total Score: -38, Epsilon: 0.2421
