Episode: 528, Steps: 20, Steps_X: 11, Steps_Y: 9, Total Score: 30, Epsilon: 0.0709
Episode: 532, Steps: 182, Steps_X: 123, Steps_Y: 59, Total Score: -132, Epsilon: 0.0695
Episode: 534, Steps: 54, Steps_X: 29, Steps_Y: 25, Total Score: -4, Epsilon: 0.0688
Episode: 535, Steps: 30, Steps_X: 19, Steps_Y: 11, Total Score: 20, Epsilon: 0.0684
Episode: 538, Steps: 42, Steps_X: 21, Steps_Y: 21, Total Score: 8, Epsilon: 0.0674
Episode: 539, Steps: 14, Steps_X: 7, Steps_Y: 7, Total Score: 36, Epsilon: 0.0671
Episode: 541, Steps: 22, Steps_X: 9, Steps_Y: 13, Total Score: 28, Epsilon: 0.0664
Episode: 543, Steps: 248, Steps_X: 183, Steps_Y: 65, Total Score: -198, Epsilon: 0.0658
Episode: 544, Steps: 22, Steps_X: 13, Steps_Y: 9, Total Score: 28, Epsilon: 0.0654
Episode: 546, Steps: 20, Steps_X: 7, Steps_Y: 13, Total Score: 30, Epsilon: 0.0648
Episode: 547, Steps: 24, Steps_X: 9, Steps_Y: 15, Total Score: 26, Epsilon: 0.0645
Episode: 549, Steps: 96, Steps_X: 65, Steps_Y: 31, Total Score: -46, Epsilon: 0.0638
Episode: 552, Steps: 74, Steps_X: 67, Steps_Y: 7, Total Score: -24, Epsilon: 0.0629
Episode: 553, Steps: 18, Steps_X: 7, Steps_Y: 11, Total Score: 32, Epsilon: 0.0625
Episode: 554, Steps: 76, Steps_X: 47, Steps_Y: 29, Total Score: -26, Epsilon: 0.0622
Episode: 557, Steps: 14, Steps_X: 7, Steps_Y: 7, Total Score: 36, Epsilon: 0.0613
Episode: 559, Steps: 28, Steps_X: 19, Steps_Y: 9, Total Score: 22, Epsilon: 0.0607
Episode: 562, Steps: 22, Steps_X: 13, Steps_Y: 9, Total Score: 28, Epsilon: 0.0598
Episode: 563, Steps: 14, Steps_X: 7, Steps_Y: 7, Total Score: 36, Epsilon: 0.0595
Episode: 564, Steps: 18, Steps_X: 7, Steps_Y: 11, Total Score: 32, Epsilon: 0.0592
Episode: 567, Steps: 16, Steps_X: 7, Steps_Y: 9, Total Score: 34, Epsilon: 0.0583
Episode: 568, Steps: 18, Steps_X: 7, Steps_Y: 11, Total Score: 32, Epsilon: 0.0580
