Episode: 357, Steps: 20, Steps_X: 7, Steps_Y: 13, Total Score: 30, Epsilon: 0.1670
Episode: 358, Steps: 14, Steps_X: 7, Steps_Y: 7, Total Score: 36, Epsilon: 0.1662
Episode: 360, Steps: 18, Steps_X: 11, Steps_Y: 7, Total Score: 32, Epsilon: 0.1646
Episode: 361, Steps: 24, Steps_X: 15, Steps_Y: 9, Total Score: 26, Epsilon: 0.1637
Episode: 362, Steps: 18, Steps_X: 7, Steps_Y: 11, Total Score: 32, Epsilon: 0.1629
Episode: 363, Steps: 14, Steps_X: 7, Steps_Y: 7, Total Score: 36, Epsilon: 0.1621
Episode: 364, Steps: 20, Steps_X: 11, Steps_Y: 9, Total Score: 30, Epsilon: 0.1613
Episode: 365, Steps: 16, Steps_X: 9, Steps_Y: 7, Total Score: 34, Epsilon: 0.1605
Episode: 366, Steps: 18, Steps_X: 7, Steps_Y: 11, Total Score: 32, Epsilon: 0.1597
Episode: 367, Steps: 16, Steps_X: 7, Steps_Y: 9, Total Score: 34, Epsilon: 0.1589
Episode: 368, Steps: 18, Steps_X: 9, Steps_Y: 9, Total Score: 32, Epsilon: 0.1581
Episode: 369, Steps: 16, Steps_X: 9, Steps_Y: 7, Total Score: 34, Epsilon: 0.1573
Episode: 370, Steps: 26, Steps_X: 17, Steps_Y: 9, Total Score: 24, Epsilon: 0.1565
Episode: 371, Steps: 14, Steps_X: 7, Steps_Y: 7, Total Score: 36, Epsilon: 0.1557
Episode: 202, Steps: 26, Steps_X: 17, Steps_Y: 9, Total Score: 24, Epsilon: 0.3633
Episode: 204, Steps: 34, Steps_X: 19, Steps_Y: 15, Total Score: 16, Epsilon: 0.3597
Episode: 211, Steps: 42, Steps_X: 23, Steps_Y: 19, Total Score: 8, Epsilon: 0.3473
Episode: 218, Steps: 20, Steps_X: 7, Steps_Y: 13, Total Score: 30, Epsilon: 0.3353
Episode: 222, Steps: 32, Steps_X: 11, Steps_Y: 21, Total Score: 18, Epsilon: 0.3286
Episode: 256, Steps: 30, Steps_X: 15, Steps_Y: 15, Total Score: 20, Epsilon: 0.2771
Episode: 259, Steps: 16, Steps_X: 7, Steps_Y: 9, Total Score: 34, Epsilon: 0.2730
Episode: 262, Steps: 20, Steps_X: 9, Steps_Y: 11, Total Score: 30, Epsilon: 0.2689
Episode: 268, Steps: 28, Steps_X: 13, Steps_Y: 15, Total Score: 22, Epsilon: 0.2610
Episode: 273, Steps: 32, Steps_X: 11, Steps_Y: 21, Total Score: 18, Epsilon: 0.2545
Episode: 286, Steps: 26, Steps_X: 13, Steps_Y: 13, Total Score: 24, Epsilon: 0.2385
Episode: 288, Steps: 16, Steps_X: 7, Steps_Y: 9, Total Score: 34, Epsilon: 0.2361
Episode: 290, Steps: 16, Steps_X: 7, Steps_Y: 9, Total Score: 34, Epsilon: 0.2337
Episode: 291, Steps: 42, Steps_X: 13, Steps_Y: 29, Total Score: 8, Epsilon: 0.2326
Episode: 293, Steps: 18, Steps_X: 7, Steps_Y: 11, Total Score: 32, Epsilon: 0.2302
Episode: 296, Steps: 30, Steps_X: 17, Steps_Y: 13, Total Score: 20, Epsilon: 0.2268
Episode: 297, Steps: 26, Steps_X: 17, Steps_Y: 9, Total Score: 24, Epsilon: 0.2257
Episode: 299, Steps: 16, Steps_X: 7, Steps_Y: 9, Total Score: 34, Epsilon: 0.2234
Episode: 300, Steps: 28, Steps_X: 17, Steps_Y: 11, Total Score: 22, Epsilon: 0.2223
Episode: 315, Steps: 40, Steps_X: 23, Steps_Y: 17, Total Score: 10, Epsilon: 0.2062
Episode: 319, Steps: 32, Steps_X: 13, Steps_Y: 19, Total Score: 18, Epsilon: 0.2021
Episode: 326, Steps: 38, Steps_X: 19, Steps_Y: 19, Total Score: 12, Epsilon: 0.1951
Episode: 330, Steps: 14, Steps_X: 7, Steps_Y: 7, Total Score: 36, Epsilon: 0.1913
Episode: 331, Steps: 18, Steps_X: 9, Steps_Y: 9, Total Score: 32, Epsilon: 0.1903
Episode: 337, Steps: 40, Steps_X: 15, Steps_Y: 25, Total Score: 10, Epsilon: 0.1847
