Round: 1, Phase: 2/2, Algorithm: q_learning, Episode: 1, Global Episode: 1033, Event: hole, Total Score: -100, Covered White Tiles: 0/52, Epsilon: 0.9950
Round: 1, Phase: 2/2, Algorithm: q_learning, Episode: 2, Global Episode: 1034, Event: hole, Total Score: -94, Covered White Tiles: 1/52, Epsilon: 0.9900
Round: 1, Phase: 2/2, Algorithm: q_learning, Episode: 3, Global Episode: 1035, Event: hole, Total Score: -86, Covered White Tiles: 2/52, Epsilon: 0.9851
Round: 1, Phase: 2/2, Algorithm: q_learning, Episode: 4, Global Episode: 1036, Event: hole, Total Score: -80, Covered White Tiles: 4/52, Epsilon: 0.9801
Round: 1, Phase: 2/2, Algorithm: q_learning, Episode: 5, Global Episode: 1037, Event: hole, Total Score: -100, Covered White Tiles: 0/52, Epsilon: 0.9752
Round: 1, Phase: 2/2, Algorithm: q_learning, Episode: 6, Global Episode: 1038, Event: hole, Total Score: -86, Covered White Tiles: 2/52, Epsilon: 0.9704
Round: 1, Phase: 2/2, Algorithm: q_learning, Episode: 7, Global Episode: 1039, Event: hole, Total Score: -93, Covered White Tiles: 2/52, Epsilon: 0.9655
Round: 1, Phase: 2/2, Algorithm: q_learning, Episode: 8, Global Episode: 1040, Event: hole, Total Score: -79, Covered White Tiles: 3/52, Epsilon: 0.9607
Round: 1, Phase: 2/2, Algorithm: q_learning, Episode: 9, Global Episode: 1041, Event: hole, Total Score: -94, Covered White Tiles: 2/52, Epsilon: 0.9559
Round: 1, Phase: 2/2, Algorithm: q_learning, Episode: 10, Global Episode: 1042, Event: hole, Total Score: -86, Covered White Tiles: 2/52, Epsilon: 0.9511
Round: 1, Phase: 2/2, Algorithm: q_learning, Episode: 11, Global Episode: 1043, Event: hole, Total Score: -100, Covered White Tiles: 0/52, Epsilon: 0.9464
Round: 1, Phase: 2/2, Algorithm: q_learning, Episode: 12, Global Episode: 1044, Event: hole, Total Score: -108, Covered White Tiles: 3/52, Epsilon: 0.9416
Round: 1, Phase: 2/2, Algorithm: q_learning, Episode: 13, Global Episode: 1045, Event: hole, Total Score: -93, Covered White Tiles: 3/52, Epsilon: 0.9369
Round: 1, Phase: 2/2, Algorithm: q_learning, Episode: 14, Global Episode: 1046, Event: hole, Total Score: -86, Covered White Tiles: 2/52, Epsilon: 0.9322
Round: 1, Phase: 2/2, Algorithm: q_learning, Episode: 15, Global Episode: 1047, Event: hole, Total Score: -86, Covered White Tiles: 2/52, Epsilon: 0.9276
Round: 1, Phase: 2/2, Algorithm: q_learning, Episode: 16, Global Episode: 1048, Event: hole, Total Score: -100, Covered White Tiles: 0/52, Epsilon: 0.9229
Round: 1, Phase: 2/2, Algorithm: q_learning, Episode: 17, Global Episode: 1049, Event: hole, Total Score: -86, Covered White Tiles: 2/52, Epsilon: 0.9183
Round: 1, Phase: 2/2, Algorithm: q_learning, Episode: 18, Global Episode: 1050, Event: hole, Total Score: -100, Covered White Tiles: 0/52, Epsilon: 0.9137
Round: 1, Phase: 2/2, Algorithm: q_learning, Episode: 19, Global Episode: 1051, Event: hole, Total Score: -100, Covered White Tiles: 0/52, Epsilon: 0.9092
Round: 1, Phase: 2/2, Algorithm: q_learning, Episode: 20, Global Episode: 1052, Event: hole, Total Score: -94, Covered White Tiles: 2/52, Epsilon: 0.9046
Round: 1, Phase: 2/2, Algorithm: q_learning, Episode: 21, Global Episode: 1053, Event: hole, Total Score: -86, Covered White Tiles: 2/52, Epsilon: 0.9001
Round: 1, Phase: 2/2, Algorithm: q_learning, Episode: 22, Global Episode: 1054, Event: hole, Total Score: -80, Covered White Tiles: 3/52, Epsilon: 0.8956
Round: 1, Phase: 2/2, Algorithm: q_learning, Episode: 23, Global Episode: 1055, Event: hole, Total Score: -86, Covered White Tiles: 5/52, Epsilon: 0.8911
Round: 1, Phase: 2/2, Algorithm: q_learning, Episode: 24, Global Episode: 1056, Event: hole, Total Score: -100, Covered White Tiles: 0/52, Epsilon: 0.8867
Round: 1, Phase: 2/2, Algorithm: q_learning, Episode: 25, Global Episode: 1057, Event: hole, Total Score: -100, Covered White Tiles: 0/52, Epsilon: 0.8822
Round: 1, Phase: 2/2, Algorithm: q_learning, Episode: 26, Global Episode: 1058, Event: hole, Total Score: -86, Covered White Tiles: 2/52, Epsilon: 0.8778
Round: 1, Phase: 2/2, Algorithm: q_learning, Episode: 27, Global Episode: 1059, Event: hole, Total Score: -79, Covered White Tiles: 5/52, Epsilon: 0.8734
Round: 1, Phase: 2/2, Algorithm: q_learning, Episode: 28, Global Episode: 1060, Event: hole, Total Score: -79, Covered White Tiles: 4/52, Epsilon: 0.8691
Round: 1, Phase: 2/2, Algorithm: q_learning, Episode: 29, Global Episode: 1061, Event: hole, Total Score: -100, Covered White Tiles: 0/52, Epsilon: 0.8647
Round: 1, Phase: 2/2, Algorithm: q_learning, Episode: 30, Global Episode: 1062, Event: hole, Total Score: -86, Covered White Tiles: 2/52, Epsilon: 0.8604
Round: 1, Phase: 2/2, Algorithm: q_learning, Episode: 31, Global Episode: 1063, Event: hole, Total Score: -93, Covered White Tiles: 2/52, Epsilon: 0.8561
Round: 1, Phase: 2/2, Algorithm: q_learning, Episode: 32, Global Episode: 1064, Event: hole, Total Score: -72, Covered White Tiles: 4/52, Epsilon: 0.8518
Round: 1, Phase: 2/2, Algorithm: q_learning, Episode: 33, Global Episode: 1065, Event: hole, Total Score: -86, Covered White Tiles: 2/52, Epsilon: 0.8475
Round: 1, Phase: 2/2, Algorithm: q_learning, Episode: 34, Global Episode: 1066, Event: hole, Total Score: -93, Covered White Tiles: 1/52, Epsilon: 0.8433
Round: 1, Phase: 2/2, Algorithm: q_learning, Episode: 35, Global Episode: 1067, Event: hole, Total Score: -93, Covered White Tiles: 1/52, Epsilon: 0.8391
Round: 1, Phase: 2/2, Algorithm: q_learning, Episode: 36, Global Episode: 1068, Event: hole, Total Score: -100, Covered White Tiles: 0/52, Epsilon: 0.8349
Round: 1, Phase: 2/2, Algorithm: q_learning, Episode: 37, Global Episode: 1069, Event: hole, Total Score: -86, Covered White Tiles: 2/52, Epsilon: 0.8307
Round: 1, Phase: 2/2, Algorithm: q_learning, Episode: 38, Global Episode: 1070, Event: hole, Total Score: -100, Covered White Tiles: 0/52, Epsilon: 0.8266
Round: 1, Phase: 2/2, Algorithm: q_learning, Episode: 39, Global Episode: 1071, Event: hole, Total Score: -86, Covered White Tiles: 3/52, Epsilon: 0.8224
Round: 1, Phase: 2/2, Algorithm: q_learning, Episode: 40, Global Episode: 1072, Event: hole, Total Score: -73, Covered White Tiles: 4/52, Epsilon: 0.8183
Round: 1, Phase: 2/2, Algorithm: q_learning, Episode: 41, Global Episode: 1073, Event: hole, Total Score: -72, Covered White Tiles: 4/52, Epsilon: 0.8142
Round: 1, Phase: 2/2, Algorithm: q_learning, Episode: 42, Global Episode: 1074, Event: hole, Total Score: -86, Covered White Tiles: 2/52, Epsilon: 0.8102
Round: 1, Phase: 2/2, Algorithm: q_learning, Episode: 43, Global Episode: 1075, Event: hole, Total Score: -100, Covered White Tiles: 0/52, Epsilon: 0.8061
Round: 1, Phase: 2/2, Algorithm: q_learning, Episode: 44, Global Episode: 1076, Event: hole, Total Score: -86, Covered White Tiles: 2/52, Epsilon: 0.8021
Round: 1, Phase: 2/2, Algorithm: q_learning, Episode: 45, Global Episode: 1077, Event: hole, Total Score: -79, Covered White Tiles: 3/52, Epsilon: 0.7981
Round: 1, Phase: 2/2, Algorithm: q_learning, Episode: 46, Global Episode: 1078, Event: hole, Total Score: -86, Covered White Tiles: 2/52, Epsilon: 0.7941
Round: 1, Phase: 2/2, Algorithm: q_learning, Episode: 47, Global Episode: 1079, Event: hole, Total Score: -72, Covered White Tiles: 4/52, Epsilon: 0.7901
Round: 1, Phase: 2/2, Algorithm: q_learning, Episode: 48, Global Episode: 1080, Event: hole, Total Score: -86, Covered White Tiles: 2/52, Epsilon: 0.7862
Round: 1, Phase: 2/2, Algorithm: q_learning, Episode: 49, Global Episode: 1081, Event: hole, Total Score: -86, Covered White Tiles: 3/52, Epsilon: 0.7822
Round: 1, Phase: 2/2, Algorithm: q_learning, Episode: 50, Global Episode: 1082, Event: hole, Total Score: -93, Covered White Tiles: 1/52, Epsilon: 0.7783
Round: 1, Phase: 2/2, Algorithm: q_learning, Episode: 51, Global Episode: 1083, Event: hole, Total Score: -100, Covered White Tiles: 0/52, Epsilon: 0.7744
Round: 1, Phase: 2/2, Algorithm: q_learning, Episode: 52, Global Episode: 1084, Event: hole, Total Score: -72, Covered White Tiles: 4/52, Epsilon: 0.7705
Round: 1, Phase: 2/2, Algorithm: q_learning, Episode: 53, Global Episode: 1085, Event: hole, Total Score: -79, Covered White Tiles: 5/52, Epsilon: 0.7667
Round: 1, Phase: 2/2, Algorithm: q_learning, Episode: 54, Global Episode: 1086, Event: hole, Total Score: -93, Covered White Tiles: 1/52, Epsilon: 0.7629
Round: 1, Phase: 2/2, Algorithm: q_learning, Episode: 55, Global Episode: 1087, Event: hole, Total Score: -100, Covered White Tiles: 0/52, Epsilon: 0.7590
Round: 1, Phase: 2/2, Algorithm: q_learning, Episode: 56, Global Episode: 1088, Event: hole, Total Score: -58, Covered White Tiles: 7/52, Epsilon: 0.7553
Round: 1, Phase: 2/2, Algorithm: q_learning, Episode: 57, Global Episode: 1089, Event: hole, Total Score: -100, Covered White Tiles: 0/52, Epsilon: 0.7515
Round: 1, Phase: 2/2, Algorithm: q_learning, Episode: 58, Global Episode: 1090, Event: hole, Total Score: -100, Covered White Tiles: 0/52, Epsilon: 0.7477
Round: 1, Phase: 2/2, Algorithm: q_learning, Episode: 59, Global Episode: 1091, Event: hole, Total Score: -79, Covered White Tiles: 5/52, Epsilon: 0.7440
Round: 1, Phase: 2/2, Algorithm: q_learning, Episode: 60, Global Episode: 1092, Event: hole, Total Score: -100, Covered White Tiles: 0/52, Epsilon: 0.7403
Round: 1, Phase: 2/2, Algorithm: q_learning, Episode: 61, Global Episode: 1093, Event: hole, Total Score: -100, Covered White Tiles: 0/52, Epsilon: 0.7366
Round: 1, Phase: 2/2, Algorithm: q_learning, Episode: 62, Global Episode: 1094, Event: hole, Total Score: -94, Covered White Tiles: 1/52, Epsilon: 0.7329
Round: 1, Phase: 2/2, Algorithm: q_learning, Episode: 63, Global Episode: 1095, Event: hole, Total Score: -93, Covered White Tiles: 1/52, Epsilon: 0.7292
Round: 1, Phase: 2/2, Algorithm: q_learning, Episode: 64, Global Episode: 1096, Event: hole, Total Score: -94, Covered White Tiles: 4/52, Epsilon: 0.7256
Round: 1, Phase: 2/2, Algorithm: q_learning, Episode: 65, Global Episode: 1097, Event: hole, Total Score: -93, Covered White Tiles: 1/52, Epsilon: 0.7219
Round: 1, Phase: 2/2, Algorithm: q_learning, Episode: 66, Global Episode: 1098, Event: hole, Total Score: -79, Covered White Tiles: 4/52, Epsilon: 0.7183
Round: 1, Phase: 2/2, Algorithm: q_learning, Episode: 67, Global Episode: 1099, Event: hole, Total Score: -86, Covered White Tiles: 2/52, Epsilon: 0.7147
Round: 1, Phase: 2/2, Algorithm: q_learning, Episode: 68, Global Episode: 1100, Event: hole, Total Score: -100, Covered White Tiles: 0/52, Epsilon: 0.7112
Round: 1, Phase: 2/2, Algorithm: q_learning, Episode: 69, Global Episode: 1101, Event: hole, Total Score: -72, Covered White Tiles: 5/52, Epsilon: 0.7076
Round: 1, Phase: 2/2, Algorithm: q_learning, Episode: 70, Global Episode: 1102, Event: hole, Total Score: -100, Covered White Tiles: 0/52, Epsilon: 0.7041
Round: 1, Phase: 2/2, Algorithm: q_learning, Episode: 71, Global Episode: 1103, Event: hole, Total Score: -86, Covered White Tiles: 6/52, Epsilon: 0.7005
Round: 1, Phase: 2/2, Algorithm: q_learning, Episode: 72, Global Episode: 1104, Event: hole, Total Score: -80, Covered White Tiles: 5/52, Epsilon: 0.6970
Round: 1, Phase: 2/2, Algorithm: q_learning, Episode: 73, Global Episode: 1105, Event: hole, Total Score: -93, Covered White Tiles: 1/52, Epsilon: 0.6936
Round: 1, Phase: 2/2, Algorithm: q_learning, Episode: 74, Global Episode: 1106, Event: hole, Total Score: -79, Covered White Tiles: 5/52, Epsilon: 0.6901
Round: 1, Phase: 2/2, Algorithm: q_learning, Episode: 75, Global Episode: 1107, Event: hole, Total Score: -100, Covered White Tiles: 0/52, Epsilon: 0.6866
Round: 1, Phase: 2/2, Algorithm: q_learning, Episode: 76, Global Episode: 1108, Event: hole, Total Score: -100, Covered White Tiles: 0/52, Epsilon: 0.6832
Round: 1, Phase: 2/2, Algorithm: q_learning, Episode: 77, Global Episode: 1109, Event: hole, Total Score: -65, Covered White Tiles: 6/52, Epsilon: 0.6798
Round: 1, Phase: 2/2, Algorithm: q_learning, Episode: 78, Global Episode: 1110, Event: hole, Total Score: -100, Covered White Tiles: 0/52, Epsilon: 0.6764
Round: 1, Phase: 2/2, Algorithm: q_learning, Episode: 79, Global Episode: 1111, Event: hole, Total Score: -80, Covered White Tiles: 6/52, Epsilon: 0.6730
Round: 1, Phase: 2/2, Algorithm: q_learning, Episode: 80, Global Episode: 1112, Event: hole, Total Score: -79, Covered White Tiles: 3/52, Epsilon: 0.6696
Round: 1, Phase: 2/2, Algorithm: q_learning, Episode: 81, Global Episode: 1113, Event: hole, Total Score: -51, Covered White Tiles: 9/52, Epsilon: 0.6663
Round: 1, Phase: 2/2, Algorithm: q_learning, Episode: 82, Global Episode: 1114, Event: hole, Total Score: -65, Covered White Tiles: 5/52, Epsilon: 0.6630
Round: 1, Phase: 2/2, Algorithm: q_learning, Episode: 83, Global Episode: 1115, Event: hole, Total Score: -87, Covered White Tiles: 2/52, Epsilon: 0.6597
Round: 1, Phase: 2/2, Algorithm: q_learning, Episode: 84, Global Episode: 1116, Event: hole, Total Score: -100, Covered White Tiles: 0/52, Epsilon: 0.6564
