Round: 2, Phase: 2/2, Algorithm: q_learning, Episode: 1, Global Episode: 5811, Event: hole, Total Score: -95, Covered White Tiles: 3/52, Epsilon: 0.9950
Round: 2, Phase: 2/2, Algorithm: q_learning, Episode: 2, Global Episode: 5812, Event: hole, Total Score: -86, Covered White Tiles: 3/52, Epsilon: 0.9900
Round: 2, Phase: 2/2, Algorithm: q_learning, Episode: 3, Global Episode: 5813, Event: hole, Total Score: -79, Covered White Tiles: 3/52, Epsilon: 0.9851
Round: 2, Phase: 2/2, Algorithm: q_learning, Episode: 4, Global Episode: 5814, Event: hole, Total Score: -66, Covered White Tiles: 12/52, Epsilon: 0.9801
Round: 2, Phase: 2/2, Algorithm: q_learning, Episode: 5, Global Episode: 5815, Event: hole, Total Score: -79, Covered White Tiles: 3/52, Epsilon: 0.9752
Round: 2, Phase: 2/2, Algorithm: q_learning, Episode: 6, Global Episode: 5816, Event: hole, Total Score: -86, Covered White Tiles: 2/52, Epsilon: 0.9704
Round: 2, Phase: 2/2, Algorithm: q_learning, Episode: 7, Global Episode: 5817, Event: hole, Total Score: -86, Covered White Tiles: 3/52, Epsilon: 0.9655
Round: 2, Phase: 2/2, Algorithm: q_learning, Episode: 8, Global Episode: 5818, Event: hole, Total Score: -95, Covered White Tiles: 5/52, Epsilon: 0.9607
Round: 2, Phase: 2/2, Algorithm: q_learning, Episode: 9, Global Episode: 5819, Event: hole, Total Score: -66, Covered White Tiles: 7/52, Epsilon: 0.9559
Round: 2, Phase: 2/2, Algorithm: q_learning, Episode: 10, Global Episode: 5820, Event: hole, Total Score: -68, Covered White Tiles: 18/52, Epsilon: 0.9511
Round: 2, Phase: 2/2, Algorithm: q_learning, Episode: 11, Global Episode: 5821, Event: hole, Total Score: -66, Covered White Tiles: 6/52, Epsilon: 0.9464
Round: 2, Phase: 2/2, Algorithm: q_learning, Episode: 12, Global Episode: 5822, Event: hole, Total Score: -87, Covered White Tiles: 2/52, Epsilon: 0.9416
Round: 2, Phase: 2/2, Algorithm: q_learning, Episode: 13, Global Episode: 5823, Event: hole, Total Score: -65, Covered White Tiles: 5/52, Epsilon: 0.9369
Round: 2, Phase: 2/2, Algorithm: q_learning, Episode: 14, Global Episode: 5824, Event: hole, Total Score: -94, Covered White Tiles: 3/52, Epsilon: 0.9322
Round: 2, Phase: 2/2, Algorithm: q_learning, Episode: 15, Global Episode: 5825, Event: hole, Total Score: -72, Covered White Tiles: 4/52, Epsilon: 0.9276
Round: 2, Phase: 2/2, Algorithm: q_learning, Episode: 16, Global Episode: 5826, Event: hole, Total Score: -72, Covered White Tiles: 4/52, Epsilon: 0.9229
Round: 2, Phase: 2/2, Algorithm: q_learning, Episode: 17, Global Episode: 5827, Event: hole, Total Score: -93, Covered White Tiles: 1/52, Epsilon: 0.9183
Round: 2, Phase: 2/2, Algorithm: q_learning, Episode: 18, Global Episode: 5828, Event: hole, Total Score: -66, Covered White Tiles: 7/52, Epsilon: 0.9137
Round: 2, Phase: 2/2, Algorithm: q_learning, Episode: 19, Global Episode: 5829, Event: hole, Total Score: -73, Covered White Tiles: 6/52, Epsilon: 0.9092
Round: 2, Phase: 2/2, Algorithm: q_learning, Episode: 20, Global Episode: 5830, Event: hole, Total Score: -66, Covered White Tiles: 8/52, Epsilon: 0.9046
Round: 2, Phase: 2/2, Algorithm: q_learning, Episode: 21, Global Episode: 5831, Event: hole, Total Score: -93, Covered White Tiles: 1/52, Epsilon: 0.9001
Round: 2, Phase: 2/2, Algorithm: q_learning, Episode: 22, Global Episode: 5832, Event: hole, Total Score: -100, Covered White Tiles: 2/52, Epsilon: 0.8956
Round: 2, Phase: 2/2, Algorithm: q_learning, Episode: 23, Global Episode: 5833, Event: hole, Total Score: -65, Covered White Tiles: 10/52, Epsilon: 0.8911
Round: 2, Phase: 2/2, Algorithm: q_learning, Episode: 24, Global Episode: 5834, Event: hole, Total Score: -79, Covered White Tiles: 5/52, Epsilon: 0.8867
Round: 2, Phase: 2/2, Algorithm: q_learning, Episode: 25, Global Episode: 5835, Event: hole, Total Score: -123, Covered White Tiles: 6/52, Epsilon: 0.8822
Round: 2, Phase: 2/2, Algorithm: q_learning, Episode: 26, Global Episode: 5836, Event: hole, Total Score: -65, Covered White Tiles: 6/52, Epsilon: 0.8778
