Round: 1, Phase: 1/2, Algorithm: sarsa, Episode: 1, Event: hole, Total Score: -51, Covered White Tiles: 7/50, Epsilon: 0.9800
Round: 1, Phase: 1/2, Algorithm: sarsa, Episode: 2, Event: hole, Total Score: -48, Covered White Tiles: 9/50, Epsilon: 0.9604
Round: 1, Phase: 1/2, Algorithm: sarsa, Episode: 3, Event: hole, Total Score: -79, Covered White Tiles: 3/50, Epsilon: 0.9412
Round: 1, Phase: 1/2, Algorithm: sarsa, Episode: 4, Event: hole, Total Score: -93, Covered White Tiles: 1/50, Epsilon: 0.9224
Round: 1, Phase: 1/2, Algorithm: sarsa, Episode: 5, Event: hole, Total Score: -82, Covered White Tiles: 4/50, Epsilon: 0.9039
Round: 1, Phase: 1/2, Algorithm: sarsa, Episode: 6, Event: hole, Total Score: -79, Covered White Tiles: 3/50, Epsilon: 0.8858
Round: 1, Phase: 1/2, Algorithm: sarsa, Episode: 7, Event: hole, Total Score: -93, Covered White Tiles: 1/50, Epsilon: 0.8681
Round: 1, Phase: 1/2, Algorithm: sarsa, Episode: 8, Event: hole, Total Score: -89, Covered White Tiles: 6/50, Epsilon: 0.8508
Round: 1, Phase: 1/2, Algorithm: sarsa, Episode: 9, Event: hole, Total Score: -83, Covered White Tiles: 4/50, Epsilon: 0.8337
Round: 1, Phase: 1/2, Algorithm: sarsa, Episode: 10, Event: hole, Total Score: -79, Covered White Tiles: 3/50, Epsilon: 0.8171
