Round: 4, Phase: 1/2, Algorithm: sarsa, Episode: 1, Global Episode: 9881, Event: hole, Total Score: -117, Covered White Tiles: 5/50, Epsilon: 0.9950
Round: 4, Phase: 1/2, Algorithm: sarsa, Episode: 2, Global Episode: 9882, Event: hole, Total Score: -95, Covered White Tiles: 8/50, Epsilon: 0.9900
Round: 4, Phase: 1/2, Algorithm: sarsa, Episode: 3, Global Episode: 9883, Event: hole, Total Score: -114, Covered White Tiles: 3/50, Epsilon: 0.9851
Round: 4, Phase: 1/2, Algorithm: sarsa, Episode: 4, Global Episode: 9884, Event: hole, Total Score: -65, Covered White Tiles: 6/50, Epsilon: 0.9801
Round: 4, Phase: 1/2, Algorithm: sarsa, Episode: 5, Global Episode: 9885, Event: hole, Total Score: -51, Covered White Tiles: 8/50, Epsilon: 0.9752
Round: 4, Phase: 1/2, Algorithm: sarsa, Episode: 6, Global Episode: 9886, Event: hole, Total Score: -86, Covered White Tiles: 2/50, Epsilon: 0.9704
Round: 4, Phase: 1/2, Algorithm: sarsa, Episode: 7, Global Episode: 9887, Event: hole, Total Score: -148, Covered White Tiles: 7/50, Epsilon: 0.9655
Round: 4, Phase: 1/2, Algorithm: sarsa, Episode: 8, Global Episode: 9888, Event: hole, Total Score: -79, Covered White Tiles: 4/50, Epsilon: 0.9607
Round: 4, Phase: 1/2, Algorithm: sarsa, Episode: 9, Global Episode: 9889, Event: hole, Total Score: -86, Covered White Tiles: 2/50, Epsilon: 0.9559
Round: 4, Phase: 1/2, Algorithm: sarsa, Episode: 10, Global Episode: 9890, Event: hole, Total Score: -87, Covered White Tiles: 3/50, Epsilon: 0.9511
Round: 4, Phase: 1/2, Algorithm: sarsa, Episode: 11, Global Episode: 9891, Event: hole, Total Score: -66, Covered White Tiles: 5/50, Epsilon: 0.9464
Round: 4, Phase: 1/2, Algorithm: sarsa, Episode: 12, Global Episode: 9892, Event: hole, Total Score: -72, Covered White Tiles: 4/50, Epsilon: 0.9416
Round: 4, Phase: 1/2, Algorithm: sarsa, Episode: 13, Global Episode: 9893, Event: hole, Total Score: -79, Covered White Tiles: 7/50, Epsilon: 0.9369
Round: 4, Phase: 1/2, Algorithm: sarsa, Episode: 14, Global Episode: 9894, Event: hole, Total Score: -94, Covered White Tiles: 6/50, Epsilon: 0.9322
Round: 4, Phase: 1/2, Algorithm: sarsa, Episode: 15, Global Episode: 9895, Event: hole, Total Score: -105, Covered White Tiles: 7/50, Epsilon: 0.9276
Round: 4, Phase: 1/2, Algorithm: sarsa, Episode: 16, Global Episode: 9896, Event: hole, Total Score: -93, Covered White Tiles: 3/50, Epsilon: 0.9229
Round: 4, Phase: 1/2, Algorithm: sarsa, Episode: 17, Global Episode: 9897, Event: hole, Total Score: -86, Covered White Tiles: 2/50, Epsilon: 0.9183
Round: 4, Phase: 1/2, Algorithm: sarsa, Episode: 18, Global Episode: 9898, Event: hole, Total Score: -16, Covered White Tiles: 15/50, Epsilon: 0.9137
