Round: 3, Phase: 2/2, Algorithm: q_learning, Episode: 1, Global Episode: 8802, Event: hole, Total Score: -100, Covered White Tiles: 0/48, Epsilon: 0.9950
Round: 3, Phase: 2/2, Algorithm: q_learning, Episode: 2, Global Episode: 8803, Event: hole, Total Score: -93, Covered White Tiles: 1/48, Epsilon: 0.9900
Round: 3, Phase: 2/2, Algorithm: q_learning, Episode: 3, Global Episode: 8804, Event: hole, Total Score: -100, Covered White Tiles: 0/48, Epsilon: 0.9851
Round: 3, Phase: 2/2, Algorithm: q_learning, Episode: 4, Global Episode: 8805, Event: hole, Total Score: -93, Covered White Tiles: 1/48, Epsilon: 0.9801
Round: 3, Phase: 2/2, Algorithm: q_learning, Episode: 5, Global Episode: 8806, Event: hole, Total Score: -100, Covered White Tiles: 0/48, Epsilon: 0.9752
Round: 3, Phase: 2/2, Algorithm: q_learning, Episode: 6, Global Episode: 8807, Event: hole, Total Score: -79, Covered White Tiles: 3/48, Epsilon: 0.9704
Round: 3, Phase: 2/2, Algorithm: q_learning, Episode: 7, Global Episode: 8808, Event: hole, Total Score: -87, Covered White Tiles: 2/48, Epsilon: 0.9655
Round: 3, Phase: 2/2, Algorithm: q_learning, Episode: 8, Global Episode: 8809, Event: hole, Total Score: -93, Covered White Tiles: 1/48, Epsilon: 0.9607
Round: 3, Phase: 2/2, Algorithm: q_learning, Episode: 9, Global Episode: 8810, Event: hole, Total Score: -86, Covered White Tiles: 3/48, Epsilon: 0.9559
Round: 3, Phase: 2/2, Algorithm: q_learning, Episode: 10, Global Episode: 8811, Event: hole, Total Score: -93, Covered White Tiles: 1/48, Epsilon: 0.9511
Round: 3, Phase: 2/2, Algorithm: q_learning, Episode: 11, Global Episode: 8812, Event: hole, Total Score: -100, Covered White Tiles: 0/48, Epsilon: 0.9464
Round: 3, Phase: 2/2, Algorithm: q_learning, Episode: 12, Global Episode: 8813, Event: hole, Total Score: -94, Covered White Tiles: 2/48, Epsilon: 0.9416
Round: 3, Phase: 2/2, Algorithm: q_learning, Episode: 13, Global Episode: 8814, Event: hole, Total Score: -93, Covered White Tiles: 1/48, Epsilon: 0.9369
Round: 3, Phase: 2/2, Algorithm: q_learning, Episode: 14, Global Episode: 8815, Event: hole, Total Score: -86, Covered White Tiles: 2/48, Epsilon: 0.9322
Round: 3, Phase: 2/2, Algorithm: q_learning, Episode: 15, Global Episode: 8816, Event: hole, Total Score: -93, Covered White Tiles: 1/48, Epsilon: 0.9276
Round: 3, Phase: 2/2, Algorithm: q_learning, Episode: 16, Global Episode: 8817, Event: hole, Total Score: -100, Covered White Tiles: 0/48, Epsilon: 0.9229
Round: 3, Phase: 2/2, Algorithm: q_learning, Episode: 17, Global Episode: 8818, Event: hole, Total Score: -93, Covered White Tiles: 1/48, Epsilon: 0.9183
Round: 3, Phase: 2/2, Algorithm: q_learning, Episode: 18, Global Episode: 8819, Event: hole, Total Score: -72, Covered White Tiles: 4/48, Epsilon: 0.9137
Round: 3, Phase: 2/2, Algorithm: q_learning, Episode: 19, Global Episode: 8820, Event: hole, Total Score: -86, Covered White Tiles: 2/48, Epsilon: 0.9092
Round: 3, Phase: 2/2, Algorithm: q_learning, Episode: 20, Global Episode: 8821, Event: hole, Total Score: -58, Covered White Tiles: 7/48, Epsilon: 0.9046
