Round: 8, Phase: 2/2, Algorithm: q_learning, Episode: 1, Global Episode: 9123, Event: hole, Total Score: -32, Turns: 0, Turn Penalty: -3, Epsilon: 0.9950
Round: 8, Phase: 2/2, Algorithm: q_learning, Episode: 2, Global Episode: 9124, Event: hole, Total Score: -28, Turns: 0, Turn Penalty: -3, Epsilon: 0.9900
Round: 8, Phase: 2/2, Algorithm: q_learning, Episode: 3, Global Episode: 9125, Event: hole, Total Score: -39, Turns: 0, Turn Penalty: -3, Epsilon: 0.9851
Round: 8, Phase: 2/2, Algorithm: q_learning, Episode: 4, Global Episode: 9126, Event: hole, Total Score: -35, Turns: 0, Turn Penalty: -3, Epsilon: 0.9801
Round: 8, Phase: 2/2, Algorithm: q_learning, Episode: 5, Global Episode: 9127, Event: hole, Total Score: -33, Turns: 0, Turn Penalty: 0, Epsilon: 0.9752
Round: 8, Phase: 2/2, Algorithm: q_learning, Episode: 6, Global Episode: 9128, Event: hole, Total Score: -26, Turns: 0, Turn Penalty: 0, Epsilon: 0.9704
Round: 8, Phase: 2/2, Algorithm: q_learning, Episode: 7, Global Episode: 9129, Event: hole, Total Score: -31, Turns: 0, Turn Penalty: -3, Epsilon: 0.9655
Round: 8, Phase: 2/2, Algorithm: q_learning, Episode: 8, Global Episode: 9130, Event: hole, Total Score: -26, Turns: 0, Turn Penalty: 0, Epsilon: 0.9607
Round: 8, Phase: 2/2, Algorithm: q_learning, Episode: 9, Global Episode: 9131, Event: hole, Total Score: -35, Turns: 0, Turn Penalty: -3, Epsilon: 0.9559
Round: 8, Phase: 2/2, Algorithm: q_learning, Episode: 10, Global Episode: 9132, Event: hole, Total Score: -36, Turns: 0, Turn Penalty: -3, Epsilon: 0.9511
Round: 8, Phase: 2/2, Algorithm: q_learning, Episode: 11, Global Episode: 9133, Event: hole, Total Score: -42, Turns: 0, Turn Penalty: -3, Epsilon: 0.9464
Round: 8, Phase: 2/2, Algorithm: q_learning, Episode: 12, Global Episode: 9134, Event: hole, Total Score: -26, Turns: 0, Turn Penalty: 0, Epsilon: 0.9416
Round: 8, Phase: 2/2, Algorithm: q_learning, Episode: 13, Global Episode: 9135, Event: hole, Total Score: -35, Turns: 0, Turn Penalty: -3, Epsilon: 0.9369
Round: 8, Phase: 2/2, Algorithm: q_learning, Episode: 14, Global Episode: 9136, Event: hole, Total Score: -30, Turns: 0, Turn Penalty: -3, Epsilon: 0.9322
Round: 8, Phase: 2/2, Algorithm: q_learning, Episode: 15, Global Episode: 9137, Event: hole, Total Score: -26, Turns: 0, Turn Penalty: 0, Epsilon: 0.9276
Round: 8, Phase: 2/2, Algorithm: q_learning, Episode: 16, Global Episode: 9138, Event: hole, Total Score: -26, Turns: 0, Turn Penalty: 0, Epsilon: 0.9229
Round: 8, Phase: 2/2, Algorithm: q_learning, Episode: 17, Global Episode: 9139, Event: hole, Total Score: -37, Turns: 0, Turn Penalty: -3, Epsilon: 0.9183
Round: 8, Phase: 2/2, Algorithm: q_learning, Episode: 18, Global Episode: 9140, Event: hole, Total Score: -26, Turns: 0, Turn Penalty: 0, Epsilon: 0.9137
Round: 8, Phase: 2/2, Algorithm: q_learning, Episode: 19, Global Episode: 9141, Event: hole, Total Score: -26, Turns: 0, Turn Penalty: 0, Epsilon: 0.9092
Round: 8, Phase: 2/2, Algorithm: q_learning, Episode: 20, Global Episode: 9142, Event: hole, Total Score: -26, Turns: 0, Turn Penalty: 0, Epsilon: 0.9046
Round: 8, Phase: 2/2, Algorithm: q_learning, Episode: 21, Global Episode: 9143, Event: hole, Total Score: -35, Turns: 0, Turn Penalty: -3, Epsilon: 0.9001
Round: 8, Phase: 2/2, Algorithm: q_learning, Episode: 22, Global Episode: 9144, Event: hole, Total Score: -50, Turns: 0, Turn Penalty: -3, Epsilon: 0.8956
Round: 8, Phase: 2/2, Algorithm: q_learning, Episode: 23, Global Episode: 9145, Event: hole, Total Score: -32, Turns: 0, Turn Penalty: 0, Epsilon: 0.8911
Round: 8, Phase: 2/2, Algorithm: q_learning, Episode: 24, Global Episode: 9146, Event: hole, Total Score: -26, Turns: 0, Turn Penalty: 0, Epsilon: 0.8867
Round: 8, Phase: 2/2, Algorithm: q_learning, Episode: 25, Global Episode: 9147, Event: hole, Total Score: -28, Turns: 0, Turn Penalty: -3, Epsilon: 0.8822
Round: 8, Phase: 2/2, Algorithm: q_learning, Episode: 26, Global Episode: 9148, Event: hole, Total Score: -26, Turns: 0, Turn Penalty: 0, Epsilon: 0.8778
Round: 8, Phase: 2/2, Algorithm: q_learning, Episode: 27, Global Episode: 9149, Event: hole, Total Score: -26, Turns: 0, Turn Penalty: 0, Epsilon: 0.8734
Round: 8, Phase: 2/2, Algorithm: q_learning, Episode: 28, Global Episode: 9150, Event: hole, Total Score: -32, Turns: 0, Turn Penalty: -3, Epsilon: 0.8691
Round: 8, Phase: 2/2, Algorithm: q_learning, Episode: 29, Global Episode: 9151, Event: hole, Total Score: -47, Turns: 0, Turn Penalty: -3, Epsilon: 0.8647
Round: 8, Phase: 2/2, Algorithm: q_learning, Episode: 30, Global Episode: 9152, Event: hole, Total Score: -31, Turns: 0, Turn Penalty: -3, Epsilon: 0.8604
Round: 8, Phase: 2/2, Algorithm: q_learning, Episode: 31, Global Episode: 9153, Event: hole, Total Score: -26, Turns: 0, Turn Penalty: 0, Epsilon: 0.8561
Round: 8, Phase: 2/2, Algorithm: q_learning, Episode: 32, Global Episode: 9154, Event: hole, Total Score: -30, Turns: 0, Turn Penalty: -3, Epsilon: 0.8518
Round: 8, Phase: 2/2, Algorithm: q_learning, Episode: 33, Global Episode: 9155, Event: hole, Total Score: -43, Turns: 0, Turn Penalty: -3, Epsilon: 0.8475
Round: 8, Phase: 2/2, Algorithm: q_learning, Episode: 34, Global Episode: 9156, Event: hole, Total Score: -34, Turns: 0, Turn Penalty: 0, Epsilon: 0.8433
Round: 8, Phase: 2/2, Algorithm: q_learning, Episode: 35, Global Episode: 9157, Event: hole, Total Score: -26, Turns: 0, Turn Penalty: 0, Epsilon: 0.8391
Round: 8, Phase: 2/2, Algorithm: q_learning, Episode: 36, Global Episode: 9158, Event: hole, Total Score: -28, Turns: 0, Turn Penalty: -3, Epsilon: 0.8349
Round: 8, Phase: 2/2, Algorithm: q_learning, Episode: 37, Global Episode: 9159, Event: hole, Total Score: -26, Turns: 0, Turn Penalty: 0, Epsilon: 0.8307
Round: 8, Phase: 2/2, Algorithm: q_learning, Episode: 38, Global Episode: 9160, Event: hole, Total Score: -33, Turns: 0, Turn Penalty: -3, Epsilon: 0.8266
Round: 8, Phase: 2/2, Algorithm: q_learning, Episode: 39, Global Episode: 9161, Event: hole, Total Score: -26, Turns: 0, Turn Penalty: 0, Epsilon: 0.8224
Round: 8, Phase: 2/2, Algorithm: q_learning, Episode: 40, Global Episode: 9162, Event: hole, Total Score: -29, Turns: 0, Turn Penalty: -3, Epsilon: 0.8183
Round: 8, Phase: 2/2, Algorithm: q_learning, Episode: 41, Global Episode: 9163, Event: hole, Total Score: -29, Turns: 0, Turn Penalty: -3, Epsilon: 0.8142
Round: 8, Phase: 2/2, Algorithm: q_learning, Episode: 42, Global Episode: 9164, Event: hole, Total Score: -32, Turns: 0, Turn Penalty: 0, Epsilon: 0.8102
Round: 8, Phase: 2/2, Algorithm: q_learning, Episode: 43, Global Episode: 9165, Event: hole, Total Score: -41, Turns: 0, Turn Penalty: -3, Epsilon: 0.8061
Round: 8, Phase: 2/2, Algorithm: q_learning, Episode: 44, Global Episode: 9166, Event: hole, Total Score: -26, Turns: 0, Turn Penalty: 0, Epsilon: 0.8021
Round: 8, Phase: 2/2, Algorithm: q_learning, Episode: 45, Global Episode: 9167, Event: hole, Total Score: -30, Turns: 0, Turn Penalty: -3, Epsilon: 0.7981
Round: 8, Phase: 2/2, Algorithm: q_learning, Episode: 46, Global Episode: 9168, Event: hole, Total Score: -42, Turns: 0, Turn Penalty: -3, Epsilon: 0.7941
Round: 8, Phase: 2/2, Algorithm: q_learning, Episode: 47, Global Episode: 9169, Event: hole, Total Score: -41, Turns: 0, Turn Penalty: -3, Epsilon: 0.7901
Round: 8, Phase: 2/2, Algorithm: q_learning, Episode: 48, Global Episode: 9170, Event: hole, Total Score: -29, Turns: 0, Turn Penalty: -3, Epsilon: 0.7862
Round: 8, Phase: 2/2, Algorithm: q_learning, Episode: 49, Global Episode: 9171, Event: hole, Total Score: -48, Turns: 0, Turn Penalty: -3, Epsilon: 0.7822
Round: 8, Phase: 2/2, Algorithm: q_learning, Episode: 50, Global Episode: 9172, Event: hole, Total Score: -32, Turns: 0, Turn Penalty: -3, Epsilon: 0.7783
Round: 8, Phase: 2/2, Algorithm: q_learning, Episode: 51, Global Episode: 9173, Event: hole, Total Score: -29, Turns: 0, Turn Penalty: -3, Epsilon: 0.7744
Round: 8, Phase: 2/2, Algorithm: q_learning, Episode: 52, Global Episode: 9174, Event: hole, Total Score: -26, Turns: 0, Turn Penalty: 0, Epsilon: 0.7705
Round: 8, Phase: 2/2, Algorithm: q_learning, Episode: 53, Global Episode: 9175, Event: hole, Total Score: -26, Turns: 0, Turn Penalty: 0, Epsilon: 0.7667
