Round: 4, Phase: 2/2, Algorithm: q_learning, Episode: 1, Global Episode: 4261, Event: hole, Total Score: -53, Turns: 0, Turn Penalty: 0, Epsilon: 0.9950
Round: 4, Phase: 2/2, Algorithm: q_learning, Episode: 2, Global Episode: 4262, Event: hole, Total Score: -71, Turns: 0, Turn Penalty: 0, Epsilon: 0.9900
Round: 4, Phase: 2/2, Algorithm: q_learning, Episode: 3, Global Episode: 4263, Event: hole, Total Score: -33, Turns: 0, Turn Penalty: 0, Epsilon: 0.9851
Round: 4, Phase: 2/2, Algorithm: q_learning, Episode: 4, Global Episode: 4264, Event: hole, Total Score: -37, Turns: 0, Turn Penalty: -3, Epsilon: 0.9801
Round: 4, Phase: 2/2, Algorithm: q_learning, Episode: 5, Global Episode: 4265, Event: hole, Total Score: -33, Turns: 0, Turn Penalty: -3, Epsilon: 0.9752
Round: 4, Phase: 2/2, Algorithm: q_learning, Episode: 6, Global Episode: 4266, Event: hole, Total Score: -33, Turns: 0, Turn Penalty: -3, Epsilon: 0.9704
Round: 4, Phase: 2/2, Algorithm: q_learning, Episode: 7, Global Episode: 4267, Event: hole, Total Score: -29, Turns: 0, Turn Penalty: -3, Epsilon: 0.9655
Round: 4, Phase: 2/2, Algorithm: q_learning, Episode: 8, Global Episode: 4268, Event: hole, Total Score: -38, Turns: 0, Turn Penalty: -3, Epsilon: 0.9607
Round: 4, Phase: 2/2, Algorithm: q_learning, Episode: 9, Global Episode: 4269, Event: hole, Total Score: -33, Turns: 0, Turn Penalty: -3, Epsilon: 0.9559
Round: 4, Phase: 2/2, Algorithm: q_learning, Episode: 10, Global Episode: 4270, Event: hole, Total Score: -54, Turns: 0, Turn Penalty: -3, Epsilon: 0.9511
Round: 4, Phase: 2/2, Algorithm: q_learning, Episode: 11, Global Episode: 4271, Event: hole, Total Score: -35, Turns: 0, Turn Penalty: -3, Epsilon: 0.9464
Round: 4, Phase: 2/2, Algorithm: q_learning, Episode: 12, Global Episode: 4272, Event: hole, Total Score: -81, Turns: 0, Turn Penalty: -3, Epsilon: 0.9416
Round: 4, Phase: 2/2, Algorithm: q_learning, Episode: 13, Global Episode: 4273, Event: hole, Total Score: -41, Turns: 0, Turn Penalty: -3, Epsilon: 0.9369
Round: 4, Phase: 2/2, Algorithm: q_learning, Episode: 14, Global Episode: 4274, Event: hole, Total Score: -29, Turns: 0, Turn Penalty: 0, Epsilon: 0.9322
Round: 4, Phase: 2/2, Algorithm: q_learning, Episode: 15, Global Episode: 4275, Event: hole, Total Score: -35, Turns: 0, Turn Penalty: -3, Epsilon: 0.9276
Round: 4, Phase: 2/2, Algorithm: q_learning, Episode: 16, Global Episode: 4276, Event: hole, Total Score: -33, Turns: 0, Turn Penalty: -3, Epsilon: 0.9229
Round: 4, Phase: 2/2, Algorithm: q_learning, Episode: 17, Global Episode: 4277, Event: hole, Total Score: -43, Turns: 0, Turn Penalty: -3, Epsilon: 0.9183
Round: 4, Phase: 2/2, Algorithm: q_learning, Episode: 18, Global Episode: 4278, Event: hole, Total Score: -59, Turns: 0, Turn Penalty: -3, Epsilon: 0.9137
Round: 4, Phase: 2/2, Algorithm: q_learning, Episode: 19, Global Episode: 4279, Event: hole, Total Score: -41, Turns: 0, Turn Penalty: 0, Epsilon: 0.9092
Round: 4, Phase: 2/2, Algorithm: q_learning, Episode: 20, Global Episode: 4280, Event: hole, Total Score: -34, Turns: 0, Turn Penalty: -3, Epsilon: 0.9046
Round: 4, Phase: 2/2, Algorithm: q_learning, Episode: 21, Global Episode: 4281, Event: hole, Total Score: -48, Turns: 0, Turn Penalty: 0, Epsilon: 0.9001
Round: 4, Phase: 2/2, Algorithm: q_learning, Episode: 22, Global Episode: 4282, Event: hole, Total Score: -32, Turns: 0, Turn Penalty: 0, Epsilon: 0.8956
Round: 4, Phase: 2/2, Algorithm: q_learning, Episode: 23, Global Episode: 4283, Event: hole, Total Score: -36, Turns: 0, Turn Penalty: -3, Epsilon: 0.8911
Round: 4, Phase: 2/2, Algorithm: q_learning, Episode: 24, Global Episode: 4284, Event: hole, Total Score: -29, Turns: 0, Turn Penalty: -3, Epsilon: 0.8867
Round: 4, Phase: 2/2, Algorithm: q_learning, Episode: 25, Global Episode: 4285, Event: hole, Total Score: -33, Turns: 0, Turn Penalty: -3, Epsilon: 0.8822
Round: 4, Phase: 2/2, Algorithm: q_learning, Episode: 26, Global Episode: 4286, Event: hole, Total Score: -36, Turns: 0, Turn Penalty: -3, Epsilon: 0.8778
Round: 4, Phase: 2/2, Algorithm: q_learning, Episode: 27, Global Episode: 4287, Event: hole, Total Score: -39, Turns: 0, Turn Penalty: -3, Epsilon: 0.8734
Round: 4, Phase: 2/2, Algorithm: q_learning, Episode: 28, Global Episode: 4288, Event: hole, Total Score: -60, Turns: 0, Turn Penalty: 0, Epsilon: 0.8691
Round: 4, Phase: 2/2, Algorithm: q_learning, Episode: 29, Global Episode: 4289, Event: hole, Total Score: -36, Turns: 0, Turn Penalty: -3, Epsilon: 0.8647
Round: 4, Phase: 2/2, Algorithm: q_learning, Episode: 30, Global Episode: 4290, Event: hole, Total Score: -58, Turns: 0, Turn Penalty: -3, Epsilon: 0.8604
Round: 4, Phase: 2/2, Algorithm: q_learning, Episode: 31, Global Episode: 4291, Event: hole, Total Score: -42, Turns: 0, Turn Penalty: -3, Epsilon: 0.8561
Round: 4, Phase: 2/2, Algorithm: q_learning, Episode: 32, Global Episode: 4292, Event: hole, Total Score: -44, Turns: 0, Turn Penalty: -3, Epsilon: 0.8518
Round: 4, Phase: 2/2, Algorithm: q_learning, Episode: 33, Global Episode: 4293, Event: hole, Total Score: -29, Turns: 0, Turn Penalty: -3, Epsilon: 0.8475
Round: 4, Phase: 2/2, Algorithm: q_learning, Episode: 34, Global Episode: 4294, Event: hole, Total Score: -39, Turns: 0, Turn Penalty: 0, Epsilon: 0.8433
Round: 4, Phase: 2/2, Algorithm: q_learning, Episode: 35, Global Episode: 4295, Event: hole, Total Score: -61, Turns: 0, Turn Penalty: -3, Epsilon: 0.8391
Round: 4, Phase: 2/2, Algorithm: q_learning, Episode: 36, Global Episode: 4296, Event: hole, Total Score: -32, Turns: 0, Turn Penalty: -3, Epsilon: 0.8349
Round: 4, Phase: 2/2, Algorithm: q_learning, Episode: 37, Global Episode: 4297, Event: hole, Total Score: -38, Turns: 0, Turn Penalty: -3, Epsilon: 0.8307
Round: 4, Phase: 2/2, Algorithm: q_learning, Episode: 38, Global Episode: 4298, Event: hole, Total Score: -39, Turns: 0, Turn Penalty: -3, Epsilon: 0.8266
Round: 4, Phase: 2/2, Algorithm: q_learning, Episode: 39, Global Episode: 4299, Event: hole, Total Score: -46, Turns: 0, Turn Penalty: -3, Epsilon: 0.8224
Round: 4, Phase: 2/2, Algorithm: q_learning, Episode: 40, Global Episode: 4300, Event: hole, Total Score: -38, Turns: 0, Turn Penalty: -3, Epsilon: 0.8183
Round: 4, Phase: 2/2, Algorithm: q_learning, Episode: 41, Global Episode: 4301, Event: hole, Total Score: -31, Turns: 0, Turn Penalty: 0, Epsilon: 0.8142
Round: 4, Phase: 2/2, Algorithm: q_learning, Episode: 42, Global Episode: 4302, Event: hole, Total Score: -42, Turns: 0, Turn Penalty: 0, Epsilon: 0.8102
Round: 4, Phase: 2/2, Algorithm: q_learning, Episode: 43, Global Episode: 4303, Event: hole, Total Score: -32, Turns: 0, Turn Penalty: -3, Epsilon: 0.8061
Round: 4, Phase: 2/2, Algorithm: q_learning, Episode: 44, Global Episode: 4304, Event: hole, Total Score: -46, Turns: 0, Turn Penalty: -3, Epsilon: 0.8021
Round: 4, Phase: 2/2, Algorithm: q_learning, Episode: 45, Global Episode: 4305, Event: hole, Total Score: -41, Turns: 0, Turn Penalty: -3, Epsilon: 0.7981
Round: 4, Phase: 2/2, Algorithm: q_learning, Episode: 46, Global Episode: 4306, Event: hole, Total Score: -39, Turns: 0, Turn Penalty: -3, Epsilon: 0.7941
Round: 4, Phase: 2/2, Algorithm: q_learning, Episode: 47, Global Episode: 4307, Event: hole, Total Score: -35, Turns: 0, Turn Penalty: -3, Epsilon: 0.7901
Round: 4, Phase: 2/2, Algorithm: q_learning, Episode: 48, Global Episode: 4308, Event: hole, Total Score: -31, Turns: 0, Turn Penalty: 0, Epsilon: 0.7862
Round: 4, Phase: 2/2, Algorithm: q_learning, Episode: 49, Global Episode: 4309, Event: hole, Total Score: -31, Turns: 0, Turn Penalty: 0, Epsilon: 0.7822
Round: 4, Phase: 2/2, Algorithm: q_learning, Episode: 50, Global Episode: 4310, Event: hole, Total Score: -32, Turns: 0, Turn Penalty: -3, Epsilon: 0.7783
Round: 4, Phase: 2/2, Algorithm: q_learning, Episode: 51, Global Episode: 4311, Event: hole, Total Score: -35, Turns: 0, Turn Penalty: -3, Epsilon: 0.7744
Round: 4, Phase: 2/2, Algorithm: q_learning, Episode: 52, Global Episode: 4312, Event: hole, Total Score: -36, Turns: 0, Turn Penalty: -3, Epsilon: 0.7705
Round: 4, Phase: 2/2, Algorithm: q_learning, Episode: 53, Global Episode: 4313, Event: hole, Total Score: -49, Turns: 0, Turn Penalty: -3, Epsilon: 0.7667
Round: 4, Phase: 2/2, Algorithm: q_learning, Episode: 54, Global Episode: 4314, Event: hole, Total Score: -31, Turns: 0, Turn Penalty: -3, Epsilon: 0.7629
Round: 4, Phase: 2/2, Algorithm: q_learning, Episode: 55, Global Episode: 4315, Event: hole, Total Score: -35, Turns: 0, Turn Penalty: 0, Epsilon: 0.7590
Round: 4, Phase: 2/2, Algorithm: q_learning, Episode: 56, Global Episode: 4316, Event: hole, Total Score: -32, Turns: 0, Turn Penalty: -3, Epsilon: 0.7553
Round: 4, Phase: 2/2, Algorithm: q_learning, Episode: 57, Global Episode: 4317, Event: hole, Total Score: -41, Turns: 0, Turn Penalty: -3, Epsilon: 0.7515
Round: 4, Phase: 2/2, Algorithm: q_learning, Episode: 58, Global Episode: 4318, Event: hole, Total Score: -76, Turns: 0, Turn Penalty: 0, Epsilon: 0.7477
Round: 4, Phase: 2/2, Algorithm: q_learning, Episode: 59, Global Episode: 4319, Event: hole, Total Score: -35, Turns: 0, Turn Penalty: -3, Epsilon: 0.7440
Round: 4, Phase: 2/2, Algorithm: q_learning, Episode: 60, Global Episode: 4320, Event: hole, Total Score: -46, Turns: 0, Turn Penalty: -3, Epsilon: 0.7403
Round: 4, Phase: 2/2, Algorithm: q_learning, Episode: 61, Global Episode: 4321, Event: hole, Total Score: -42, Turns: 0, Turn Penalty: 0, Epsilon: 0.7366
Round: 4, Phase: 2/2, Algorithm: q_learning, Episode: 62, Global Episode: 4322, Event: hole, Total Score: -29, Turns: 0, Turn Penalty: -3, Epsilon: 0.7329
Round: 4, Phase: 2/2, Algorithm: q_learning, Episode: 63, Global Episode: 4323, Event: hole, Total Score: -32, Turns: 0, Turn Penalty: 0, Epsilon: 0.7292
Round: 4, Phase: 2/2, Algorithm: q_learning, Episode: 64, Global Episode: 4324, Event: hole, Total Score: -30, Turns: 0, Turn Penalty: 0, Epsilon: 0.7256
Round: 4, Phase: 2/2, Algorithm: q_learning, Episode: 65, Global Episode: 4325, Event: hole, Total Score: -31, Turns: 0, Turn Penalty: -3, Epsilon: 0.7219
Round: 4, Phase: 2/2, Algorithm: q_learning, Episode: 66, Global Episode: 4326, Event: hole, Total Score: -43, Turns: 0, Turn Penalty: 0, Epsilon: 0.7183
Round: 4, Phase: 2/2, Algorithm: q_learning, Episode: 67, Global Episode: 4327, Event: hole, Total Score: -36, Turns: 0, Turn Penalty: -3, Epsilon: 0.7147
Round: 4, Phase: 2/2, Algorithm: q_learning, Episode: 68, Global Episode: 4328, Event: hole, Total Score: -55, Turns: 0, Turn Penalty: 0, Epsilon: 0.7112
Round: 4, Phase: 2/2, Algorithm: q_learning, Episode: 69, Global Episode: 4329, Event: hole, Total Score: -29, Turns: 0, Turn Penalty: -3, Epsilon: 0.7076
Round: 4, Phase: 2/2, Algorithm: q_learning, Episode: 70, Global Episode: 4330, Event: hole, Total Score: -34, Turns: 0, Turn Penalty: -3, Epsilon: 0.7041
Round: 4, Phase: 2/2, Algorithm: q_learning, Episode: 71, Global Episode: 4331, Event: hole, Total Score: -32, Turns: 0, Turn Penalty: -3, Epsilon: 0.7005
Round: 4, Phase: 2/2, Algorithm: q_learning, Episode: 72, Global Episode: 4332, Event: hole, Total Score: -36, Turns: 0, Turn Penalty: 0, Epsilon: 0.6970
Round: 4, Phase: 2/2, Algorithm: q_learning, Episode: 73, Global Episode: 4333, Event: hole, Total Score: -32, Turns: 0, Turn Penalty: -3, Epsilon: 0.6936
