Round: 11, Phase: 1/2, Algorithm: sarsa, Episode: 1, Global Episode: 12161, Event: hole, Total Score: -30, Turns: 0, Turn Penalty: -3, Epsilon: 0.9950
Round: 11, Phase: 1/2, Algorithm: sarsa, Episode: 2, Global Episode: 12162, Event: hole, Total Score: -26, Turns: 0, Turn Penalty: 0, Epsilon: 0.9900
Round: 11, Phase: 1/2, Algorithm: sarsa, Episode: 3, Global Episode: 12163, Event: hole, Total Score: -33, Turns: 0, Turn Penalty: -3, Epsilon: 0.9851
Round: 11, Phase: 1/2, Algorithm: sarsa, Episode: 4, Global Episode: 12164, Event: hole, Total Score: -33, Turns: 0, Turn Penalty: 0, Epsilon: 0.9801
Round: 11, Phase: 1/2, Algorithm: sarsa, Episode: 5, Global Episode: 12165, Event: hole, Total Score: -26, Turns: 0, Turn Penalty: 0, Epsilon: 0.9752
Round: 11, Phase: 1/2, Algorithm: sarsa, Episode: 6, Global Episode: 12166, Event: hole, Total Score: -28, Turns: 0, Turn Penalty: -3, Epsilon: 0.9704
Round: 11, Phase: 1/2, Algorithm: sarsa, Episode: 7, Global Episode: 12167, Event: hole, Total Score: -28, Turns: 0, Turn Penalty: -3, Epsilon: 0.9655
Round: 11, Phase: 1/2, Algorithm: sarsa, Episode: 8, Global Episode: 12168, Event: hole, Total Score: -26, Turns: 0, Turn Penalty: 0, Epsilon: 0.9607
Round: 11, Phase: 1/2, Algorithm: sarsa, Episode: 9, Global Episode: 12169, Event: hole, Total Score: -37, Turns: 0, Turn Penalty: 0, Epsilon: 0.9559
Round: 11, Phase: 1/2, Algorithm: sarsa, Episode: 10, Global Episode: 12170, Event: hole, Total Score: -26, Turns: 0, Turn Penalty: 0, Epsilon: 0.9511
Round: 11, Phase: 1/2, Algorithm: sarsa, Episode: 11, Global Episode: 12171, Event: hole, Total Score: -26, Turns: 0, Turn Penalty: 0, Epsilon: 0.9464
Round: 11, Phase: 1/2, Algorithm: sarsa, Episode: 12, Global Episode: 12172, Event: hole, Total Score: -26, Turns: 0, Turn Penalty: 0, Epsilon: 0.9416
Round: 11, Phase: 1/2, Algorithm: sarsa, Episode: 13, Global Episode: 12173, Event: hole, Total Score: -26, Turns: 0, Turn Penalty: 0, Epsilon: 0.9369
Round: 11, Phase: 1/2, Algorithm: sarsa, Episode: 14, Global Episode: 12174, Event: hole, Total Score: -45, Turns: 0, Turn Penalty: -3, Epsilon: 0.9322
Round: 11, Phase: 1/2, Algorithm: sarsa, Episode: 15, Global Episode: 12175, Event: hole, Total Score: -31, Turns: 0, Turn Penalty: 0, Epsilon: 0.9276
Round: 11, Phase: 1/2, Algorithm: sarsa, Episode: 16, Global Episode: 12176, Event: hole, Total Score: -28, Turns: 0, Turn Penalty: -3, Epsilon: 0.9229
Round: 11, Phase: 1/2, Algorithm: sarsa, Episode: 17, Global Episode: 12177, Event: hole, Total Score: -34, Turns: 0, Turn Penalty: -3, Epsilon: 0.9183
Round: 11, Phase: 1/2, Algorithm: sarsa, Episode: 18, Global Episode: 12178, Event: hole, Total Score: -26, Turns: 0, Turn Penalty: 0, Epsilon: 0.9137
Round: 11, Phase: 1/2, Algorithm: sarsa, Episode: 19, Global Episode: 12179, Event: hole, Total Score: -31, Turns: 0, Turn Penalty: 0, Epsilon: 0.9092
Round: 11, Phase: 1/2, Algorithm: sarsa, Episode: 20, Global Episode: 12180, Event: hole, Total Score: -36, Turns: 0, Turn Penalty: 0, Epsilon: 0.9046
Round: 11, Phase: 1/2, Algorithm: sarsa, Episode: 21, Global Episode: 12181, Event: hole, Total Score: -35, Turns: 0, Turn Penalty: -3, Epsilon: 0.9001
Round: 11, Phase: 1/2, Algorithm: sarsa, Episode: 22, Global Episode: 12182, Event: hole, Total Score: -26, Turns: 0, Turn Penalty: 0, Epsilon: 0.8956
Round: 11, Phase: 1/2, Algorithm: sarsa, Episode: 23, Global Episode: 12183, Event: hole, Total Score: -29, Turns: 0, Turn Penalty: -3, Epsilon: 0.8911
Round: 11, Phase: 1/2, Algorithm: sarsa, Episode: 24, Global Episode: 12184, Event: hole, Total Score: -28, Turns: 0, Turn Penalty: -3, Epsilon: 0.8867
Round: 11, Phase: 1/2, Algorithm: sarsa, Episode: 25, Global Episode: 12185, Event: hole, Total Score: -42, Turns: 0, Turn Penalty: -3, Epsilon: 0.8822
Round: 11, Phase: 1/2, Algorithm: sarsa, Episode: 26, Global Episode: 12186, Event: hole, Total Score: -36, Turns: 0, Turn Penalty: -3, Epsilon: 0.8778
Round: 11, Phase: 1/2, Algorithm: sarsa, Episode: 27, Global Episode: 12187, Event: hole, Total Score: -26, Turns: 0, Turn Penalty: 0, Epsilon: 0.8734
Round: 11, Phase: 1/2, Algorithm: sarsa, Episode: 28, Global Episode: 12188, Event: hole, Total Score: -39, Turns: 0, Turn Penalty: -3, Epsilon: 0.8691
Round: 11, Phase: 1/2, Algorithm: sarsa, Episode: 29, Global Episode: 12189, Event: hole, Total Score: -31, Turns: 0, Turn Penalty: -3, Epsilon: 0.8647
Round: 11, Phase: 1/2, Algorithm: sarsa, Episode: 30, Global Episode: 12190, Event: hole, Total Score: -36, Turns: 0, Turn Penalty: -3, Epsilon: 0.8604
Round: 11, Phase: 1/2, Algorithm: sarsa, Episode: 31, Global Episode: 12191, Event: hole, Total Score: -32, Turns: 0, Turn Penalty: 0, Epsilon: 0.8561
Round: 11, Phase: 1/2, Algorithm: sarsa, Episode: 32, Global Episode: 12192, Event: hole, Total Score: -32, Turns: 0, Turn Penalty: -3, Epsilon: 0.8518
Round: 11, Phase: 1/2, Algorithm: sarsa, Episode: 33, Global Episode: 12193, Event: hole, Total Score: -34, Turns: 0, Turn Penalty: -3, Epsilon: 0.8475
Round: 11, Phase: 1/2, Algorithm: sarsa, Episode: 34, Global Episode: 12194, Event: hole, Total Score: -26, Turns: 0, Turn Penalty: 0, Epsilon: 0.8433
Round: 11, Phase: 1/2, Algorithm: sarsa, Episode: 35, Global Episode: 12195, Event: hole, Total Score: -26, Turns: 0, Turn Penalty: 0, Epsilon: 0.8391
Round: 11, Phase: 1/2, Algorithm: sarsa, Episode: 36, Global Episode: 12196, Event: hole, Total Score: -30, Turns: 0, Turn Penalty: -3, Epsilon: 0.8349
Round: 11, Phase: 1/2, Algorithm: sarsa, Episode: 37, Global Episode: 12197, Event: hole, Total Score: -34, Turns: 0, Turn Penalty: -3, Epsilon: 0.8307
Round: 11, Phase: 1/2, Algorithm: sarsa, Episode: 38, Global Episode: 12198, Event: hole, Total Score: -31, Turns: 0, Turn Penalty: 0, Epsilon: 0.8266
Round: 11, Phase: 1/2, Algorithm: sarsa, Episode: 39, Global Episode: 12199, Event: hole, Total Score: -29, Turns: 0, Turn Penalty: -3, Epsilon: 0.8224
Round: 11, Phase: 1/2, Algorithm: sarsa, Episode: 40, Global Episode: 12200, Event: hole, Total Score: -26, Turns: 0, Turn Penalty: 0, Epsilon: 0.8183
Round: 11, Phase: 1/2, Algorithm: sarsa, Episode: 41, Global Episode: 12201, Event: hole, Total Score: -28, Turns: 0, Turn Penalty: -3, Epsilon: 0.8142
Round: 11, Phase: 1/2, Algorithm: sarsa, Episode: 42, Global Episode: 12202, Event: hole, Total Score: -30, Turns: 0, Turn Penalty: -3, Epsilon: 0.8102
Round: 11, Phase: 1/2, Algorithm: sarsa, Episode: 43, Global Episode: 12203, Event: hole, Total Score: -26, Turns: 0, Turn Penalty: 0, Epsilon: 0.8061
Round: 11, Phase: 1/2, Algorithm: sarsa, Episode: 44, Global Episode: 12204, Event: hole, Total Score: -30, Turns: 0, Turn Penalty: 0, Epsilon: 0.8021
Round: 11, Phase: 1/2, Algorithm: sarsa, Episode: 45, Global Episode: 12205, Event: hole, Total Score: -32, Turns: 0, Turn Penalty: -3, Epsilon: 0.7981
Round: 11, Phase: 1/2, Algorithm: sarsa, Episode: 46, Global Episode: 12206, Event: hole, Total Score: -26, Turns: 0, Turn Penalty: 0, Epsilon: 0.7941
Round: 11, Phase: 1/2, Algorithm: sarsa, Episode: 47, Global Episode: 12207, Event: hole, Total Score: -30, Turns: 0, Turn Penalty: 0, Epsilon: 0.7901
Round: 11, Phase: 1/2, Algorithm: sarsa, Episode: 48, Global Episode: 12208, Event: hole, Total Score: -26, Turns: 0, Turn Penalty: 0, Epsilon: 0.7862
Round: 11, Phase: 1/2, Algorithm: sarsa, Episode: 49, Global Episode: 12209, Event: hole, Total Score: -38, Turns: 0, Turn Penalty: -3, Epsilon: 0.7822
Round: 11, Phase: 1/2, Algorithm: sarsa, Episode: 50, Global Episode: 12210, Event: hole, Total Score: -28, Turns: 0, Turn Penalty: -3, Epsilon: 0.7783
Round: 11, Phase: 1/2, Algorithm: sarsa, Episode: 51, Global Episode: 12211, Event: hole, Total Score: -32, Turns: 0, Turn Penalty: -3, Epsilon: 0.7744
Round: 11, Phase: 1/2, Algorithm: sarsa, Episode: 52, Global Episode: 12212, Event: hole, Total Score: -26, Turns: 0, Turn Penalty: 0, Epsilon: 0.7705
Round: 11, Phase: 1/2, Algorithm: sarsa, Episode: 53, Global Episode: 12213, Event: hole, Total Score: -26, Turns: 0, Turn Penalty: 0, Epsilon: 0.7667
