Round: 5, Phase: 1/2, Algorithm: sarsa, Episode: 1, Global Episode: 4869, Event: hole, Total Score: -39, Turns: 0, Turn Penalty: 0, Epsilon: 0.9950
Round: 5, Phase: 1/2, Algorithm: sarsa, Episode: 2, Global Episode: 4870, Event: hole, Total Score: -35, Turns: 0, Turn Penalty: -3, Epsilon: 0.9900
Round: 5, Phase: 1/2, Algorithm: sarsa, Episode: 3, Global Episode: 4871, Event: hole, Total Score: -49, Turns: 0, Turn Penalty: 0, Epsilon: 0.9851
Round: 5, Phase: 1/2, Algorithm: sarsa, Episode: 4, Global Episode: 4872, Event: hole, Total Score: -42, Turns: 0, Turn Penalty: -3, Epsilon: 0.9801
Round: 5, Phase: 1/2, Algorithm: sarsa, Episode: 5, Global Episode: 4873, Event: hole, Total Score: -31, Turns: 0, Turn Penalty: 0, Epsilon: 0.9752
Round: 5, Phase: 1/2, Algorithm: sarsa, Episode: 6, Global Episode: 4874, Event: hole, Total Score: -27, Turns: 0, Turn Penalty: 0, Epsilon: 0.9704
Round: 5, Phase: 1/2, Algorithm: sarsa, Episode: 7, Global Episode: 4875, Event: hole, Total Score: -43, Turns: 0, Turn Penalty: 0, Epsilon: 0.9655
Round: 5, Phase: 1/2, Algorithm: sarsa, Episode: 8, Global Episode: 4876, Event: hole, Total Score: -49, Turns: 0, Turn Penalty: -3, Epsilon: 0.9607
Round: 5, Phase: 1/2, Algorithm: sarsa, Episode: 9, Global Episode: 4877, Event: hole, Total Score: -62, Turns: 0, Turn Penalty: 0, Epsilon: 0.9559
Round: 5, Phase: 1/2, Algorithm: sarsa, Episode: 10, Global Episode: 4878, Event: hole, Total Score: -29, Turns: 0, Turn Penalty: 0, Epsilon: 0.9511
Round: 5, Phase: 1/2, Algorithm: sarsa, Episode: 11, Global Episode: 4879, Event: hole, Total Score: -29, Turns: 0, Turn Penalty: -3, Epsilon: 0.9464
Round: 5, Phase: 1/2, Algorithm: sarsa, Episode: 12, Global Episode: 4880, Event: hole, Total Score: -41, Turns: 0, Turn Penalty: -3, Epsilon: 0.9416
Round: 5, Phase: 1/2, Algorithm: sarsa, Episode: 13, Global Episode: 4881, Event: hole, Total Score: -40, Turns: 0, Turn Penalty: -3, Epsilon: 0.9369
Round: 5, Phase: 1/2, Algorithm: sarsa, Episode: 14, Global Episode: 4882, Event: hole, Total Score: -35, Turns: 0, Turn Penalty: -3, Epsilon: 0.9322
Round: 5, Phase: 1/2, Algorithm: sarsa, Episode: 15, Global Episode: 4883, Event: hole, Total Score: -35, Turns: 0, Turn Penalty: 0, Epsilon: 0.9276
Round: 5, Phase: 1/2, Algorithm: sarsa, Episode: 16, Global Episode: 4884, Event: hole, Total Score: -29, Turns: 0, Turn Penalty: 0, Epsilon: 0.9229
Round: 5, Phase: 1/2, Algorithm: sarsa, Episode: 17, Global Episode: 4885, Event: hole, Total Score: -32, Turns: 0, Turn Penalty: 0, Epsilon: 0.9183
Round: 5, Phase: 1/2, Algorithm: sarsa, Episode: 18, Global Episode: 4886, Event: hole, Total Score: -27, Turns: 0, Turn Penalty: 0, Epsilon: 0.9137
Round: 5, Phase: 1/2, Algorithm: sarsa, Episode: 19, Global Episode: 4887, Event: hole, Total Score: -37, Turns: 0, Turn Penalty: -3, Epsilon: 0.9092
