Round: 10, Phase: 1/2, Algorithm: sarsa, Episode: 1, Global Episode: 10947, Event: hole, Total Score: -52, Turns: 0, Turn Penalty: 0, Epsilon: 0.9950
Round: 10, Phase: 1/2, Algorithm: sarsa, Episode: 2, Global Episode: 10948, Event: hole, Total Score: -62, Turns: 0, Turn Penalty: -3, Epsilon: 0.9900
Round: 10, Phase: 1/2, Algorithm: sarsa, Episode: 3, Global Episode: 10949, Event: hole, Total Score: -48, Turns: 0, Turn Penalty: -3, Epsilon: 0.9851
Round: 10, Phase: 1/2, Algorithm: sarsa, Episode: 4, Global Episode: 10950, Event: hole, Total Score: -30, Turns: 0, Turn Penalty: 0, Epsilon: 0.9801
Round: 10, Phase: 1/2, Algorithm: sarsa, Episode: 5, Global Episode: 10951, Event: hole, Total Score: -56, Turns: 0, Turn Penalty: -3, Epsilon: 0.9752
Round: 10, Phase: 1/2, Algorithm: sarsa, Episode: 6, Global Episode: 10952, Event: hole, Total Score: -54, Turns: 0, Turn Penalty: -3, Epsilon: 0.9704
Round: 10, Phase: 1/2, Algorithm: sarsa, Episode: 7, Global Episode: 10953, Event: hole, Total Score: -28, Turns: 0, Turn Penalty: 0, Epsilon: 0.9655
Round: 10, Phase: 1/2, Algorithm: sarsa, Episode: 8, Global Episode: 10954, Event: hole, Total Score: -45, Turns: 0, Turn Penalty: 0, Epsilon: 0.9607
Round: 10, Phase: 1/2, Algorithm: sarsa, Episode: 9, Global Episode: 10955, Event: hole, Total Score: -40, Turns: 0, Turn Penalty: -3, Epsilon: 0.9559
Round: 10, Phase: 1/2, Algorithm: sarsa, Episode: 10, Global Episode: 10956, Event: hole, Total Score: -30, Turns: 0, Turn Penalty: -3, Epsilon: 0.9511
Round: 10, Phase: 1/2, Algorithm: sarsa, Episode: 11, Global Episode: 10957, Event: hole, Total Score: -43, Turns: 0, Turn Penalty: -3, Epsilon: 0.9464
Round: 10, Phase: 1/2, Algorithm: sarsa, Episode: 12, Global Episode: 10958, Event: hole, Total Score: -40, Turns: 0, Turn Penalty: -3, Epsilon: 0.9416
Round: 10, Phase: 1/2, Algorithm: sarsa, Episode: 13, Global Episode: 10959, Event: hole, Total Score: -49, Turns: 0, Turn Penalty: -3, Epsilon: 0.9369
Round: 10, Phase: 1/2, Algorithm: sarsa, Episode: 14, Global Episode: 10960, Event: hole, Total Score: -40, Turns: 0, Turn Penalty: -3, Epsilon: 0.9322
Round: 10, Phase: 1/2, Algorithm: sarsa, Episode: 15, Global Episode: 10961, Event: hole, Total Score: -44, Turns: 0, Turn Penalty: 0, Epsilon: 0.9276
Round: 10, Phase: 1/2, Algorithm: sarsa, Episode: 16, Global Episode: 10962, Event: hole, Total Score: -32, Turns: 0, Turn Penalty: 0, Epsilon: 0.9229
Round: 10, Phase: 1/2, Algorithm: sarsa, Episode: 17, Global Episode: 10963, Event: hole, Total Score: -50, Turns: 0, Turn Penalty: -3, Epsilon: 0.9183
Round: 10, Phase: 1/2, Algorithm: sarsa, Episode: 18, Global Episode: 10964, Event: hole, Total Score: -53, Turns: 0, Turn Penalty: 0, Epsilon: 0.9137
Round: 10, Phase: 1/2, Algorithm: sarsa, Episode: 19, Global Episode: 10965, Event: hole, Total Score: -32, Turns: 0, Turn Penalty: 0, Epsilon: 0.9092
Round: 10, Phase: 1/2, Algorithm: sarsa, Episode: 20, Global Episode: 10966, Event: hole, Total Score: -34, Turns: 0, Turn Penalty: 0, Epsilon: 0.9046
Round: 10, Phase: 1/2, Algorithm: sarsa, Episode: 21, Global Episode: 10967, Event: hole, Total Score: -36, Turns: 0, Turn Penalty: -3, Epsilon: 0.9001
