Round: 4, Phase: 1/2, Algorithm: sarsa, Episode: 1, Global Episode: 3653, Event: hole, Total Score: -31, Turns: 0, Turn Penalty: 0, Epsilon: 0.9950
Round: 4, Phase: 1/2, Algorithm: sarsa, Episode: 2, Global Episode: 3654, Event: hole, Total Score: -43, Turns: 0, Turn Penalty: -3, Epsilon: 0.9900
Round: 4, Phase: 1/2, Algorithm: sarsa, Episode: 3, Global Episode: 3655, Event: hole, Total Score: -32, Turns: 0, Turn Penalty: -3, Epsilon: 0.9851
Round: 4, Phase: 1/2, Algorithm: sarsa, Episode: 4, Global Episode: 3656, Event: hole, Total Score: -52, Turns: 0, Turn Penalty: -3, Epsilon: 0.9801
Round: 4, Phase: 1/2, Algorithm: sarsa, Episode: 5, Global Episode: 3657, Event: hole, Total Score: -38, Turns: 0, Turn Penalty: -3, Epsilon: 0.9752
Round: 4, Phase: 1/2, Algorithm: sarsa, Episode: 6, Global Episode: 3658, Event: hole, Total Score: -38, Turns: 0, Turn Penalty: -3, Epsilon: 0.9704
Round: 4, Phase: 1/2, Algorithm: sarsa, Episode: 7, Global Episode: 3659, Event: hole, Total Score: -38, Turns: 0, Turn Penalty: -3, Epsilon: 0.9655
Round: 4, Phase: 1/2, Algorithm: sarsa, Episode: 8, Global Episode: 3660, Event: hole, Total Score: -37, Turns: 0, Turn Penalty: -3, Epsilon: 0.9607
Round: 4, Phase: 1/2, Algorithm: sarsa, Episode: 9, Global Episode: 3661, Event: hole, Total Score: -41, Turns: 0, Turn Penalty: -3, Epsilon: 0.9559
Round: 4, Phase: 1/2, Algorithm: sarsa, Episode: 10, Global Episode: 3662, Event: hole, Total Score: -37, Turns: 0, Turn Penalty: -3, Epsilon: 0.9511
Round: 4, Phase: 1/2, Algorithm: sarsa, Episode: 11, Global Episode: 3663, Event: hole, Total Score: -35, Turns: 0, Turn Penalty: -3, Epsilon: 0.9464
Round: 4, Phase: 1/2, Algorithm: sarsa, Episode: 12, Global Episode: 3664, Event: hole, Total Score: -32, Turns: 0, Turn Penalty: -3, Epsilon: 0.9416
Round: 4, Phase: 1/2, Algorithm: sarsa, Episode: 13, Global Episode: 3665, Event: hole, Total Score: -31, Turns: 0, Turn Penalty: 0, Epsilon: 0.9369
Round: 4, Phase: 1/2, Algorithm: sarsa, Episode: 14, Global Episode: 3666, Event: hole, Total Score: -35, Turns: 0, Turn Penalty: -3, Epsilon: 0.9322
Round: 4, Phase: 1/2, Algorithm: sarsa, Episode: 15, Global Episode: 3667, Event: hole, Total Score: -53, Turns: 0, Turn Penalty: -3, Epsilon: 0.9276
Round: 4, Phase: 1/2, Algorithm: sarsa, Episode: 16, Global Episode: 3668, Event: hole, Total Score: -41, Turns: 0, Turn Penalty: -3, Epsilon: 0.9229
Round: 4, Phase: 1/2, Algorithm: sarsa, Episode: 17, Global Episode: 3669, Event: hole, Total Score: -63, Turns: 0, Turn Penalty: -3, Epsilon: 0.9183
Round: 4, Phase: 1/2, Algorithm: sarsa, Episode: 18, Global Episode: 3670, Event: hole, Total Score: -36, Turns: 0, Turn Penalty: -3, Epsilon: 0.9137
Round: 4, Phase: 1/2, Algorithm: sarsa, Episode: 19, Global Episode: 3671, Event: hole, Total Score: -32, Turns: 0, Turn Penalty: -3, Epsilon: 0.9092
Round: 4, Phase: 1/2, Algorithm: sarsa, Episode: 20, Global Episode: 3672, Event: hole, Total Score: -40, Turns: 0, Turn Penalty: -3, Epsilon: 0.9046
Round: 4, Phase: 1/2, Algorithm: sarsa, Episode: 21, Global Episode: 3673, Event: hole, Total Score: -51, Turns: 0, Turn Penalty: -3, Epsilon: 0.9001
Round: 4, Phase: 1/2, Algorithm: sarsa, Episode: 22, Global Episode: 3674, Event: hole, Total Score: -31, Turns: 0, Turn Penalty: 0, Epsilon: 0.8956
