Round: 5, Phase: 2/2, Algorithm: q_learning, Episode: 37, Global Episode: 5513, Event: hole, Total Score: -48, Turns: 0, Turn Penalty: -3, Epsilon: 0.8307
Round: 5, Phase: 2/2, Algorithm: q_learning, Episode: 38, Global Episode: 5514, Event: hole, Total Score: -40, Turns: 0, Turn Penalty: -3, Epsilon: 0.8266
Round: 5, Phase: 2/2, Algorithm: q_learning, Episode: 39, Global Episode: 5515, Event: hole, Total Score: -27, Turns: 0, Turn Penalty: 0, Epsilon: 0.8224
Round: 5, Phase: 2/2, Algorithm: q_learning, Episode: 40, Global Episode: 5516, Event: hole, Total Score: -53, Turns: 0, Turn Penalty: -3, Epsilon: 0.8183
Round: 5, Phase: 2/2, Algorithm: q_learning, Episode: 41, Global Episode: 5517, Event: hole, Total Score: -36, Turns: 0, Turn Penalty: -3, Epsilon: 0.8142
Round: 5, Phase: 2/2, Algorithm: q_learning, Episode: 42, Global Episode: 5518, Event: hole, Total Score: -47, Turns: 0, Turn Penalty: -3, Epsilon: 0.8102
Round: 5, Phase: 2/2, Algorithm: q_learning, Episode: 43, Global Episode: 5519, Event: hole, Total Score: -31, Turns: 0, Turn Penalty: 0, Epsilon: 0.8061
Round: 5, Phase: 2/2, Algorithm: q_learning, Episode: 44, Global Episode: 5520, Event: hole, Total Score: -70, Turns: 0, Turn Penalty: 0, Epsilon: 0.8021
Round: 5, Phase: 2/2, Algorithm: q_learning, Episode: 45, Global Episode: 5521, Event: hole, Total Score: -50, Turns: 0, Turn Penalty: 0, Epsilon: 0.7981
Round: 5, Phase: 2/2, Algorithm: q_learning, Episode: 46, Global Episode: 5522, Event: hole, Total Score: -48, Turns: 0, Turn Penalty: -3, Epsilon: 0.7941
Round: 5, Phase: 2/2, Algorithm: q_learning, Episode: 47, Global Episode: 5523, Event: hole, Total Score: -41, Turns: 0, Turn Penalty: -3, Epsilon: 0.7901
Round: 5, Phase: 2/2, Algorithm: q_learning, Episode: 48, Global Episode: 5524, Event: hole, Total Score: -30, Turns: 0, Turn Penalty: 0, Epsilon: 0.7862
Round: 5, Phase: 2/2, Algorithm: q_learning, Episode: 49, Global Episode: 5525, Event: hole, Total Score: -40, Turns: 0, Turn Penalty: 0, Epsilon: 0.7822
Round: 5, Phase: 2/2, Algorithm: q_learning, Episode: 50, Global Episode: 5526, Event: hole, Total Score: -32, Turns: 0, Turn Penalty: 0, Epsilon: 0.7783
Round: 5, Phase: 2/2, Algorithm: q_learning, Episode: 51, Global Episode: 5527, Event: hole, Total Score: -38, Turns: 0, Turn Penalty: -3, Epsilon: 0.7744
Round: 5, Phase: 2/2, Algorithm: q_learning, Episode: 52, Global Episode: 5528, Event: hole, Total Score: -35, Turns: 0, Turn Penalty: -3, Epsilon: 0.7705
Round: 5, Phase: 2/2, Algorithm: q_learning, Episode: 53, Global Episode: 5529, Event: hole, Total Score: -43, Turns: 0, Turn Penalty: 0, Epsilon: 0.7667
Round: 5, Phase: 2/2, Algorithm: q_learning, Episode: 54, Global Episode: 5530, Event: hole, Total Score: -34, Turns: 0, Turn Penalty: -3, Epsilon: 0.7629
Round: 5, Phase: 2/2, Algorithm: q_learning, Episode: 55, Global Episode: 5531, Event: hole, Total Score: -33, Turns: 0, Turn Penalty: 0, Epsilon: 0.7590
Round: 5, Phase: 2/2, Algorithm: q_learning, Episode: 56, Global Episode: 5532, Event: hole, Total Score: -35, Turns: 0, Turn Penalty: -3, Epsilon: 0.7553
Round: 5, Phase: 2/2, Algorithm: q_learning, Episode: 57, Global Episode: 5533, Event: hole, Total Score: -41, Turns: 0, Turn Penalty: 0, Epsilon: 0.7515
Round: 5, Phase: 2/2, Algorithm: q_learning, Episode: 58, Global Episode: 5534, Event: hole, Total Score: -32, Turns: 0, Turn Penalty: 0, Epsilon: 0.7477
Round: 5, Phase: 2/2, Algorithm: q_learning, Episode: 59, Global Episode: 5535, Event: hole, Total Score: -38, Turns: 0, Turn Penalty: 0, Epsilon: 0.7440
Round: 5, Phase: 2/2, Algorithm: q_learning, Episode: 60, Global Episode: 5536, Event: hole, Total Score: -34, Turns: 0, Turn Penalty: 0, Epsilon: 0.7403
Round: 5, Phase: 2/2, Algorithm: q_learning, Episode: 61, Global Episode: 5537, Event: hole, Total Score: -31, Turns: 0, Turn Penalty: -3, Epsilon: 0.7366
Round: 5, Phase: 2/2, Algorithm: q_learning, Episode: 62, Global Episode: 5538, Event: hole, Total Score: -37, Turns: 0, Turn Penalty: -3, Epsilon: 0.7329
Round: 5, Phase: 2/2, Algorithm: q_learning, Episode: 63, Global Episode: 5539, Event: hole, Total Score: -27, Turns: 0, Turn Penalty: 0, Epsilon: 0.7292
Round: 5, Phase: 2/2, Algorithm: q_learning, Episode: 64, Global Episode: 5540, Event: hole, Total Score: -27, Turns: 0, Turn Penalty: 0, Epsilon: 0.7256
