Round: 7, Phase: 2/2, Algorithm: q_learning, Episode: 1, Global Episode: 7909, Event: hole, Total Score: -34, Turns: 0, Turn Penalty: -3, Epsilon: 0.9950
Round: 7, Phase: 2/2, Algorithm: q_learning, Episode: 2, Global Episode: 7910, Event: hole, Total Score: -32, Turns: 0, Turn Penalty: -3, Epsilon: 0.9900
Round: 7, Phase: 2/2, Algorithm: q_learning, Episode: 3, Global Episode: 7911, Event: hole, Total Score: -30, Turns: 0, Turn Penalty: -3, Epsilon: 0.9851
Round: 7, Phase: 2/2, Algorithm: q_learning, Episode: 4, Global Episode: 7912, Event: hole, Total Score: -30, Turns: 0, Turn Penalty: 0, Epsilon: 0.9801
Round: 7, Phase: 2/2, Algorithm: q_learning, Episode: 5, Global Episode: 7913, Event: hole, Total Score: -30, Turns: 0, Turn Penalty: 0, Epsilon: 0.9752
Round: 7, Phase: 2/2, Algorithm: q_learning, Episode: 6, Global Episode: 7914, Event: hole, Total Score: -30, Turns: 0, Turn Penalty: -3, Epsilon: 0.9704
Round: 7, Phase: 2/2, Algorithm: q_learning, Episode: 7, Global Episode: 7915, Event: hole, Total Score: -29, Turns: 0, Turn Penalty: -3, Epsilon: 0.9655
Round: 7, Phase: 2/2, Algorithm: q_learning, Episode: 8, Global Episode: 7916, Event: hole, Total Score: -55, Turns: 0, Turn Penalty: -3, Epsilon: 0.9607
Round: 7, Phase: 2/2, Algorithm: q_learning, Episode: 9, Global Episode: 7917, Event: hole, Total Score: -28, Turns: 0, Turn Penalty: 0, Epsilon: 0.9559
Round: 7, Phase: 2/2, Algorithm: q_learning, Episode: 10, Global Episode: 7918, Event: hole, Total Score: -31, Turns: 0, Turn Penalty: 0, Epsilon: 0.9511
Round: 7, Phase: 2/2, Algorithm: q_learning, Episode: 11, Global Episode: 7919, Event: hole, Total Score: -33, Turns: 0, Turn Penalty: -3, Epsilon: 0.9464
Round: 7, Phase: 2/2, Algorithm: q_learning, Episode: 12, Global Episode: 7920, Event: hole, Total Score: -41, Turns: 0, Turn Penalty: -3, Epsilon: 0.9416
Round: 7, Phase: 2/2, Algorithm: q_learning, Episode: 13, Global Episode: 7921, Event: hole, Total Score: -43, Turns: 0, Turn Penalty: -3, Epsilon: 0.9369
Round: 7, Phase: 2/2, Algorithm: q_learning, Episode: 14, Global Episode: 7922, Event: hole, Total Score: -36, Turns: 0, Turn Penalty: 0, Epsilon: 0.9322
Round: 7, Phase: 2/2, Algorithm: q_learning, Episode: 15, Global Episode: 7923, Event: hole, Total Score: -42, Turns: 0, Turn Penalty: -3, Epsilon: 0.9276
Round: 7, Phase: 2/2, Algorithm: q_learning, Episode: 16, Global Episode: 7924, Event: hole, Total Score: -31, Turns: 0, Turn Penalty: -3, Epsilon: 0.9229
Round: 7, Phase: 2/2, Algorithm: q_learning, Episode: 17, Global Episode: 7925, Event: hole, Total Score: -36, Turns: 0, Turn Penalty: 0, Epsilon: 0.9183
Round: 7, Phase: 2/2, Algorithm: q_learning, Episode: 18, Global Episode: 7926, Event: hole, Total Score: -41, Turns: 0, Turn Penalty: -3, Epsilon: 0.9137
Round: 7, Phase: 2/2, Algorithm: q_learning, Episode: 19, Global Episode: 7927, Event: hole, Total Score: -29, Turns: 0, Turn Penalty: 0, Epsilon: 0.9092
Round: 7, Phase: 2/2, Algorithm: q_learning, Episode: 20, Global Episode: 7928, Event: hole, Total Score: -42, Turns: 0, Turn Penalty: 0, Epsilon: 0.9046
Round: 7, Phase: 2/2, Algorithm: q_learning, Episode: 21, Global Episode: 7929, Event: hole, Total Score: -31, Turns: 0, Turn Penalty: -3, Epsilon: 0.9001
Round: 7, Phase: 2/2, Algorithm: q_learning, Episode: 22, Global Episode: 7930, Event: hole, Total Score: -29, Turns: 0, Turn Penalty: 0, Epsilon: 0.8956
Round: 7, Phase: 2/2, Algorithm: q_learning, Episode: 23, Global Episode: 7931, Event: hole, Total Score: -37, Turns: 0, Turn Penalty: -3, Epsilon: 0.8911
Round: 7, Phase: 2/2, Algorithm: q_learning, Episode: 24, Global Episode: 7932, Event: hole, Total Score: -32, Turns: 0, Turn Penalty: 0, Epsilon: 0.8867
Round: 7, Phase: 2/2, Algorithm: q_learning, Episode: 25, Global Episode: 7933, Event: hole, Total Score: -31, Turns: 0, Turn Penalty: -3, Epsilon: 0.8822
Round: 7, Phase: 2/2, Algorithm: q_learning, Episode: 26, Global Episode: 7934, Event: hole, Total Score: -31, Turns: 0, Turn Penalty: -3, Epsilon: 0.8778
Round: 7, Phase: 2/2, Algorithm: q_learning, Episode: 27, Global Episode: 7935, Event: hole, Total Score: -49, Turns: 0, Turn Penalty: 0, Epsilon: 0.8734
Round: 7, Phase: 2/2, Algorithm: q_learning, Episode: 28, Global Episode: 7936, Event: hole, Total Score: -30, Turns: 0, Turn Penalty: 0, Epsilon: 0.8691
