Round: 9, Phase: 1/2, Algorithm: sarsa, Episode: 1, Global Episode: 9731, Event: hole, Total Score: -27, Turns: 0, Turn Penalty: -3, Epsilon: 0.9950
Round: 9, Phase: 1/2, Algorithm: sarsa, Episode: 2, Global Episode: 9732, Event: hole, Total Score: -28, Turns: 0, Turn Penalty: 0, Epsilon: 0.9900
Round: 9, Phase: 1/2, Algorithm: sarsa, Episode: 3, Global Episode: 9733, Event: hole, Total Score: -29, Turns: 0, Turn Penalty: -3, Epsilon: 0.9851
Round: 9, Phase: 1/2, Algorithm: sarsa, Episode: 4, Global Episode: 9734, Event: hole, Total Score: -29, Turns: 0, Turn Penalty: -3, Epsilon: 0.9801
Round: 9, Phase: 1/2, Algorithm: sarsa, Episode: 5, Global Episode: 9735, Event: hole, Total Score: -27, Turns: 0, Turn Penalty: -3, Epsilon: 0.9752
Round: 9, Phase: 1/2, Algorithm: sarsa, Episode: 6, Global Episode: 9736, Event: hole, Total Score: -34, Turns: 0, Turn Penalty: 0, Epsilon: 0.9704
Round: 9, Phase: 1/2, Algorithm: sarsa, Episode: 7, Global Episode: 9737, Event: hole, Total Score: -29, Turns: 0, Turn Penalty: -3, Epsilon: 0.9655
Round: 9, Phase: 1/2, Algorithm: sarsa, Episode: 8, Global Episode: 9738, Event: hole, Total Score: -27, Turns: 0, Turn Penalty: -3, Epsilon: 0.9607
Round: 9, Phase: 1/2, Algorithm: sarsa, Episode: 9, Global Episode: 9739, Event: hole, Total Score: -32, Turns: 0, Turn Penalty: 0, Epsilon: 0.9559
Round: 9, Phase: 1/2, Algorithm: sarsa, Episode: 10, Global Episode: 9740, Event: hole, Total Score: -27, Turns: 0, Turn Penalty: -3, Epsilon: 0.9511
Round: 9, Phase: 1/2, Algorithm: sarsa, Episode: 11, Global Episode: 9741, Event: hole, Total Score: -29, Turns: 0, Turn Penalty: -3, Epsilon: 0.9464
Round: 9, Phase: 1/2, Algorithm: sarsa, Episode: 12, Global Episode: 9742, Event: hole, Total Score: -27, Turns: 0, Turn Penalty: -3, Epsilon: 0.9416
Round: 9, Phase: 1/2, Algorithm: sarsa, Episode: 13, Global Episode: 9743, Event: hole, Total Score: -28, Turns: 0, Turn Penalty: -3, Epsilon: 0.9369
Round: 9, Phase: 1/2, Algorithm: sarsa, Episode: 14, Global Episode: 9744, Event: hole, Total Score: -28, Turns: 0, Turn Penalty: 0, Epsilon: 0.9322
Round: 9, Phase: 1/2, Algorithm: sarsa, Episode: 15, Global Episode: 9745, Event: hole, Total Score: -32, Turns: 0, Turn Penalty: 0, Epsilon: 0.9276
Round: 9, Phase: 1/2, Algorithm: sarsa, Episode: 16, Global Episode: 9746, Event: hole, Total Score: -31, Turns: 0, Turn Penalty: -3, Epsilon: 0.9229
Round: 9, Phase: 1/2, Algorithm: sarsa, Episode: 17, Global Episode: 9747, Event: hole, Total Score: -37, Turns: 0, Turn Penalty: -3, Epsilon: 0.9183
Round: 9, Phase: 1/2, Algorithm: sarsa, Episode: 18, Global Episode: 9748, Event: hole, Total Score: -27, Turns: 0, Turn Penalty: -3, Epsilon: 0.9137
Round: 9, Phase: 1/2, Algorithm: sarsa, Episode: 19, Global Episode: 9749, Event: hole, Total Score: -28, Turns: 0, Turn Penalty: -3, Epsilon: 0.9092
Round: 9, Phase: 1/2, Algorithm: sarsa, Episode: 20, Global Episode: 9750, Event: hole, Total Score: -32, Turns: 0, Turn Penalty: 0, Epsilon: 0.9046
Round: 9, Phase: 1/2, Algorithm: sarsa, Episode: 21, Global Episode: 9751, Event: hole, Total Score: -27, Turns: 0, Turn Penalty: -3, Epsilon: 0.9001
Round: 9, Phase: 1/2, Algorithm: sarsa, Episode: 22, Global Episode: 9752, Event: hole, Total Score: -32, Turns: 0, Turn Penalty: -3, Epsilon: 0.8956
Round: 9, Phase: 1/2, Algorithm: sarsa, Episode: 23, Global Episode: 9753, Event: hole, Total Score: -29, Turns: 0, Turn Penalty: -3, Epsilon: 0.8911
Round: 9, Phase: 1/2, Algorithm: sarsa, Episode: 24, Global Episode: 9754, Event: hole, Total Score: -29, Turns: 0, Turn Penalty: -3, Epsilon: 0.8867
Round: 9, Phase: 1/2, Algorithm: sarsa, Episode: 25, Global Episode: 9755, Event: hole, Total Score: -29, Turns: 0, Turn Penalty: -3, Epsilon: 0.8822
Round: 9, Phase: 1/2, Algorithm: sarsa, Episode: 26, Global Episode: 9756, Event: hole, Total Score: -29, Turns: 0, Turn Penalty: -3, Epsilon: 0.8778
Round: 9, Phase: 1/2, Algorithm: sarsa, Episode: 27, Global Episode: 9757, Event: hole, Total Score: -35, Turns: 0, Turn Penalty: -3, Epsilon: 0.8734
Round: 9, Phase: 1/2, Algorithm: sarsa, Episode: 28, Global Episode: 9758, Event: hole, Total Score: -27, Turns: 0, Turn Penalty: -3, Epsilon: 0.8691
Round: 9, Phase: 1/2, Algorithm: sarsa, Episode: 29, Global Episode: 9759, Event: hole, Total Score: -38, Turns: 0, Turn Penalty: 0, Epsilon: 0.8647
Round: 9, Phase: 1/2, Algorithm: sarsa, Episode: 30, Global Episode: 9760, Event: hole, Total Score: -38, Turns: 0, Turn Penalty: 0, Epsilon: 0.8604
Round: 9, Phase: 1/2, Algorithm: sarsa, Episode: 31, Global Episode: 9761, Event: hole, Total Score: -27, Turns: 0, Turn Penalty: -3, Epsilon: 0.8561
Round: 9, Phase: 1/2, Algorithm: sarsa, Episode: 32, Global Episode: 9762, Event: hole, Total Score: -36, Turns: 0, Turn Penalty: -3, Epsilon: 0.8518
Round: 9, Phase: 1/2, Algorithm: sarsa, Episode: 33, Global Episode: 9763, Event: hole, Total Score: -33, Turns: 0, Turn Penalty: -3, Epsilon: 0.8475
Round: 9, Phase: 1/2, Algorithm: sarsa, Episode: 34, Global Episode: 9764, Event: hole, Total Score: -29, Turns: 0, Turn Penalty: -3, Epsilon: 0.8433
Round: 9, Phase: 1/2, Algorithm: sarsa, Episode: 35, Global Episode: 9765, Event: hole, Total Score: -29, Turns: 0, Turn Penalty: -3, Epsilon: 0.8391
Round: 9, Phase: 1/2, Algorithm: sarsa, Episode: 36, Global Episode: 9766, Event: hole, Total Score: -27, Turns: 0, Turn Penalty: -3, Epsilon: 0.8349
Round: 9, Phase: 1/2, Algorithm: sarsa, Episode: 37, Global Episode: 9767, Event: hole, Total Score: -34, Turns: 0, Turn Penalty: 0, Epsilon: 0.8307
Round: 9, Phase: 1/2, Algorithm: sarsa, Episode: 38, Global Episode: 9768, Event: hole, Total Score: -28, Turns: 0, Turn Penalty: 0, Epsilon: 0.8266
Round: 9, Phase: 1/2, Algorithm: sarsa, Episode: 39, Global Episode: 9769, Event: hole, Total Score: -35, Turns: 0, Turn Penalty: -3, Epsilon: 0.8224
Round: 9, Phase: 1/2, Algorithm: sarsa, Episode: 40, Global Episode: 9770, Event: hole, Total Score: -35, Turns: 0, Turn Penalty: -3, Epsilon: 0.8183
Round: 9, Phase: 1/2, Algorithm: sarsa, Episode: 41, Global Episode: 9771, Event: hole, Total Score: -27, Turns: 0, Turn Penalty: -3, Epsilon: 0.8142
Round: 9, Phase: 1/2, Algorithm: sarsa, Episode: 42, Global Episode: 9772, Event: hole, Total Score: -29, Turns: 0, Turn Penalty: -3, Epsilon: 0.8102
Round: 9, Phase: 1/2, Algorithm: sarsa, Episode: 43, Global Episode: 9773, Event: hole, Total Score: -27, Turns: 0, Turn Penalty: -3, Epsilon: 0.8061
