Round: 1, Phase: 2/2, Algorithm: q_learning, Episode: 1, Global Episode: 609, Event: hole, Total Score: -28, Turns: 0, Turn Penalty: 0, Epsilon: 0.9950
Round: 1, Phase: 2/2, Algorithm: q_learning, Episode: 2, Global Episode: 610, Event: hole, Total Score: -32, Turns: 0, Turn Penalty: 0, Epsilon: 0.9900
Round: 1, Phase: 2/2, Algorithm: q_learning, Episode: 3, Global Episode: 611, Event: hole, Total Score: -31, Turns: 0, Turn Penalty: 0, Epsilon: 0.9851
Round: 1, Phase: 2/2, Algorithm: q_learning, Episode: 4, Global Episode: 612, Event: hole, Total Score: -30, Turns: 0, Turn Penalty: 0, Epsilon: 0.9801
Round: 1, Phase: 2/2, Algorithm: q_learning, Episode: 5, Global Episode: 613, Event: hole, Total Score: -39, Turns: 0, Turn Penalty: 0, Epsilon: 0.9752
Round: 1, Phase: 2/2, Algorithm: q_learning, Episode: 6, Global Episode: 614, Event: hole, Total Score: -35, Turns: 0, Turn Penalty: -3, Epsilon: 0.9704
Round: 1, Phase: 2/2, Algorithm: q_learning, Episode: 7, Global Episode: 615, Event: hole, Total Score: -30, Turns: 0, Turn Penalty: -3, Epsilon: 0.9655
Round: 1, Phase: 2/2, Algorithm: q_learning, Episode: 8, Global Episode: 616, Event: hole, Total Score: -27, Turns: 0, Turn Penalty: 0, Epsilon: 0.9607
Round: 1, Phase: 2/2, Algorithm: q_learning, Episode: 9, Global Episode: 617, Event: hole, Total Score: -35, Turns: 0, Turn Penalty: -3, Epsilon: 0.9559
Round: 1, Phase: 2/2, Algorithm: q_learning, Episode: 10, Global Episode: 618, Event: hole, Total Score: -29, Turns: 0, Turn Penalty: -3, Epsilon: 0.9511
Round: 1, Phase: 2/2, Algorithm: q_learning, Episode: 11, Global Episode: 619, Event: hole, Total Score: -29, Turns: 0, Turn Penalty: -3, Epsilon: 0.9464
Round: 1, Phase: 2/2, Algorithm: q_learning, Episode: 12, Global Episode: 620, Event: hole, Total Score: -31, Turns: 0, Turn Penalty: -3, Epsilon: 0.9416
Round: 1, Phase: 2/2, Algorithm: q_learning, Episode: 13, Global Episode: 621, Event: hole, Total Score: -36, Turns: 0, Turn Penalty: 0, Epsilon: 0.9369
Round: 1, Phase: 2/2, Algorithm: q_learning, Episode: 14, Global Episode: 622, Event: hole, Total Score: -29, Turns: 0, Turn Penalty: -3, Epsilon: 0.9322
Round: 1, Phase: 2/2, Algorithm: q_learning, Episode: 15, Global Episode: 623, Event: hole, Total Score: -39, Turns: 0, Turn Penalty: -3, Epsilon: 0.9276
Round: 1, Phase: 2/2, Algorithm: q_learning, Episode: 16, Global Episode: 624, Event: hole, Total Score: -33, Turns: 0, Turn Penalty: -3, Epsilon: 0.9229
Round: 1, Phase: 2/2, Algorithm: q_learning, Episode: 17, Global Episode: 625, Event: hole, Total Score: -42, Turns: 0, Turn Penalty: -3, Epsilon: 0.9183
Round: 1, Phase: 2/2, Algorithm: q_learning, Episode: 18, Global Episode: 626, Event: hole, Total Score: -27, Turns: 0, Turn Penalty: 0, Epsilon: 0.9137
Round: 1, Phase: 2/2, Algorithm: q_learning, Episode: 19, Global Episode: 627, Event: hole, Total Score: -31, Turns: 0, Turn Penalty: 0, Epsilon: 0.9092
Round: 1, Phase: 2/2, Algorithm: q_learning, Episode: 20, Global Episode: 628, Event: hole, Total Score: -32, Turns: 0, Turn Penalty: -3, Epsilon: 0.9046
Round: 1, Phase: 2/2, Algorithm: q_learning, Episode: 21, Global Episode: 629, Event: hole, Total Score: -30, Turns: 0, Turn Penalty: 0, Epsilon: 0.9001
Round: 1, Phase: 2/2, Algorithm: q_learning, Episode: 22, Global Episode: 630, Event: hole, Total Score: -47, Turns: 0, Turn Penalty: -3, Epsilon: 0.8956
Round: 1, Phase: 2/2, Algorithm: q_learning, Episode: 23, Global Episode: 631, Event: hole, Total Score: -39, Turns: 0, Turn Penalty: -3, Epsilon: 0.8911
Round: 1, Phase: 2/2, Algorithm: q_learning, Episode: 24, Global Episode: 632, Event: hole, Total Score: -28, Turns: 0, Turn Penalty: 0, Epsilon: 0.8867
Round: 1, Phase: 2/2, Algorithm: q_learning, Episode: 25, Global Episode: 633, Event: hole, Total Score: -29, Turns: 0, Turn Penalty: -3, Epsilon: 0.8822
Round: 1, Phase: 2/2, Algorithm: q_learning, Episode: 26, Global Episode: 634, Event: hole, Total Score: -27, Turns: 0, Turn Penalty: 0, Epsilon: 0.8778
Round: 1, Phase: 2/2, Algorithm: q_learning, Episode: 27, Global Episode: 635, Event: hole, Total Score: -31, Turns: 0, Turn Penalty: -3, Epsilon: 0.8734
Round: 1, Phase: 2/2, Algorithm: q_learning, Episode: 28, Global Episode: 636, Event: hole, Total Score: -49, Turns: 0, Turn Penalty: 0, Epsilon: 0.8691
Round: 1, Phase: 2/2, Algorithm: q_learning, Episode: 29, Global Episode: 637, Event: hole, Total Score: -31, Turns: 0, Turn Penalty: 0, Epsilon: 0.8647
Round: 1, Phase: 2/2, Algorithm: q_learning, Episode: 30, Global Episode: 638, Event: hole, Total Score: -33, Turns: 0, Turn Penalty: -3, Epsilon: 0.8604
Round: 1, Phase: 2/2, Algorithm: q_learning, Episode: 31, Global Episode: 639, Event: hole, Total Score: -43, Turns: 0, Turn Penalty: -3, Epsilon: 0.8561
Round: 1, Phase: 2/2, Algorithm: q_learning, Episode: 32, Global Episode: 640, Event: hole, Total Score: -31, Turns: 0, Turn Penalty: -3, Epsilon: 0.8518
Round: 1, Phase: 2/2, Algorithm: q_learning, Episode: 33, Global Episode: 641, Event: hole, Total Score: -35, Turns: 0, Turn Penalty: -3, Epsilon: 0.8475
Round: 1, Phase: 2/2, Algorithm: q_learning, Episode: 34, Global Episode: 642, Event: hole, Total Score: -33, Turns: 0, Turn Penalty: -3, Epsilon: 0.8433
Round: 1, Phase: 2/2, Algorithm: q_learning, Episode: 35, Global Episode: 643, Event: hole, Total Score: -47, Turns: 0, Turn Penalty: -3, Epsilon: 0.8391
Round: 1, Phase: 2/2, Algorithm: q_learning, Episode: 36, Global Episode: 644, Event: hole, Total Score: -34, Turns: 0, Turn Penalty: 0, Epsilon: 0.8349
Round: 1, Phase: 2/2, Algorithm: q_learning, Episode: 37, Global Episode: 645, Event: hole, Total Score: -27, Turns: 0, Turn Penalty: 0, Epsilon: 0.8307
Round: 1, Phase: 2/2, Algorithm: q_learning, Episode: 38, Global Episode: 646, Event: hole, Total Score: -43, Turns: 0, Turn Penalty: -3, Epsilon: 0.8266
Round: 1, Phase: 2/2, Algorithm: q_learning, Episode: 39, Global Episode: 647, Event: hole, Total Score: -33, Turns: 0, Turn Penalty: -3, Epsilon: 0.8224
Round: 1, Phase: 2/2, Algorithm: q_learning, Episode: 40, Global Episode: 648, Event: hole, Total Score: -47, Turns: 0, Turn Penalty: 0, Epsilon: 0.8183
Round: 1, Phase: 2/2, Algorithm: q_learning, Episode: 41, Global Episode: 649, Event: hole, Total Score: -33, Turns: 0, Turn Penalty: 0, Epsilon: 0.8142
Round: 1, Phase: 2/2, Algorithm: q_learning, Episode: 42, Global Episode: 650, Event: hole, Total Score: -29, Turns: 0, Turn Penalty: -3, Epsilon: 0.8102
Round: 1, Phase: 2/2, Algorithm: q_learning, Episode: 43, Global Episode: 651, Event: hole, Total Score: -28, Turns: 0, Turn Penalty: 0, Epsilon: 0.8061
Round: 1, Phase: 2/2, Algorithm: q_learning, Episode: 44, Global Episode: 652, Event: hole, Total Score: -28, Turns: 0, Turn Penalty: 0, Epsilon: 0.8021
