Round: 1, Phase: 2/2, Algorithm: q_learning, Episode: 1, Global Episode: 857, Event: hole, Total Score: -50, Covered White Tiles: 9/51, Epsilon: 0.9950
Round: 1, Phase: 2/2, Algorithm: q_learning, Episode: 2, Global Episode: 858, Event: hole, Total Score: -79, Covered White Tiles: 3/51, Epsilon: 0.9900
Round: 1, Phase: 2/2, Algorithm: q_learning, Episode: 3, Global Episode: 859, Event: hole, Total Score: -44, Covered White Tiles: 8/51, Epsilon: 0.9851
Round: 1, Phase: 2/2, Algorithm: q_learning, Episode: 4, Global Episode: 860, Event: hole, Total Score: -73, Covered White Tiles: 7/51, Epsilon: 0.9801
Round: 1, Phase: 2/2, Algorithm: q_learning, Episode: 5, Global Episode: 861, Event: hole, Total Score: -24, Covered White Tiles: 13/51, Epsilon: 0.9752
Round: 1, Phase: 2/2, Algorithm: q_learning, Episode: 6, Global Episode: 862, Event: hole, Total Score: -70, Covered White Tiles: 6/51, Epsilon: 0.9704
Round: 1, Phase: 2/2, Algorithm: q_learning, Episode: 7, Global Episode: 863, Event: hole, Total Score: -62, Covered White Tiles: 8/51, Epsilon: 0.9655
Round: 1, Phase: 2/2, Algorithm: q_learning, Episode: 8, Global Episode: 864, Event: hole, Total Score: -70, Covered White Tiles: 6/51, Epsilon: 0.9607
Round: 1, Phase: 2/2, Algorithm: q_learning, Episode: 9, Global Episode: 865, Event: hole, Total Score: -124, Covered White Tiles: 11/51, Epsilon: 0.9559
Round: 1, Phase: 2/2, Algorithm: q_learning, Episode: 10, Global Episode: 866, Event: hole, Total Score: -75, Covered White Tiles: 4/51, Epsilon: 0.9511
Round: 1, Phase: 2/2, Algorithm: q_learning, Episode: 11, Global Episode: 867, Event: hole, Total Score: -75, Covered White Tiles: 5/51, Epsilon: 0.9464
Round: 1, Phase: 2/2, Algorithm: q_learning, Episode: 12, Global Episode: 868, Event: hole, Total Score: -72, Covered White Tiles: 4/51, Epsilon: 0.9416
Round: 1, Phase: 2/2, Algorithm: q_learning, Episode: 13, Global Episode: 869, Event: hole, Total Score: -42, Covered White Tiles: 10/51, Epsilon: 0.9369
Round: 1, Phase: 2/2, Algorithm: q_learning, Episode: 14, Global Episode: 870, Event: hole, Total Score: -97, Covered White Tiles: 5/51, Epsilon: 0.9322
Round: 1, Phase: 2/2, Algorithm: q_learning, Episode: 15, Global Episode: 871, Event: hole, Total Score: -72, Covered White Tiles: 4/51, Epsilon: 0.9276
Round: 1, Phase: 2/2, Algorithm: q_learning, Episode: 16, Global Episode: 872, Event: hole, Total Score: -78, Covered White Tiles: 4/51, Epsilon: 0.9229
Round: 1, Phase: 2/2, Algorithm: q_learning, Episode: 17, Global Episode: 873, Event: hole, Total Score: -76, Covered White Tiles: 7/51, Epsilon: 0.9183
Round: 1, Phase: 2/2, Algorithm: q_learning, Episode: 18, Global Episode: 874, Event: hole, Total Score: -68, Covered White Tiles: 8/51, Epsilon: 0.9137
Round: 1, Phase: 2/2, Algorithm: q_learning, Episode: 19, Global Episode: 875, Event: hole, Total Score: -59, Covered White Tiles: 10/51, Epsilon: 0.9092
Round: 1, Phase: 2/2, Algorithm: q_learning, Episode: 20, Global Episode: 876, Event: hole, Total Score: -77, Covered White Tiles: 5/51, Epsilon: 0.9046
Round: 1, Phase: 2/2, Algorithm: q_learning, Episode: 21, Global Episode: 877, Event: hole, Total Score: -44, Covered White Tiles: 8/51, Epsilon: 0.9001
Round: 1, Phase: 2/2, Algorithm: q_learning, Episode: 22, Global Episode: 878, Event: hole, Total Score: -52, Covered White Tiles: 7/51, Epsilon: 0.8956
Round: 1, Phase: 2/2, Algorithm: q_learning, Episode: 23, Global Episode: 879, Event: hole, Total Score: -73, Covered White Tiles: 9/51, Epsilon: 0.8911
Round: 1, Phase: 2/2, Algorithm: q_learning, Episode: 24, Global Episode: 880, Event: hole, Total Score: -86, Covered White Tiles: 2/51, Epsilon: 0.8867
