Round: 10, Phase: 2/2, Algorithm: q_learning, Episode: 1, Global Episode: 11554, Event: hole, Total Score: -42, Turns: 0, Turn Penalty: -3, Epsilon: 0.9950
Round: 10, Phase: 2/2, Algorithm: q_learning, Episode: 2, Global Episode: 11555, Event: hole, Total Score: -36, Turns: 0, Turn Penalty: -3, Epsilon: 0.9900
Round: 10, Phase: 2/2, Algorithm: q_learning, Episode: 3, Global Episode: 11556, Event: hole, Total Score: -34, Turns: 0, Turn Penalty: 0, Epsilon: 0.9851
Round: 10, Phase: 2/2, Algorithm: q_learning, Episode: 4, Global Episode: 11557, Event: hole, Total Score: -42, Turns: 0, Turn Penalty: 0, Epsilon: 0.9801
Round: 10, Phase: 2/2, Algorithm: q_learning, Episode: 5, Global Episode: 11558, Event: hole, Total Score: -36, Turns: 0, Turn Penalty: -3, Epsilon: 0.9752
Round: 10, Phase: 2/2, Algorithm: q_learning, Episode: 6, Global Episode: 11559, Event: hole, Total Score: -33, Turns: 0, Turn Penalty: 0, Epsilon: 0.9704
Round: 10, Phase: 2/2, Algorithm: q_learning, Episode: 7, Global Episode: 11560, Event: hole, Total Score: -30, Turns: 0, Turn Penalty: 0, Epsilon: 0.9655
Round: 10, Phase: 2/2, Algorithm: q_learning, Episode: 8, Global Episode: 11561, Event: hole, Total Score: -36, Turns: 0, Turn Penalty: 0, Epsilon: 0.9607
Round: 10, Phase: 2/2, Algorithm: q_learning, Episode: 9, Global Episode: 11562, Event: hole, Total Score: -38, Turns: 0, Turn Penalty: -3, Epsilon: 0.9559
Round: 10, Phase: 2/2, Algorithm: q_learning, Episode: 10, Global Episode: 11563, Event: hole, Total Score: -32, Turns: 0, Turn Penalty: 0, Epsilon: 0.9511
Round: 10, Phase: 2/2, Algorithm: q_learning, Episode: 11, Global Episode: 11564, Event: hole, Total Score: -30, Turns: 0, Turn Penalty: 0, Epsilon: 0.9464
Round: 10, Phase: 2/2, Algorithm: q_learning, Episode: 12, Global Episode: 11565, Event: hole, Total Score: -58, Turns: 0, Turn Penalty: 0, Epsilon: 0.9416
Round: 10, Phase: 2/2, Algorithm: q_learning, Episode: 13, Global Episode: 11566, Event: hole, Total Score: -38, Turns: 0, Turn Penalty: -3, Epsilon: 0.9369
