Round: 6, Phase: 2/2, Algorithm: q_learning, Episode: 1, Global Episode: 6695, Event: hole, Total Score: -32, Turns: 0, Turn Penalty: -3, Epsilon: 0.9950
Round: 6, Phase: 2/2, Algorithm: q_learning, Episode: 2, Global Episode: 6696, Event: hole, Total Score: -38, Turns: 0, Turn Penalty: -3, Epsilon: 0.9900
Round: 6, Phase: 2/2, Algorithm: q_learning, Episode: 3, Global Episode: 6697, Event: hole, Total Score: -32, Turns: 0, Turn Penalty: 0, Epsilon: 0.9851
Round: 6, Phase: 2/2, Algorithm: q_learning, Episode: 4, Global Episode: 6698, Event: hole, Total Score: -28, Turns: 0, Turn Penalty: 0, Epsilon: 0.9801
Round: 6, Phase: 2/2, Algorithm: q_learning, Episode: 5, Global Episode: 6699, Event: hole, Total Score: -67, Turns: 0, Turn Penalty: -3, Epsilon: 0.9752
Round: 6, Phase: 2/2, Algorithm: q_learning, Episode: 6, Global Episode: 6700, Event: hole, Total Score: -40, Turns: 0, Turn Penalty: -3, Epsilon: 0.9704
Round: 6, Phase: 2/2, Algorithm: q_learning, Episode: 7, Global Episode: 6701, Event: hole, Total Score: -42, Turns: 0, Turn Penalty: -3, Epsilon: 0.9655
Round: 6, Phase: 2/2, Algorithm: q_learning, Episode: 8, Global Episode: 6702, Event: hole, Total Score: -34, Turns: 0, Turn Penalty: -3, Epsilon: 0.9607
Round: 6, Phase: 2/2, Algorithm: q_learning, Episode: 9, Global Episode: 6703, Event: hole, Total Score: -52, Turns: 0, Turn Penalty: -3, Epsilon: 0.9559
Round: 6, Phase: 2/2, Algorithm: q_learning, Episode: 10, Global Episode: 6704, Event: hole, Total Score: -28, Turns: 0, Turn Penalty: -3, Epsilon: 0.9511
Round: 6, Phase: 2/2, Algorithm: q_learning, Episode: 11, Global Episode: 6705, Event: hole, Total Score: -31, Turns: 0, Turn Penalty: 0, Epsilon: 0.9464
Round: 6, Phase: 2/2, Algorithm: q_learning, Episode: 12, Global Episode: 6706, Event: hole, Total Score: -40, Turns: 0, Turn Penalty: 0, Epsilon: 0.9416
Round: 6, Phase: 2/2, Algorithm: q_learning, Episode: 13, Global Episode: 6707, Event: hole, Total Score: -28, Turns: 0, Turn Penalty: -3, Epsilon: 0.9369
Round: 6, Phase: 2/2, Algorithm: q_learning, Episode: 14, Global Episode: 6708, Event: hole, Total Score: -36, Turns: 0, Turn Penalty: -3, Epsilon: 0.9322
Round: 6, Phase: 2/2, Algorithm: q_learning, Episode: 15, Global Episode: 6709, Event: hole, Total Score: -32, Turns: 0, Turn Penalty: -3, Epsilon: 0.9276
Round: 6, Phase: 2/2, Algorithm: q_learning, Episode: 16, Global Episode: 6710, Event: hole, Total Score: -36, Turns: 0, Turn Penalty: -3, Epsilon: 0.9229
Round: 6, Phase: 2/2, Algorithm: q_learning, Episode: 17, Global Episode: 6711, Event: hole, Total Score: -39, Turns: 0, Turn Penalty: 0, Epsilon: 0.9183
Round: 6, Phase: 2/2, Algorithm: q_learning, Episode: 18, Global Episode: 6712, Event: hole, Total Score: -30, Turns: 0, Turn Penalty: 0, Epsilon: 0.9137
Round: 6, Phase: 2/2, Algorithm: q_learning, Episode: 19, Global Episode: 6713, Event: hole, Total Score: -46, Turns: 0, Turn Penalty: -3, Epsilon: 0.9092
Round: 6, Phase: 2/2, Algorithm: q_learning, Episode: 20, Global Episode: 6714, Event: hole, Total Score: -48, Turns: 0, Turn Penalty: -3, Epsilon: 0.9046
Round: 6, Phase: 2/2, Algorithm: q_learning, Episode: 21, Global Episode: 6715, Event: hole, Total Score: -50, Turns: 0, Turn Penalty: -3, Epsilon: 0.9001
Round: 6, Phase: 2/2, Algorithm: q_learning, Episode: 22, Global Episode: 6716, Event: hole, Total Score: -36, Turns: 0, Turn Penalty: 0, Epsilon: 0.8956
Round: 6, Phase: 2/2, Algorithm: q_learning, Episode: 23, Global Episode: 6717, Event: hole, Total Score: -34, Turns: 0, Turn Penalty: 0, Epsilon: 0.8911
Round: 6, Phase: 2/2, Algorithm: q_learning, Episode: 24, Global Episode: 6718, Event: hole, Total Score: -28, Turns: 0, Turn Penalty: 0, Epsilon: 0.8867
Round: 6, Phase: 2/2, Algorithm: q_learning, Episode: 25, Global Episode: 6719, Event: hole, Total Score: -28, Turns: 0, Turn Penalty: -3, Epsilon: 0.8822
Round: 6, Phase: 2/2, Algorithm: q_learning, Episode: 26, Global Episode: 6720, Event: hole, Total Score: -38, Turns: 0, Turn Penalty: 0, Epsilon: 0.8778
Round: 6, Phase: 2/2, Algorithm: q_learning, Episode: 27, Global Episode: 6721, Event: hole, Total Score: -34, Turns: 0, Turn Penalty: -3, Epsilon: 0.8734
Round: 6, Phase: 2/2, Algorithm: q_learning, Episode: 28, Global Episode: 6722, Event: hole, Total Score: -32, Turns: 0, Turn Penalty: -3, Epsilon: 0.8691
Round: 6, Phase: 2/2, Algorithm: q_learning, Episode: 29, Global Episode: 6723, Event: hole, Total Score: -36, Turns: 0, Turn Penalty: -3, Epsilon: 0.8647
Round: 6, Phase: 2/2, Algorithm: q_learning, Episode: 30, Global Episode: 6724, Event: hole, Total Score: -41, Turns: 0, Turn Penalty: -3, Epsilon: 0.8604
Round: 6, Phase: 2/2, Algorithm: q_learning, Episode: 31, Global Episode: 6725, Event: hole, Total Score: -41, Turns: 0, Turn Penalty: 0, Epsilon: 0.8561
Round: 6, Phase: 2/2, Algorithm: q_learning, Episode: 32, Global Episode: 6726, Event: hole, Total Score: -28, Turns: 0, Turn Penalty: 0, Epsilon: 0.8518
Round: 6, Phase: 2/2, Algorithm: q_learning, Episode: 33, Global Episode: 6727, Event: hole, Total Score: -28, Turns: 0, Turn Penalty: -3, Epsilon: 0.8475
Round: 6, Phase: 2/2, Algorithm: q_learning, Episode: 34, Global Episode: 6728, Event: hole, Total Score: -36, Turns: 0, Turn Penalty: 0, Epsilon: 0.8433
Round: 6, Phase: 2/2, Algorithm: q_learning, Episode: 35, Global Episode: 6729, Event: hole, Total Score: -32, Turns: 0, Turn Penalty: -3, Epsilon: 0.8391
Round: 6, Phase: 2/2, Algorithm: q_learning, Episode: 36, Global Episode: 6730, Event: hole, Total Score: -42, Turns: 0, Turn Penalty: -3, Epsilon: 0.8349
