Round: 3, Phase: 1/2, Algorithm: sarsa, Episode: 37, Global Episode: 2469, Event: hole, Total Score: -38, Turns: 0, Turn Penalty: -3, Epsilon: 0.8307
Round: 3, Phase: 1/2, Algorithm: sarsa, Episode: 38, Global Episode: 2470, Event: hole, Total Score: -44, Turns: 0, Turn Penalty: -3, Epsilon: 0.8266
Round: 3, Phase: 1/2, Algorithm: sarsa, Episode: 39, Global Episode: 2471, Event: hole, Total Score: -38, Turns: 0, Turn Penalty: -3, Epsilon: 0.8224
Round: 3, Phase: 1/2, Algorithm: sarsa, Episode: 40, Global Episode: 2472, Event: hole, Total Score: -33, Turns: 0, Turn Penalty: 0, Epsilon: 0.8183
Round: 3, Phase: 1/2, Algorithm: sarsa, Episode: 41, Global Episode: 2473, Event: hole, Total Score: -40, Turns: 0, Turn Penalty: -3, Epsilon: 0.8142
Round: 3, Phase: 1/2, Algorithm: sarsa, Episode: 42, Global Episode: 2474, Event: hole, Total Score: -33, Turns: 0, Turn Penalty: -3, Epsilon: 0.8102
Round: 3, Phase: 1/2, Algorithm: sarsa, Episode: 43, Global Episode: 2475, Event: hole, Total Score: -34, Turns: 0, Turn Penalty: -3, Epsilon: 0.8061
Round: 3, Phase: 1/2, Algorithm: sarsa, Episode: 44, Global Episode: 2476, Event: hole, Total Score: -48, Turns: 0, Turn Penalty: 0, Epsilon: 0.8021
Round: 3, Phase: 1/2, Algorithm: sarsa, Episode: 45, Global Episode: 2477, Event: hole, Total Score: -28, Turns: 0, Turn Penalty: 0, Epsilon: 0.7981
Round: 3, Phase: 1/2, Algorithm: sarsa, Episode: 46, Global Episode: 2478, Event: hole, Total Score: -30, Turns: 0, Turn Penalty: 0, Epsilon: 0.7941
Round: 3, Phase: 1/2, Algorithm: sarsa, Episode: 47, Global Episode: 2479, Event: hole, Total Score: -42, Turns: 0, Turn Penalty: -3, Epsilon: 0.7901
Round: 3, Phase: 1/2, Algorithm: sarsa, Episode: 48, Global Episode: 2480, Event: hole, Total Score: -34, Turns: 0, Turn Penalty: 0, Epsilon: 0.7862
Round: 3, Phase: 1/2, Algorithm: sarsa, Episode: 49, Global Episode: 2481, Event: hole, Total Score: -48, Turns: 0, Turn Penalty: -3, Epsilon: 0.7822
Round: 3, Phase: 1/2, Algorithm: sarsa, Episode: 50, Global Episode: 2482, Event: hole, Total Score: -38, Turns: 0, Turn Penalty: -3, Epsilon: 0.7783
Round: 3, Phase: 1/2, Algorithm: sarsa, Episode: 51, Global Episode: 2483, Event: hole, Total Score: -38, Turns: 0, Turn Penalty: 0, Epsilon: 0.7744
Round: 3, Phase: 1/2, Algorithm: sarsa, Episode: 52, Global Episode: 2484, Event: hole, Total Score: -38, Turns: 0, Turn Penalty: -3, Epsilon: 0.7705
Round: 3, Phase: 1/2, Algorithm: sarsa, Episode: 53, Global Episode: 2485, Event: hole, Total Score: -31, Turns: 0, Turn Penalty: 0, Epsilon: 0.7667
Round: 3, Phase: 1/2, Algorithm: sarsa, Episode: 54, Global Episode: 2486, Event: hole, Total Score: -31, Turns: 0, Turn Penalty: -3, Epsilon: 0.7629
Round: 3, Phase: 1/2, Algorithm: sarsa, Episode: 55, Global Episode: 2487, Event: hole, Total Score: -34, Turns: 0, Turn Penalty: -3, Epsilon: 0.7590
Round: 3, Phase: 1/2, Algorithm: sarsa, Episode: 56, Global Episode: 2488, Event: hole, Total Score: -37, Turns: 0, Turn Penalty: 0, Epsilon: 0.7553
Round: 3, Phase: 1/2, Algorithm: sarsa, Episode: 57, Global Episode: 2489, Event: hole, Total Score: -59, Turns: 0, Turn Penalty: 0, Epsilon: 0.7515
Round: 3, Phase: 1/2, Algorithm: sarsa, Episode: 58, Global Episode: 2490, Event: hole, Total Score: -38, Turns: 0, Turn Penalty: -3, Epsilon: 0.7477
Round: 3, Phase: 1/2, Algorithm: sarsa, Episode: 59, Global Episode: 2491, Event: hole, Total Score: -41, Turns: 0, Turn Penalty: 0, Epsilon: 0.7440
Round: 3, Phase: 1/2, Algorithm: sarsa, Episode: 60, Global Episode: 2492, Event: hole, Total Score: -35, Turns: 0, Turn Penalty: -3, Epsilon: 0.7403
Round: 3, Phase: 1/2, Algorithm: sarsa, Episode: 61, Global Episode: 2493, Event: hole, Total Score: -28, Turns: 0, Turn Penalty: -3, Epsilon: 0.7366
Round: 3, Phase: 1/2, Algorithm: sarsa, Episode: 62, Global Episode: 2494, Event: hole, Total Score: -53, Turns: 0, Turn Penalty: -3, Epsilon: 0.7329
Round: 3, Phase: 1/2, Algorithm: sarsa, Episode: 63, Global Episode: 2495, Event: hole, Total Score: -40, Turns: 0, Turn Penalty: 0, Epsilon: 0.7292
Round: 3, Phase: 1/2, Algorithm: sarsa, Episode: 64, Global Episode: 2496, Event: hole, Total Score: -42, Turns: 0, Turn Penalty: -3, Epsilon: 0.7256
Round: 3, Phase: 1/2, Algorithm: sarsa, Episode: 65, Global Episode: 2497, Event: hole, Total Score: -49, Turns: 0, Turn Penalty: -3, Epsilon: 0.7219
Round: 3, Phase: 1/2, Algorithm: sarsa, Episode: 66, Global Episode: 2498, Event: hole, Total Score: -57, Turns: 0, Turn Penalty: 0, Epsilon: 0.7183
Round: 3, Phase: 1/2, Algorithm: sarsa, Episode: 67, Global Episode: 2499, Event: hole, Total Score: -32, Turns: 0, Turn Penalty: -3, Epsilon: 0.7147
Round: 3, Phase: 1/2, Algorithm: sarsa, Episode: 68, Global Episode: 2500, Event: hole, Total Score: -46, Turns: 0, Turn Penalty: -3, Epsilon: 0.7112
Round: 3, Phase: 1/2, Algorithm: sarsa, Episode: 69, Global Episode: 2501, Event: hole, Total Score: -28, Turns: 0, Turn Penalty: -3, Epsilon: 0.7076
