Round: 8, Phase: 1/2, Algorithm: sarsa, Episode: 1, Global Episode: 8516, Event: hole, Total Score: -35, Turns: 0, Turn Penalty: -3, Epsilon: 0.9950
Round: 8, Phase: 1/2, Algorithm: sarsa, Episode: 2, Global Episode: 8517, Event: hole, Total Score: -26, Turns: 0, Turn Penalty: 0, Epsilon: 0.9900
Round: 8, Phase: 1/2, Algorithm: sarsa, Episode: 3, Global Episode: 8518, Event: hole, Total Score: -33, Turns: 0, Turn Penalty: 0, Epsilon: 0.9851
Round: 8, Phase: 1/2, Algorithm: sarsa, Episode: 4, Global Episode: 8519, Event: hole, Total Score: -26, Turns: 0, Turn Penalty: 0, Epsilon: 0.9801
Round: 8, Phase: 1/2, Algorithm: sarsa, Episode: 5, Global Episode: 8520, Event: hole, Total Score: -26, Turns: 0, Turn Penalty: 0, Epsilon: 0.9752
Round: 8, Phase: 1/2, Algorithm: sarsa, Episode: 6, Global Episode: 8521, Event: hole, Total Score: -29, Turns: 0, Turn Penalty: 0, Epsilon: 0.9704
Round: 8, Phase: 1/2, Algorithm: sarsa, Episode: 7, Global Episode: 8522, Event: hole, Total Score: -51, Turns: 0, Turn Penalty: -3, Epsilon: 0.9655
Round: 8, Phase: 1/2, Algorithm: sarsa, Episode: 8, Global Episode: 8523, Event: hole, Total Score: -26, Turns: 0, Turn Penalty: 0, Epsilon: 0.9607
Round: 8, Phase: 1/2, Algorithm: sarsa, Episode: 9, Global Episode: 8524, Event: hole, Total Score: -26, Turns: 0, Turn Penalty: 0, Epsilon: 0.9559
Round: 8, Phase: 1/2, Algorithm: sarsa, Episode: 10, Global Episode: 8525, Event: hole, Total Score: -37, Turns: 0, Turn Penalty: -3, Epsilon: 0.9511
Round: 8, Phase: 1/2, Algorithm: sarsa, Episode: 11, Global Episode: 8526, Event: hole, Total Score: -30, Turns: 0, Turn Penalty: -3, Epsilon: 0.9464
Round: 8, Phase: 1/2, Algorithm: sarsa, Episode: 12, Global Episode: 8527, Event: hole, Total Score: -26, Turns: 0, Turn Penalty: 0, Epsilon: 0.9416
Round: 8, Phase: 1/2, Algorithm: sarsa, Episode: 13, Global Episode: 8528, Event: hole, Total Score: -26, Turns: 0, Turn Penalty: 0, Epsilon: 0.9369
Round: 8, Phase: 1/2, Algorithm: sarsa, Episode: 14, Global Episode: 8529, Event: hole, Total Score: -26, Turns: 0, Turn Penalty: 0, Epsilon: 0.9322
Round: 8, Phase: 1/2, Algorithm: sarsa, Episode: 15, Global Episode: 8530, Event: hole, Total Score: -30, Turns: 0, Turn Penalty: 0, Epsilon: 0.9276
Round: 8, Phase: 1/2, Algorithm: sarsa, Episode: 16, Global Episode: 8531, Event: hole, Total Score: -26, Turns: 0, Turn Penalty: 0, Epsilon: 0.9229
Round: 8, Phase: 1/2, Algorithm: sarsa, Episode: 17, Global Episode: 8532, Event: hole, Total Score: -26, Turns: 0, Turn Penalty: 0, Epsilon: 0.9183
Round: 8, Phase: 1/2, Algorithm: sarsa, Episode: 18, Global Episode: 8533, Event: hole, Total Score: -26, Turns: 0, Turn Penalty: 0, Epsilon: 0.9137
Round: 8, Phase: 1/2, Algorithm: sarsa, Episode: 19, Global Episode: 8534, Event: hole, Total Score: -26, Turns: 0, Turn Penalty: 0, Epsilon: 0.9092
Round: 8, Phase: 1/2, Algorithm: sarsa, Episode: 20, Global Episode: 8535, Event: hole, Total Score: -26, Turns: 0, Turn Penalty: 0, Epsilon: 0.9046
Round: 8, Phase: 1/2, Algorithm: sarsa, Episode: 21, Global Episode: 8536, Event: hole, Total Score: -70, Turns: 0, Turn Penalty: -3, Epsilon: 0.9001
Round: 8, Phase: 1/2, Algorithm: sarsa, Episode: 22, Global Episode: 8537, Event: hole, Total Score: -28, Turns: 0, Turn Penalty: -3, Epsilon: 0.8956
Round: 8, Phase: 1/2, Algorithm: sarsa, Episode: 23, Global Episode: 8538, Event: hole, Total Score: -26, Turns: 0, Turn Penalty: 0, Epsilon: 0.8911
Round: 8, Phase: 1/2, Algorithm: sarsa, Episode: 24, Global Episode: 8539, Event: hole, Total Score: -32, Turns: 0, Turn Penalty: -3, Epsilon: 0.8867
Round: 8, Phase: 1/2, Algorithm: sarsa, Episode: 25, Global Episode: 8540, Event: hole, Total Score: -45, Turns: 0, Turn Penalty: -3, Epsilon: 0.8822
Round: 8, Phase: 1/2, Algorithm: sarsa, Episode: 26, Global Episode: 8541, Event: hole, Total Score: -30, Turns: 0, Turn Penalty: -3, Epsilon: 0.8778
Round: 8, Phase: 1/2, Algorithm: sarsa, Episode: 27, Global Episode: 8542, Event: hole, Total Score: -32, Turns: 0, Turn Penalty: -3, Epsilon: 0.8734
Round: 8, Phase: 1/2, Algorithm: sarsa, Episode: 28, Global Episode: 8543, Event: hole, Total Score: -29, Turns: 0, Turn Penalty: 0, Epsilon: 0.8691
Round: 8, Phase: 1/2, Algorithm: sarsa, Episode: 29, Global Episode: 8544, Event: hole, Total Score: -26, Turns: 0, Turn Penalty: 0, Epsilon: 0.8647
Round: 8, Phase: 1/2, Algorithm: sarsa, Episode: 30, Global Episode: 8545, Event: hole, Total Score: -30, Turns: 0, Turn Penalty: -3, Epsilon: 0.8604
Round: 8, Phase: 1/2, Algorithm: sarsa, Episode: 31, Global Episode: 8546, Event: hole, Total Score: -28, Turns: 0, Turn Penalty: -3, Epsilon: 0.8561
Round: 8, Phase: 1/2, Algorithm: sarsa, Episode: 32, Global Episode: 8547, Event: hole, Total Score: -28, Turns: 0, Turn Penalty: -3, Epsilon: 0.8518
Round: 8, Phase: 1/2, Algorithm: sarsa, Episode: 33, Global Episode: 8548, Event: hole, Total Score: -26, Turns: 0, Turn Penalty: 0, Epsilon: 0.8475
Round: 8, Phase: 1/2, Algorithm: sarsa, Episode: 34, Global Episode: 8549, Event: hole, Total Score: -32, Turns: 0, Turn Penalty: -3, Epsilon: 0.8433
Round: 8, Phase: 1/2, Algorithm: sarsa, Episode: 35, Global Episode: 8550, Event: hole, Total Score: -30, Turns: 0, Turn Penalty: -3, Epsilon: 0.8391
Round: 8, Phase: 1/2, Algorithm: sarsa, Episode: 36, Global Episode: 8551, Event: hole, Total Score: -26, Turns: 0, Turn Penalty: 0, Epsilon: 0.8349
Round: 8, Phase: 1/2, Algorithm: sarsa, Episode: 37, Global Episode: 8552, Event: hole, Total Score: -73, Turns: 0, Turn Penalty: -3, Epsilon: 0.8307
Round: 8, Phase: 1/2, Algorithm: sarsa, Episode: 38, Global Episode: 8553, Event: hole, Total Score: -26, Turns: 0, Turn Penalty: 0, Epsilon: 0.8266
Round: 8, Phase: 1/2, Algorithm: sarsa, Episode: 39, Global Episode: 8554, Event: hole, Total Score: -26, Turns: 0, Turn Penalty: 0, Epsilon: 0.8224
Round: 8, Phase: 1/2, Algorithm: sarsa, Episode: 40, Global Episode: 8555, Event: hole, Total Score: -43, Turns: 0, Turn Penalty: -3, Epsilon: 0.8183
Round: 8, Phase: 1/2, Algorithm: sarsa, Episode: 41, Global Episode: 8556, Event: hole, Total Score: -29, Turns: 0, Turn Penalty: -3, Epsilon: 0.8142
Round: 8, Phase: 1/2, Algorithm: sarsa, Episode: 42, Global Episode: 8557, Event: hole, Total Score: -26, Turns: 0, Turn Penalty: 0, Epsilon: 0.8102
Round: 8, Phase: 1/2, Algorithm: sarsa, Episode: 43, Global Episode: 8558, Event: hole, Total Score: -26, Turns: 0, Turn Penalty: 0, Epsilon: 0.8061
Round: 8, Phase: 1/2, Algorithm: sarsa, Episode: 44, Global Episode: 8559, Event: hole, Total Score: -36, Turns: 0, Turn Penalty: 0, Epsilon: 0.8021
Round: 8, Phase: 1/2, Algorithm: sarsa, Episode: 45, Global Episode: 8560, Event: hole, Total Score: -43, Turns: 0, Turn Penalty: -3, Epsilon: 0.7981
Round: 8, Phase: 1/2, Algorithm: sarsa, Episode: 46, Global Episode: 8561, Event: hole, Total Score: -26, Turns: 0, Turn Penalty: 0, Epsilon: 0.7941
Round: 8, Phase: 1/2, Algorithm: sarsa, Episode: 47, Global Episode: 8562, Event: hole, Total Score: -26, Turns: 0, Turn Penalty: 0, Epsilon: 0.7901
Round: 8, Phase: 1/2, Algorithm: sarsa, Episode: 48, Global Episode: 8563, Event: hole, Total Score: -28, Turns: 0, Turn Penalty: -3, Epsilon: 0.7862
Round: 8, Phase: 1/2, Algorithm: sarsa, Episode: 49, Global Episode: 8564, Event: hole, Total Score: -26, Turns: 0, Turn Penalty: 0, Epsilon: 0.7822
Round: 8, Phase: 1/2, Algorithm: sarsa, Episode: 50, Global Episode: 8565, Event: hole, Total Score: -37, Turns: 0, Turn Penalty: -3, Epsilon: 0.7783
Round: 8, Phase: 1/2, Algorithm: sarsa, Episode: 51, Global Episode: 8566, Event: hole, Total Score: -26, Turns: 0, Turn Penalty: 0, Epsilon: 0.7744
Round: 8, Phase: 1/2, Algorithm: sarsa, Episode: 52, Global Episode: 8567, Event: hole, Total Score: -32, Turns: 0, Turn Penalty: -3, Epsilon: 0.7705
Round: 8, Phase: 1/2, Algorithm: sarsa, Episode: 53, Global Episode: 8568, Event: hole, Total Score: -28, Turns: 0, Turn Penalty: -3, Epsilon: 0.7667
Round: 8, Phase: 1/2, Algorithm: sarsa, Episode: 54, Global Episode: 8569, Event: hole, Total Score: -30, Turns: 0, Turn Penalty: -3, Epsilon: 0.7629
Round: 8, Phase: 1/2, Algorithm: sarsa, Episode: 55, Global Episode: 8570, Event: hole, Total Score: -37, Turns: 0, Turn Penalty: -3, Epsilon: 0.7590
Round: 8, Phase: 1/2, Algorithm: sarsa, Episode: 56, Global Episode: 8571, Event: hole, Total Score: -31, Turns: 0, Turn Penalty: -3, Epsilon: 0.7553
Round: 8, Phase: 1/2, Algorithm: sarsa, Episode: 57, Global Episode: 8572, Event: hole, Total Score: -26, Turns: 0, Turn Penalty: 0, Epsilon: 0.7515
Round: 8, Phase: 1/2, Algorithm: sarsa, Episode: 58, Global Episode: 8573, Event: hole, Total Score: -31, Turns: 0, Turn Penalty: -3, Epsilon: 0.7477
Round: 8, Phase: 1/2, Algorithm: sarsa, Episode: 59, Global Episode: 8574, Event: hole, Total Score: -26, Turns: 0, Turn Penalty: 0, Epsilon: 0.7440
Round: 8, Phase: 1/2, Algorithm: sarsa, Episode: 60, Global Episode: 8575, Event: hole, Total Score: -55, Turns: 0, Turn Penalty: -3, Epsilon: 0.7403
Round: 8, Phase: 1/2, Algorithm: sarsa, Episode: 61, Global Episode: 8576, Event: hole, Total Score: -26, Turns: 0, Turn Penalty: 0, Epsilon: 0.7366
Round: 8, Phase: 1/2, Algorithm: sarsa, Episode: 62, Global Episode: 8577, Event: hole, Total Score: -26, Turns: 0, Turn Penalty: 0, Epsilon: 0.7329
Round: 8, Phase: 1/2, Algorithm: sarsa, Episode: 63, Global Episode: 8578, Event: hole, Total Score: -26, Turns: 0, Turn Penalty: 0, Epsilon: 0.7292
Round: 8, Phase: 1/2, Algorithm: sarsa, Episode: 64, Global Episode: 8579, Event: hole, Total Score: -35, Turns: 0, Turn Penalty: -3, Epsilon: 0.7256
Round: 8, Phase: 1/2, Algorithm: sarsa, Episode: 65, Global Episode: 8580, Event: hole, Total Score: -36, Turns: 0, Turn Penalty: -3, Epsilon: 0.7219
Round: 8, Phase: 1/2, Algorithm: sarsa, Episode: 66, Global Episode: 8581, Event: hole, Total Score: -35, Turns: 0, Turn Penalty: -3, Epsilon: 0.7183
Round: 8, Phase: 1/2, Algorithm: sarsa, Episode: 67, Global Episode: 8582, Event: hole, Total Score: -33, Turns: 0, Turn Penalty: -3, Epsilon: 0.7147
Round: 8, Phase: 1/2, Algorithm: sarsa, Episode: 68, Global Episode: 8583, Event: hole, Total Score: -26, Turns: 0, Turn Penalty: 0, Epsilon: 0.7112
Round: 8, Phase: 1/2, Algorithm: sarsa, Episode: 69, Global Episode: 8584, Event: hole, Total Score: -26, Turns: 0, Turn Penalty: 0, Epsilon: 0.7076
Round: 8, Phase: 1/2, Algorithm: sarsa, Episode: 70, Global Episode: 8585, Event: hole, Total Score: -26, Turns: 0, Turn Penalty: 0, Epsilon: 0.7041
Round: 8, Phase: 1/2, Algorithm: sarsa, Episode: 71, Global Episode: 8586, Event: hole, Total Score: -51, Turns: 0, Turn Penalty: -3, Epsilon: 0.7005
Round: 8, Phase: 1/2, Algorithm: sarsa, Episode: 72, Global Episode: 8587, Event: hole, Total Score: -37, Turns: 0, Turn Penalty: -3, Epsilon: 0.6970
Round: 8, Phase: 1/2, Algorithm: sarsa, Episode: 73, Global Episode: 8588, Event: hole, Total Score: -26, Turns: 0, Turn Penalty: 0, Epsilon: 0.6936
