Round: 6, Phase: 1/2, Algorithm: sarsa, Episode: 1, Global Episode: 6087, Event: hole, Total Score: -30, Turns: 0, Turn Penalty: -3, Epsilon: 0.9950
Round: 6, Phase: 1/2, Algorithm: sarsa, Episode: 2, Global Episode: 6088, Event: hole, Total Score: -30, Turns: 0, Turn Penalty: 0, Epsilon: 0.9900
Round: 6, Phase: 1/2, Algorithm: sarsa, Episode: 3, Global Episode: 6089, Event: hole, Total Score: -45, Turns: 0, Turn Penalty: -3, Epsilon: 0.9851
Round: 6, Phase: 1/2, Algorithm: sarsa, Episode: 4, Global Episode: 6090, Event: hole, Total Score: -44, Turns: 0, Turn Penalty: 0, Epsilon: 0.9801
Round: 6, Phase: 1/2, Algorithm: sarsa, Episode: 5, Global Episode: 6091, Event: hole, Total Score: -40, Turns: 0, Turn Penalty: -3, Epsilon: 0.9752
Round: 6, Phase: 1/2, Algorithm: sarsa, Episode: 6, Global Episode: 6092, Event: hole, Total Score: -44, Turns: 0, Turn Penalty: -3, Epsilon: 0.9704
Round: 6, Phase: 1/2, Algorithm: sarsa, Episode: 7, Global Episode: 6093, Event: hole, Total Score: -28, Turns: 0, Turn Penalty: -3, Epsilon: 0.9655
Round: 6, Phase: 1/2, Algorithm: sarsa, Episode: 8, Global Episode: 6094, Event: hole, Total Score: -32, Turns: 0, Turn Penalty: -3, Epsilon: 0.9607
Round: 6, Phase: 1/2, Algorithm: sarsa, Episode: 9, Global Episode: 6095, Event: hole, Total Score: -32, Turns: 0, Turn Penalty: -3, Epsilon: 0.9559
Round: 6, Phase: 1/2, Algorithm: sarsa, Episode: 10, Global Episode: 6096, Event: hole, Total Score: -32, Turns: 0, Turn Penalty: -3, Epsilon: 0.9511
Round: 6, Phase: 1/2, Algorithm: sarsa, Episode: 11, Global Episode: 6097, Event: hole, Total Score: -30, Turns: 0, Turn Penalty: 0, Epsilon: 0.9464
Round: 6, Phase: 1/2, Algorithm: sarsa, Episode: 12, Global Episode: 6098, Event: hole, Total Score: -38, Turns: 0, Turn Penalty: 0, Epsilon: 0.9416
Round: 6, Phase: 1/2, Algorithm: sarsa, Episode: 13, Global Episode: 6099, Event: hole, Total Score: -40, Turns: 0, Turn Penalty: -3, Epsilon: 0.9369
Round: 6, Phase: 1/2, Algorithm: sarsa, Episode: 14, Global Episode: 6100, Event: hole, Total Score: -35, Turns: 0, Turn Penalty: 0, Epsilon: 0.9322
Round: 6, Phase: 1/2, Algorithm: sarsa, Episode: 15, Global Episode: 6101, Event: hole, Total Score: -40, Turns: 0, Turn Penalty: 0, Epsilon: 0.9276
Round: 6, Phase: 1/2, Algorithm: sarsa, Episode: 16, Global Episode: 6102, Event: hole, Total Score: -44, Turns: 0, Turn Penalty: -3, Epsilon: 0.9229
Round: 6, Phase: 1/2, Algorithm: sarsa, Episode: 17, Global Episode: 6103, Event: hole, Total Score: -41, Turns: 0, Turn Penalty: -3, Epsilon: 0.9183
Round: 6, Phase: 1/2, Algorithm: sarsa, Episode: 18, Global Episode: 6104, Event: hole, Total Score: -28, Turns: 0, Turn Penalty: 0, Epsilon: 0.9137
Round: 6, Phase: 1/2, Algorithm: sarsa, Episode: 19, Global Episode: 6105, Event: hole, Total Score: -40, Turns: 0, Turn Penalty: -3, Epsilon: 0.9092
Round: 6, Phase: 1/2, Algorithm: sarsa, Episode: 20, Global Episode: 6106, Event: hole, Total Score: -52, Turns: 0, Turn Penalty: -3, Epsilon: 0.9046
Round: 6, Phase: 1/2, Algorithm: sarsa, Episode: 21, Global Episode: 6107, Event: hole, Total Score: -46, Turns: 0, Turn Penalty: -3, Epsilon: 0.9001
Round: 6, Phase: 1/2, Algorithm: sarsa, Episode: 22, Global Episode: 6108, Event: hole, Total Score: -32, Turns: 0, Turn Penalty: 0, Epsilon: 0.8956
