Round: 1, Phase: 1/2, Algorithm: sarsa, Episode: 1, Global Episode: 1, Event: hole, Total Score: -79, Covered White Tiles: 4/52, Epsilon: 0.9950
Round: 1, Phase: 1/2, Algorithm: sarsa, Episode: 2, Global Episode: 2, Event: hole, Total Score: -38, Covered White Tiles: 12/52, Epsilon: 0.9900
Round: 1, Phase: 1/2, Algorithm: sarsa, Episode: 3, Global Episode: 3, Event: hole, Total Score: -100, Covered White Tiles: 2/52, Epsilon: 0.9851
Round: 1, Phase: 1/2, Algorithm: sarsa, Episode: 4, Global Episode: 4, Event: hole, Total Score: -93, Covered White Tiles: 1/52, Epsilon: 0.9801
Round: 1, Phase: 1/2, Algorithm: sarsa, Episode: 5, Global Episode: 5, Event: hole, Total Score: -79, Covered White Tiles: 3/52, Epsilon: 0.9752
Round: 1, Phase: 1/2, Algorithm: sarsa, Episode: 6, Global Episode: 6, Event: hole, Total Score: -93, Covered White Tiles: 1/52, Epsilon: 0.9704
Round: 1, Phase: 1/2, Algorithm: sarsa, Episode: 7, Global Episode: 7, Event: hole, Total Score: -94, Covered White Tiles: 4/52, Epsilon: 0.9655
Round: 1, Phase: 1/2, Algorithm: sarsa, Episode: 8, Global Episode: 8, Event: hole, Total Score: -86, Covered White Tiles: 2/52, Epsilon: 0.9607
Round: 1, Phase: 1/2, Algorithm: sarsa, Episode: 9, Global Episode: 9, Event: hole, Total Score: -79, Covered White Tiles: 3/52, Epsilon: 0.9559
Round: 1, Phase: 1/2, Algorithm: sarsa, Episode: 10, Global Episode: 10, Event: hole, Total Score: -94, Covered White Tiles: 2/52, Epsilon: 0.9511
Round: 1, Phase: 1/2, Algorithm: sarsa, Episode: 11, Global Episode: 11, Event: hole, Total Score: -46, Covered White Tiles: 11/52, Epsilon: 0.9464
Round: 1, Phase: 1/2, Algorithm: sarsa, Episode: 12, Global Episode: 12, Event: hole, Total Score: -86, Covered White Tiles: 2/52, Epsilon: 0.9416
Round: 1, Phase: 1/2, Algorithm: sarsa, Episode: 13, Global Episode: 13, Event: hole, Total Score: -86, Covered White Tiles: 2/52, Epsilon: 0.9369
Round: 1, Phase: 1/2, Algorithm: sarsa, Episode: 14, Global Episode: 14, Event: hole, Total Score: -95, Covered White Tiles: 4/52, Epsilon: 0.9322
Round: 1, Phase: 1/2, Algorithm: sarsa, Episode: 15, Global Episode: 15, Event: hole, Total Score: -79, Covered White Tiles: 3/52, Epsilon: 0.9276
Round: 1, Phase: 1/2, Algorithm: sarsa, Episode: 16, Global Episode: 16, Event: hole, Total Score: -80, Covered White Tiles: 3/52, Epsilon: 0.9229
Round: 1, Phase: 1/2, Algorithm: sarsa, Episode: 17, Global Episode: 17, Event: hole, Total Score: -79, Covered White Tiles: 3/52, Epsilon: 0.9183
Round: 1, Phase: 1/2, Algorithm: sarsa, Episode: 18, Global Episode: 18, Event: hole, Total Score: -37, Covered White Tiles: 9/52, Epsilon: 0.9137
Round: 1, Phase: 1/2, Algorithm: sarsa, Episode: 19, Global Episode: 19, Event: hole, Total Score: -79, Covered White Tiles: 4/52, Epsilon: 0.9092
Round: 1, Phase: 1/2, Algorithm: sarsa, Episode: 20, Global Episode: 20, Event: hole, Total Score: -72, Covered White Tiles: 5/52, Epsilon: 0.9046
Round: 1, Phase: 1/2, Algorithm: sarsa, Episode: 21, Global Episode: 21, Event: hole, Total Score: -93, Covered White Tiles: 1/52, Epsilon: 0.9001
Round: 1, Phase: 1/2, Algorithm: sarsa, Episode: 22, Global Episode: 22, Event: hole, Total Score: -72, Covered White Tiles: 5/52, Epsilon: 0.8956
Round: 1, Phase: 1/2, Algorithm: sarsa, Episode: 23, Global Episode: 23, Event: hole, Total Score: -87, Covered White Tiles: 2/52, Epsilon: 0.8911
Round: 1, Phase: 1/2, Algorithm: sarsa, Episode: 24, Global Episode: 24, Event: hole, Total Score: -80, Covered White Tiles: 3/52, Epsilon: 0.8867
Round: 1, Phase: 1/2, Algorithm: sarsa, Episode: 25, Global Episode: 25, Event: hole, Total Score: -102, Covered White Tiles: 4/52, Epsilon: 0.8822
Round: 1, Phase: 1/2, Algorithm: sarsa, Episode: 26, Global Episode: 26, Event: hole, Total Score: -94, Covered White Tiles: 2/52, Epsilon: 0.8778
Round: 1, Phase: 1/2, Algorithm: sarsa, Episode: 27, Global Episode: 27, Event: hole, Total Score: -94, Covered White Tiles: 2/52, Epsilon: 0.8734
Round: 1, Phase: 1/2, Algorithm: sarsa, Episode: 28, Global Episode: 28, Event: hole, Total Score: -86, Covered White Tiles: 2/52, Epsilon: 0.8691
Round: 1, Phase: 1/2, Algorithm: sarsa, Episode: 29, Global Episode: 29, Event: hole, Total Score: -93, Covered White Tiles: 1/52, Epsilon: 0.8647
Round: 1, Phase: 1/2, Algorithm: sarsa, Episode: 30, Global Episode: 30, Event: hole, Total Score: -94, Covered White Tiles: 5/52, Epsilon: 0.8604
Round: 1, Phase: 1/2, Algorithm: sarsa, Episode: 31, Global Episode: 31, Event: hole, Total Score: -93, Covered White Tiles: 1/52, Epsilon: 0.8561
Round: 1, Phase: 1/2, Algorithm: sarsa, Episode: 32, Global Episode: 32, Event: hole, Total Score: -94, Covered White Tiles: 3/52, Epsilon: 0.8518
Round: 1, Phase: 1/2, Algorithm: sarsa, Episode: 33, Global Episode: 33, Event: hole, Total Score: -86, Covered White Tiles: 2/52, Epsilon: 0.8475
Round: 1, Phase: 1/2, Algorithm: sarsa, Episode: 34, Global Episode: 34, Event: hole, Total Score: -93, Covered White Tiles: 1/52, Epsilon: 0.8433
Round: 1, Phase: 1/2, Algorithm: sarsa, Episode: 35, Global Episode: 35, Event: hole, Total Score: -86, Covered White Tiles: 2/52, Epsilon: 0.8391
Round: 1, Phase: 1/2, Algorithm: sarsa, Episode: 36, Global Episode: 36, Event: hole, Total Score: -93, Covered White Tiles: 1/52, Epsilon: 0.8349
Round: 1, Phase: 1/2, Algorithm: sarsa, Episode: 37, Global Episode: 37, Event: hole, Total Score: -86, Covered White Tiles: 4/52, Epsilon: 0.8307
