Round: 5, Phase: 1/2, Algorithm: sarsa, Episode: 1, Global Episode: 18947, Event: hole, Total Score: -30, Covered White Tiles: 11/50, Epsilon: 0.9950
Round: 5, Phase: 1/2, Algorithm: sarsa, Episode: 2, Global Episode: 18948, Event: hole, Total Score: -58, Covered White Tiles: 7/50, Epsilon: 0.9900
Round: 5, Phase: 1/2, Algorithm: sarsa, Episode: 3, Global Episode: 18949, Event: hole, Total Score: -81, Covered White Tiles: 7/50, Epsilon: 0.9851
Round: 5, Phase: 1/2, Algorithm: sarsa, Episode: 4, Global Episode: 18950, Event: hole, Total Score: -177, Covered White Tiles: 13/50, Epsilon: 0.9801
Round: 5, Phase: 1/2, Algorithm: sarsa, Episode: 5, Global Episode: 18951, Event: hole, Total Score: -65, Covered White Tiles: 12/50, Epsilon: 0.9752
Round: 5, Phase: 1/2, Algorithm: sarsa, Episode: 6, Global Episode: 18952, Event: hole, Total Score: -132, Covered White Tiles: 12/50, Epsilon: 0.9704
Round: 5, Phase: 1/2, Algorithm: sarsa, Episode: 7, Global Episode: 18953, Event: hole, Total Score: -96, Covered White Tiles: 4/50, Epsilon: 0.9655
Round: 5, Phase: 1/2, Algorithm: sarsa, Episode: 8, Global Episode: 18954, Event: hole, Total Score: -79, Covered White Tiles: 4/50, Epsilon: 0.9607
Round: 5, Phase: 1/2, Algorithm: sarsa, Episode: 9, Global Episode: 18955, Event: hole, Total Score: -86, Covered White Tiles: 17/50, Epsilon: 0.9559
Round: 5, Phase: 1/2, Algorithm: sarsa, Episode: 10, Global Episode: 18956, Event: hole, Total Score: -65, Covered White Tiles: 5/50, Epsilon: 0.9511
Round: 5, Phase: 1/2, Algorithm: sarsa, Episode: 11, Global Episode: 18957, Event: hole, Total Score: -87, Covered White Tiles: 4/50, Epsilon: 0.9464
Round: 5, Phase: 1/2, Algorithm: sarsa, Episode: 12, Global Episode: 18958, Event: hole, Total Score: -79, Covered White Tiles: 3/50, Epsilon: 0.9416
Round: 5, Phase: 1/2, Algorithm: sarsa, Episode: 13, Global Episode: 18959, Event: hole, Total Score: -79, Covered White Tiles: 12/50, Epsilon: 0.9369
Round: 5, Phase: 1/2, Algorithm: sarsa, Episode: 14, Global Episode: 18960, Event: hole, Total Score: -72, Covered White Tiles: 17/50, Epsilon: 0.9322
Round: 5, Phase: 1/2, Algorithm: sarsa, Episode: 15, Global Episode: 18961, Event: hole, Total Score: -58, Covered White Tiles: 11/50, Epsilon: 0.9276
Round: 5, Phase: 1/2, Algorithm: sarsa, Episode: 16, Global Episode: 18962, Event: hole, Total Score: -45, Covered White Tiles: 11/50, Epsilon: 0.9229
Round: 5, Phase: 1/2, Algorithm: sarsa, Episode: 17, Global Episode: 18963, Event: hole, Total Score: -65, Covered White Tiles: 17/50, Epsilon: 0.9183
Round: 5, Phase: 1/2, Algorithm: sarsa, Episode: 18, Global Episode: 18964, Event: hole, Total Score: -116, Covered White Tiles: 10/50, Epsilon: 0.9137
Round: 5, Phase: 1/2, Algorithm: sarsa, Episode: 19, Global Episode: 18965, Event: hole, Total Score: -101, Covered White Tiles: 5/50, Epsilon: 0.9092
Round: 5, Phase: 1/2, Algorithm: sarsa, Episode: 20, Global Episode: 18966, Event: hole, Total Score: -95, Covered White Tiles: 4/50, Epsilon: 0.9046
Round: 5, Phase: 1/2, Algorithm: sarsa, Episode: 21, Global Episode: 18967, Event: hole, Total Score: -65, Covered White Tiles: 9/50, Epsilon: 0.9001
Round: 5, Phase: 1/2, Algorithm: sarsa, Episode: 22, Global Episode: 18968, Event: hole, Total Score: -74, Covered White Tiles: 7/50, Epsilon: 0.8956
Round: 5, Phase: 1/2, Algorithm: sarsa, Episode: 23, Global Episode: 18969, Event: hole, Total Score: -58, Covered White Tiles: 6/50, Epsilon: 0.8911
Round: 5, Phase: 1/2, Algorithm: sarsa, Episode: 24, Global Episode: 18970, Event: hole, Total Score: -100, Covered White Tiles: 10/50, Epsilon: 0.8867
Round: 5, Phase: 1/2, Algorithm: sarsa, Episode: 25, Global Episode: 18971, Event: hole, Total Score: -58, Covered White Tiles: 10/50, Epsilon: 0.8822
Round: 5, Phase: 1/2, Algorithm: sarsa, Episode: 26, Global Episode: 18972, Event: hole, Total Score: -263, Covered White Tiles: 13/50, Epsilon: 0.8778
Round: 5, Phase: 1/2, Algorithm: sarsa, Episode: 27, Global Episode: 18973, Event: hole, Total Score: -58, Covered White Tiles: 10/50, Epsilon: 0.8734
Round: 5, Phase: 1/2, Algorithm: sarsa, Episode: 28, Global Episode: 18974, Event: hole, Total Score: -143, Covered White Tiles: 12/50, Epsilon: 0.8691
Round: 5, Phase: 1/2, Algorithm: sarsa, Episode: 29, Global Episode: 18975, Event: hole, Total Score: -65, Covered White Tiles: 5/50, Epsilon: 0.8647
Round: 5, Phase: 1/2, Algorithm: sarsa, Episode: 30, Global Episode: 18976, Event: hole, Total Score: -51, Covered White Tiles: 7/50, Epsilon: 0.8604
Round: 5, Phase: 1/2, Algorithm: sarsa, Episode: 31, Global Episode: 18977, Event: hole, Total Score: -86, Covered White Tiles: 2/50, Epsilon: 0.8561
Round: 5, Phase: 1/2, Algorithm: sarsa, Episode: 32, Global Episode: 18978, Event: hole, Total Score: -58, Covered White Tiles: 11/50, Epsilon: 0.8518
