Round: 3, Phase: 1/2, Algorithm: sarsa, Episode: 1, Global Episode: 7532, Event: hole, Total Score: -100, Covered White Tiles: 0/48, Epsilon: 0.9950
Round: 3, Phase: 1/2, Algorithm: sarsa, Episode: 2, Global Episode: 7533, Event: hole, Total Score: -93, Covered White Tiles: 1/48, Epsilon: 0.9900
Round: 3, Phase: 1/2, Algorithm: sarsa, Episode: 3, Global Episode: 7534, Event: hole, Total Score: -86, Covered White Tiles: 2/48, Epsilon: 0.9851
Round: 3, Phase: 1/2, Algorithm: sarsa, Episode: 4, Global Episode: 7535, Event: hole, Total Score: -100, Covered White Tiles: 0/48, Epsilon: 0.9801
Round: 3, Phase: 1/2, Algorithm: sarsa, Episode: 5, Global Episode: 7536, Event: hole, Total Score: -93, Covered White Tiles: 1/48, Epsilon: 0.9752
Round: 3, Phase: 1/2, Algorithm: sarsa, Episode: 6, Global Episode: 7537, Event: hole, Total Score: -93, Covered White Tiles: 1/48, Epsilon: 0.9704
Round: 3, Phase: 1/2, Algorithm: sarsa, Episode: 7, Global Episode: 7538, Event: hole, Total Score: -86, Covered White Tiles: 2/48, Epsilon: 0.9655
Round: 3, Phase: 1/2, Algorithm: sarsa, Episode: 8, Global Episode: 7539, Event: hole, Total Score: -93, Covered White Tiles: 1/48, Epsilon: 0.9607
Round: 3, Phase: 1/2, Algorithm: sarsa, Episode: 9, Global Episode: 7540, Event: hole, Total Score: -100, Covered White Tiles: 0/48, Epsilon: 0.9559
Round: 3, Phase: 1/2, Algorithm: sarsa, Episode: 10, Global Episode: 7541, Event: hole, Total Score: -86, Covered White Tiles: 2/48, Epsilon: 0.9511
Round: 3, Phase: 1/2, Algorithm: sarsa, Episode: 11, Global Episode: 7542, Event: hole, Total Score: -100, Covered White Tiles: 0/48, Epsilon: 0.9464
Round: 3, Phase: 1/2, Algorithm: sarsa, Episode: 12, Global Episode: 7543, Event: hole, Total Score: -100, Covered White Tiles: 0/48, Epsilon: 0.9416
Round: 3, Phase: 1/2, Algorithm: sarsa, Episode: 13, Global Episode: 7544, Event: hole, Total Score: -100, Covered White Tiles: 0/48, Epsilon: 0.9369
Round: 3, Phase: 1/2, Algorithm: sarsa, Episode: 14, Global Episode: 7545, Event: hole, Total Score: -94, Covered White Tiles: 1/48, Epsilon: 0.9322
Round: 3, Phase: 1/2, Algorithm: sarsa, Episode: 15, Global Episode: 7546, Event: hole, Total Score: -101, Covered White Tiles: 1/48, Epsilon: 0.9276
Round: 3, Phase: 1/2, Algorithm: sarsa, Episode: 16, Global Episode: 7547, Event: hole, Total Score: -93, Covered White Tiles: 1/48, Epsilon: 0.9229
Round: 3, Phase: 1/2, Algorithm: sarsa, Episode: 17, Global Episode: 7548, Event: hole, Total Score: -93, Covered White Tiles: 1/48, Epsilon: 0.9183
Round: 3, Phase: 1/2, Algorithm: sarsa, Episode: 18, Global Episode: 7549, Event: hole, Total Score: -100, Covered White Tiles: 0/48, Epsilon: 0.9137
Round: 3, Phase: 1/2, Algorithm: sarsa, Episode: 19, Global Episode: 7550, Event: hole, Total Score: -93, Covered White Tiles: 3/48, Epsilon: 0.9092
Round: 3, Phase: 1/2, Algorithm: sarsa, Episode: 20, Global Episode: 7551, Event: hole, Total Score: -51, Covered White Tiles: 8/48, Epsilon: 0.9046
Round: 3, Phase: 1/2, Algorithm: sarsa, Episode: 21, Global Episode: 7552, Event: hole, Total Score: -100, Covered White Tiles: 0/48, Epsilon: 0.9001
Round: 3, Phase: 1/2, Algorithm: sarsa, Episode: 22, Global Episode: 7553, Event: hole, Total Score: -100, Covered White Tiles: 0/48, Epsilon: 0.8956
Round: 3, Phase: 1/2, Algorithm: sarsa, Episode: 23, Global Episode: 7554, Event: hole, Total Score: -93, Covered White Tiles: 1/48, Epsilon: 0.8911
Round: 3, Phase: 1/2, Algorithm: sarsa, Episode: 24, Global Episode: 7555, Event: hole, Total Score: -100, Covered White Tiles: 0/48, Epsilon: 0.8867
Round: 3, Phase: 1/2, Algorithm: sarsa, Episode: 25, Global Episode: 7556, Event: hole, Total Score: -94, Covered White Tiles: 1/48, Epsilon: 0.8822
Round: 3, Phase: 1/2, Algorithm: sarsa, Episode: 26, Global Episode: 7557, Event: hole, Total Score: -65, Covered White Tiles: 5/48, Epsilon: 0.8778
Round: 3, Phase: 1/2, Algorithm: sarsa, Episode: 27, Global Episode: 7558, Event: hole, Total Score: -93, Covered White Tiles: 1/48, Epsilon: 0.8734
Round: 3, Phase: 1/2, Algorithm: sarsa, Episode: 28, Global Episode: 7559, Event: hole, Total Score: -93, Covered White Tiles: 1/48, Epsilon: 0.8691
Round: 3, Phase: 1/2, Algorithm: sarsa, Episode: 29, Global Episode: 7560, Event: hole, Total Score: -100, Covered White Tiles: 0/48, Epsilon: 0.8647
Round: 3, Phase: 1/2, Algorithm: sarsa, Episode: 30, Global Episode: 7561, Event: hole, Total Score: -93, Covered White Tiles: 1/48, Epsilon: 0.8604
Round: 3, Phase: 1/2, Algorithm: sarsa, Episode: 31, Global Episode: 7562, Event: hole, Total Score: -100, Covered White Tiles: 0/48, Epsilon: 0.8561
Round: 3, Phase: 1/2, Algorithm: sarsa, Episode: 32, Global Episode: 7563, Event: hole, Total Score: -79, Covered White Tiles: 4/48, Epsilon: 0.8518
Round: 3, Phase: 1/2, Algorithm: sarsa, Episode: 33, Global Episode: 7564, Event: hole, Total Score: -100, Covered White Tiles: 0/48, Epsilon: 0.8475
Round: 3, Phase: 1/2, Algorithm: sarsa, Episode: 34, Global Episode: 7565, Event: hole, Total Score: -66, Covered White Tiles: 7/48, Epsilon: 0.8433
Round: 3, Phase: 1/2, Algorithm: sarsa, Episode: 35, Global Episode: 7566, Event: hole, Total Score: -93, Covered White Tiles: 1/48, Epsilon: 0.8391
Round: 3, Phase: 1/2, Algorithm: sarsa, Episode: 36, Global Episode: 7567, Event: hole, Total Score: -100, Covered White Tiles: 0/48, Epsilon: 0.8349
Round: 3, Phase: 1/2, Algorithm: sarsa, Episode: 37, Global Episode: 7568, Event: hole, Total Score: -100, Covered White Tiles: 0/48, Epsilon: 0.8307
Round: 3, Phase: 1/2, Algorithm: sarsa, Episode: 38, Global Episode: 7569, Event: hole, Total Score: -88, Covered White Tiles: 2/48, Epsilon: 0.8266
Round: 3, Phase: 1/2, Algorithm: sarsa, Episode: 39, Global Episode: 7570, Event: hole, Total Score: -86, Covered White Tiles: 2/48, Epsilon: 0.8224
Round: 3, Phase: 1/2, Algorithm: sarsa, Episode: 40, Global Episode: 7571, Event: hole, Total Score: -93, Covered White Tiles: 1/48, Epsilon: 0.8183
Round: 3, Phase: 1/2, Algorithm: sarsa, Episode: 41, Global Episode: 7572, Event: hole, Total Score: -93, Covered White Tiles: 1/48, Epsilon: 0.8142
Round: 3, Phase: 1/2, Algorithm: sarsa, Episode: 42, Global Episode: 7573, Event: hole, Total Score: -100, Covered White Tiles: 0/48, Epsilon: 0.8102
Round: 3, Phase: 1/2, Algorithm: sarsa, Episode: 43, Global Episode: 7574, Event: hole, Total Score: -73, Covered White Tiles: 6/48, Epsilon: 0.8061
Round: 3, Phase: 1/2, Algorithm: sarsa, Episode: 44, Global Episode: 7575, Event: hole, Total Score: -79, Covered White Tiles: 3/48, Epsilon: 0.8021
Round: 3, Phase: 1/2, Algorithm: sarsa, Episode: 45, Global Episode: 7576, Event: hole, Total Score: -87, Covered White Tiles: 2/48, Epsilon: 0.7981
Round: 3, Phase: 1/2, Algorithm: sarsa, Episode: 46, Global Episode: 7577, Event: hole, Total Score: -73, Covered White Tiles: 4/48, Epsilon: 0.7941
Round: 3, Phase: 1/2, Algorithm: sarsa, Episode: 47, Global Episode: 7578, Event: hole, Total Score: -100, Covered White Tiles: 0/48, Epsilon: 0.7901
Round: 3, Phase: 1/2, Algorithm: sarsa, Episode: 48, Global Episode: 7579, Event: hole, Total Score: -100, Covered White Tiles: 0/48, Epsilon: 0.7862
Round: 3, Phase: 1/2, Algorithm: sarsa, Episode: 49, Global Episode: 7580, Event: hole, Total Score: -93, Covered White Tiles: 1/48, Epsilon: 0.7822
Round: 3, Phase: 1/2, Algorithm: sarsa, Episode: 50, Global Episode: 7581, Event: hole, Total Score: -93, Covered White Tiles: 1/48, Epsilon: 0.7783
Round: 3, Phase: 1/2, Algorithm: sarsa, Episode: 51, Global Episode: 7582, Event: hole, Total Score: -65, Covered White Tiles: 5/48, Epsilon: 0.7744
Round: 3, Phase: 1/2, Algorithm: sarsa, Episode: 52, Global Episode: 7583, Event: hole, Total Score: -93, Covered White Tiles: 1/48, Epsilon: 0.7705
Round: 3, Phase: 1/2, Algorithm: sarsa, Episode: 53, Global Episode: 7584, Event: hole, Total Score: -79, Covered White Tiles: 10/48, Epsilon: 0.7667
Round: 3, Phase: 1/2, Algorithm: sarsa, Episode: 54, Global Episode: 7585, Event: hole, Total Score: -86, Covered White Tiles: 2/48, Epsilon: 0.7629
Round: 3, Phase: 1/2, Algorithm: sarsa, Episode: 55, Global Episode: 7586, Event: hole, Total Score: -94, Covered White Tiles: 3/48, Epsilon: 0.7590
Round: 3, Phase: 1/2, Algorithm: sarsa, Episode: 56, Global Episode: 7587, Event: hole, Total Score: -72, Covered White Tiles: 6/48, Epsilon: 0.7553
Round: 3, Phase: 1/2, Algorithm: sarsa, Episode: 57, Global Episode: 7588, Event: hole, Total Score: -100, Covered White Tiles: 0/48, Epsilon: 0.7515
Round: 3, Phase: 1/2, Algorithm: sarsa, Episode: 58, Global Episode: 7589, Event: hole, Total Score: -86, Covered White Tiles: 2/48, Epsilon: 0.7477
Round: 3, Phase: 1/2, Algorithm: sarsa, Episode: 59, Global Episode: 7590, Event: hole, Total Score: -93, Covered White Tiles: 2/48, Epsilon: 0.7440
Round: 3, Phase: 1/2, Algorithm: sarsa, Episode: 60, Global Episode: 7591, Event: hole, Total Score: -93, Covered White Tiles: 2/48, Epsilon: 0.7403
Round: 3, Phase: 1/2, Algorithm: sarsa, Episode: 61, Global Episode: 7592, Event: hole, Total Score: -100, Covered White Tiles: 0/48, Epsilon: 0.7366
Round: 3, Phase: 1/2, Algorithm: sarsa, Episode: 62, Global Episode: 7593, Event: hole, Total Score: -86, Covered White Tiles: 2/48, Epsilon: 0.7329
Round: 3, Phase: 1/2, Algorithm: sarsa, Episode: 63, Global Episode: 7594, Event: hole, Total Score: -94, Covered White Tiles: 1/48, Epsilon: 0.7292
Round: 3, Phase: 1/2, Algorithm: sarsa, Episode: 64, Global Episode: 7595, Event: hole, Total Score: -93, Covered White Tiles: 1/48, Epsilon: 0.7256
Round: 3, Phase: 1/2, Algorithm: sarsa, Episode: 65, Global Episode: 7596, Event: hole, Total Score: -72, Covered White Tiles: 4/48, Epsilon: 0.7219
Round: 3, Phase: 1/2, Algorithm: sarsa, Episode: 66, Global Episode: 7597, Event: hole, Total Score: -86, Covered White Tiles: 2/48, Epsilon: 0.7183
Round: 3, Phase: 1/2, Algorithm: sarsa, Episode: 67, Global Episode: 7598, Event: hole, Total Score: -86, Covered White Tiles: 2/48, Epsilon: 0.7147
Round: 3, Phase: 1/2, Algorithm: sarsa, Episode: 68, Global Episode: 7599, Event: hole, Total Score: -72, Covered White Tiles: 4/48, Epsilon: 0.7112
Round: 3, Phase: 1/2, Algorithm: sarsa, Episode: 69, Global Episode: 7600, Event: hole, Total Score: -93, Covered White Tiles: 1/48, Epsilon: 0.7076
Round: 3, Phase: 1/2, Algorithm: sarsa, Episode: 70, Global Episode: 7601, Event: hole, Total Score: -100, Covered White Tiles: 0/48, Epsilon: 0.7041
Round: 3, Phase: 1/2, Algorithm: sarsa, Episode: 71, Global Episode: 7602, Event: hole, Total Score: -37, Covered White Tiles: 10/48, Epsilon: 0.7005
Round: 3, Phase: 1/2, Algorithm: sarsa, Episode: 72, Global Episode: 7603, Event: hole, Total Score: -100, Covered White Tiles: 0/48, Epsilon: 0.6970
